EF541UG1,EF114,n_obs,EF952
121,"Management assistants in the sports and fitness industry, sports administrators-complex tasks",2,200.04899999999998
121,Administrative occupations in the welfare and health care system-skilled tasks,11,1301.155
121,Occupations in housekeeping-unskilled/semiskilled tasks,1,87.148
132,Drivers of earthmoving and related machines-skilled tasks,1,82.465
211,Managers in fishing,1,61.291
211,Occupations in photographic technology-skilled tasks,2,190.151
211,"Occupations in machine-building and -operating (with specialisation, not elsewhere classified)-complex tasks",3,307.045
211,Occupations in fruit juice production-complex tasks,7,827.616
211,Joiners-skilled tasks,6,611.866
211,"Occupations in chemistry (with specialisation, not elsewhere classified)-complex tasks",2,191.736
211,"Management assistants in the sports and fitness industry, sports administrators-complex tasks",1,91.584
211,Occupations in housekeeping-unskilled/semiskilled tasks,3,291.546
211,Managers in museum,2,188.913
242,Drivers of earthmoving and related machines-skilled tasks,3,352.18100000000004
242,"Management assistants in the sports and fitness industry, sports administrators-complex tasks",2,293.345
242,Administrative occupations in the welfare and health care system-skilled tasks,9,905.419
242,Occupations in housekeeping-unskilled/semiskilled tasks,12,1358.716
242,Managers in museum,14,1575.333
251,Drivers of earthmoving and related machines-skilled tasks,8,934.363
252,Drivers of earthmoving and related machines-skilled tasks,1,122.922
263,Occupations in housekeeping-unskilled/semiskilled tasks,2,160.29399999999998
264,Administrative occupations in the welfare and health care system-skilled tasks,1,102.594
264,Managers in museum,4,426.07
311,"Occupations in machine-building and -operating (with specialisation, not elsewhere classified)-complex tasks",2,231.512
311,Technical occupations in maintenance of electric machines-skilled tasks,3,311.481
311,Occupations in fruit juice production-complex tasks,4,446.98
311,Joiners-skilled tasks,1,107.896
311,"Occupations in chemistry (with specialisation, not elsewhere classified)-complex tasks",7,817.0509999999999
311,Drivers of earthmoving and related machines-skilled tasks,3,332.546
321,Occupations in housekeeping-unskilled/semiskilled tasks,18,2164.167
325,Occupations in housekeeping-unskilled/semiskilled tasks,3,299.13599999999997
331,Joiners-skilled tasks,1,93.446
331,Drivers of earthmoving and related machines-skilled tasks,1,88.23
331,"Management assistants in the sports and fitness industry, sports administrators-complex tasks",6,736.767
331,Administrative occupations in the welfare and health care system-skilled tasks,24,2645.212
331,Occupations in housekeeping-unskilled/semiskilled tasks,12,1263.2640000000001
331,Managers in museum,1,162.978
411,"Management assistants in the sports and fitness industry, sports administrators-complex tasks",2,200.85899999999998
411,Administrative occupations in the welfare and health care system-skilled tasks,24,2521.62
411,Managers in museum,1,98.125
431,"Management assistants in the sports and fitness industry, sports administrators-complex tasks",2,202.966
431,Administrative occupations in the welfare and health care system-skilled tasks,4,463.113
432,Drivers of earthmoving and related machines-skilled tasks,11,1032.113
432,Administrative occupations in the welfare and health care system-skilled tasks,10,1019.4540000000001
441,Drivers of earthmoving and related machines-skilled tasks,2,245.8
441,Administrative occupations in the welfare and health care system-skilled tasks,1,97.491
511,Joiners-skilled tasks,2,263.992
511,"Occupations in chemistry (with specialisation, not elsewhere classified)-complex tasks",7,784.048
511,"Management assistants in the sports and fitness industry, sports administrators-complex tasks",23,2430.216
511,Administrative occupations in the welfare and health care system-skilled tasks,10,1200.134
511,Occupations in housekeeping-unskilled/semiskilled tasks,4,417.235
511,Managers in museum,2,200.494
523,"Management assistants in the sports and fitness industry, sports administrators-complex tasks",3,296.205
524,"Management assistants in the sports and fitness industry, sports administrators-complex tasks",2,281.842
532,Occupations in housekeeping-unskilled/semiskilled tasks,2,176.058
541,"Management assistants in the sports and fitness industry, sports administrators-complex tasks",2,180.08100000000002
611,Managers in fishing,2,164.176
611,Managers in floristry,2,255.546
711,Occupations in photographic technology-skilled tasks,2,187.781
711,Occupations in laser-assisted metalworking-highly complex tasks,4,456.945
711,"Occupations in machine-building and -operating (with specialisation, not elsewhere classified)-complex tasks",7,749.162
711,Technical occupations in maintenance of electric machines-skilled tasks,3,328.361
711,Joiners-skilled tasks,9,1323.815
711,"Occupations in chemistry (with specialisation, not elsewhere classified)-complex tasks",3,347.377
711,"Management assistants in the sports and fitness industry, sports administrators-complex tasks",2,182.47899999999998
741,Technical occupations in maintenance of electric machines-skilled tasks,3,268.757
741,Occupations in fruit juice production-complex tasks,6,622.8
751,Joiners-skilled tasks,4,595.737
752,Occupations in photographic technology-skilled tasks,2,153.268
753,Occupations in fruit juice production-complex tasks,3,262.633
754,Managers in floristry,2,186.92700000000002
754,Occupations in fruit juice production-complex tasks,1,127.43
811,Supervisors in plastic- and rubber-making and -processing,2,200.95
811,"Occupations in chemistry (with specialisation, not elsewhere classified)-complex tasks",2,171.579
818,"Occupations in machine-building and -operating (with specialisation, not elsewhere classified)-complex tasks",1,119.523
821,"Occupations in machine-building and -operating (with specialisation, not elsewhere classified)-complex tasks",2,224.792
821,Occupations in fruit juice production-complex tasks,1,157.612
821,Drivers of earthmoving and related machines-skilled tasks,14,1571.8609999999999
821,"Management assistants in the sports and fitness industry, sports administrators-complex tasks",1,97.183
911,"Management assistants in the sports and fitness industry, sports administrators-complex tasks",12,1287.878
911,Occupations in housekeeping-unskilled/semiskilled tasks,1,91.547
932,Managers in floristry,3,549.333
932,Occupations in photographic technology-skilled tasks,1,108.642
932,"Occupations in machine-building and -operating (with specialisation, not elsewhere classified)-complex tasks",1,104.783
932,Joiners-skilled tasks,2,225.114
932,Drivers of earthmoving and related machines-skilled tasks,9,996.181
932,"Management assistants in the sports and fitness industry, sports administrators-complex tasks",3,310.193
941,Joiners-skilled tasks,3,372.973
941,Administrative occupations in the welfare and health care system-skilled tasks,1,111.033
