EF541,EF114,n_obs,EF952
1222,"Management assistants in the sports and fitness industry, sports administrators-complex tasks",2,200.04899999999998
1222,Administrative occupations in the welfare and health care system-skilled tasks,11,1301.155
1222,Occupations in housekeeping-unskilled/semiskilled tasks,1,87.148
1439,Drivers of earthmoving and related machines-skilled tasks,1,82.465
2222,Managers in fishing,1,61.291
2222,Occupations in photographic technology-skilled tasks,2,190.151
2222,"Occupations in machine-building and -operating (with specialisation, not elsewhere classified)-complex tasks",3,307.045
2222,Occupations in fruit juice production-complex tasks,7,827.616
2222,Joiners-skilled tasks,6,611.866
2222,"Occupations in chemistry (with specialisation, not elsewhere classified)-complex tasks",2,191.736
2222,"Management assistants in the sports and fitness industry, sports administrators-complex tasks",1,91.584
2222,Occupations in housekeeping-unskilled/semiskilled tasks,3,291.546
2222,Managers in museum,2,188.913
2434,Drivers of earthmoving and related machines-skilled tasks,3,352.18100000000004
2434,"Management assistants in the sports and fitness industry, sports administrators-complex tasks",2,293.345
2434,Administrative occupations in the welfare and health care system-skilled tasks,9,905.419
2434,Occupations in housekeeping-unskilled/semiskilled tasks,12,1358.716
2434,Managers in museum,14,1575.333
3155,"Occupations in machine-building and -operating (with specialisation, not elsewhere classified)-complex tasks",2,231.512
3155,Technical occupations in maintenance of electric machines-skilled tasks,3,311.481
3155,Occupations in fruit juice production-complex tasks,4,446.98
3155,Joiners-skilled tasks,1,107.896
3155,"Occupations in chemistry (with specialisation, not elsewhere classified)-complex tasks",7,817.0509999999999
3155,Drivers of earthmoving and related machines-skilled tasks,12,1389.831
3155,Administrative occupations in the welfare and health care system-skilled tasks,1,102.594
3155,Occupations in housekeeping-unskilled/semiskilled tasks,2,160.29399999999998
3155,Managers in museum,4,426.07
3259,Occupations in housekeeping-unskilled/semiskilled tasks,21,2463.303
3522,Joiners-skilled tasks,1,93.446
3522,Drivers of earthmoving and related machines-skilled tasks,1,88.23
3522,"Management assistants in the sports and fitness industry, sports administrators-complex tasks",6,736.767
3522,Administrative occupations in the welfare and health care system-skilled tasks,24,2645.212
3522,Occupations in housekeeping-unskilled/semiskilled tasks,12,1263.2640000000001
3522,Managers in museum,1,162.978
4419,Drivers of earthmoving and related machines-skilled tasks,13,1277.913
4419,"Management assistants in the sports and fitness industry, sports administrators-complex tasks",4,403.825
4419,Administrative occupations in the welfare and health care system-skilled tasks,39,4101.678
4419,Managers in museum,1,98.125
5222,Joiners-skilled tasks,2,263.992
5222,"Occupations in chemistry (with specialisation, not elsewhere classified)-complex tasks",7,784.048
5222,Administrative occupations in the welfare and health care system-skilled tasks,10,1200.134
5222,Occupations in housekeeping-unskilled/semiskilled tasks,4,417.235
5222,Managers in museum,2,200.494
6130,Managers in fishing,2,164.176
6130,Managers in floristry,2,255.546
6130,"Management assistants in the sports and fitness industry, sports administrators-complex tasks",30,3188.344
6130,Occupations in housekeeping-unskilled/semiskilled tasks,2,176.058
7212,"Occupations in machine-building and -operating (with specialisation, not elsewhere classified)-complex tasks",1,97.491
7212,Joiners-skilled tasks,9,1323.815
7212,"Occupations in chemistry (with specialisation, not elsewhere classified)-complex tasks",3,347.377
7212,"Management assistants in the sports and fitness industry, sports administrators-complex tasks",2,182.47899999999998
7549,Managers in floristry,2,186.92700000000002
7549,Occupations in photographic technology-skilled tasks,4,341.04900000000004
7549,Occupations in laser-assisted metalworking-highly complex tasks,4,456.945
7549,"Occupations in machine-building and -operating (with specialisation, not elsewhere classified)-complex tasks",6,651.671
7549,Technical occupations in maintenance of electric machines-skilled tasks,6,597.1179999999999
7549,Occupations in fruit juice production-complex tasks,10,1012.863
7549,Joiners-skilled tasks,4,595.737
8183,Supervisors in plastic- and rubber-making and -processing,2,200.95
8183,"Occupations in chemistry (with specialisation, not elsewhere classified)-complex tasks",2,171.579
8350,"Occupations in machine-building and -operating (with specialisation, not elsewhere classified)-complex tasks",3,344.315
8350,Occupations in fruit juice production-complex tasks,1,157.612
8350,Drivers of earthmoving and related machines-skilled tasks,14,1571.8609999999999
8350,"Management assistants in the sports and fitness industry, sports administrators-complex tasks",1,97.183
9329,Managers in floristry,3,549.333
9329,Occupations in photographic technology-skilled tasks,1,108.642
9329,"Occupations in machine-building and -operating (with specialisation, not elsewhere classified)-complex tasks",1,104.783
9329,Joiners-skilled tasks,2,225.114
9329,Drivers of earthmoving and related machines-skilled tasks,1,60.176
9329,"Management assistants in the sports and fitness industry, sports administrators-complex tasks",12,1287.878
9329,Occupations in housekeeping-unskilled/semiskilled tasks,1,91.547
9629,Joiners-skilled tasks,3,372.973
9629,Drivers of earthmoving and related machines-skilled tasks,8,936.005
9629,"Management assistants in the sports and fitness industry, sports administrators-complex tasks",3,310.193
9629,Administrative occupations in the welfare and health care system-skilled tasks,1,111.033
