"","share_type","EF44_bin5","n_obs","EF952_sum","mean","mean_weighted","sd","sd_weighted","median","q25","q75","median_weighted","q25_weighted","q75_weighted"
"1","share_brown","[15,20]",16,1783.922,0.0277777777777778,0.0300942405429037,0.0759033390071081,0.0787131699983084,0,0,0,0,0,0
"2","share_brown","(20,25]",30,3214.839,0.0296296296296296,0.0299747514572269,0.0768324230315023,0.0772512577128422,0,0,0,0,0,0
"3","share_brown","(25,30]",41,4927.746,0.02710027100271,0.0295210922893437,0.073621017383231,0.0764402809890967,0,0,0,0,0,0
"4","share_brown","(30,35]",31,3842.078,0.050179211469534,0.0443390847927143,0.0944497152229425,0.0903935911701909,0,0,0,0,0,0
"5","share_brown","(35,40]",42,4527.438,0.0793650793650794,0.0894380982013325,0.222609032301249,0.239848795976764,0,0,0,0,0,0
"6","share_brown","(40,45]",40,4330.293,0.0277777777777778,0.0265291773815562,0.0744293474507871,0.0730191971416452,0,0,0,0,0,0
"7","share_brown","(45,50]",57,6120.604,0.037037037037037,0.0323851661989205,0.144464793031493,0.136012744610985,0,0,0,0,0,0
"8","share_brown","(50,55]",53,5526.539,0.0209643605870021,0.0206345739671389,0.0655772953000673,0.0651453872981101,0,0,0,0,0,0
"9","share_brown","(55,60]",56,5967.407,0.0317460317460317,0.029160553132858,0.0784653181782,0.0757507029458816,0,0,0,0,0,0
"10","share_brown","(60,65]",33,3780.964,0.0505050505050505,0.0522764682352026,0.182343517156926,0.177778339361241,0,0,0,0,0,0
"11","share_brown","(65,70]",10,950.158,0.0444444444444444,0.036280047926532,0.0936971158568409,0.0870688982840525,0,0,0,0,0,0
"12","share_brown","(85,90]",3,418.697,0.0740740740740741,0.0777937267283979,0.128300059819917,0.130812298719298,0,0,0.111111111111111,0.222222222222222,0.111111111111111,0.222222222222222
"13","share_green","[15,20]",16,1783.922,0,0,0,0,0,0,0,0,0,0
"14","share_green","(20,25]",30,3214.839,0,0,0,0,0,0,0,0,0,0
"15","share_green","(25,30]",41,4927.746,0,0,0,0,0,0,0,0,0,0
"16","share_green","(30,35]",31,3842.078,0,0,0,0,0,0,0,0,0,0
"17","share_green","(35,40]",42,4527.438,0,0,0,0,0,0,0,0,0,0
"18","share_green","(40,45]",40,4330.293,0,0,0,0,0,0,0,0,0,0
"19","share_green","(45,50]",57,6120.604,0,0,0,0,0,0,0,0,0,0
"20","share_green","(50,55]",53,5526.539,0,0,0,0,0,0,0,0,0,0
"21","share_green","(55,60]",56,5967.407,0,0,0,0,0,0,0,0,0,0
"22","share_green","(60,65]",33,3780.964,0,0,0,0,0,0,0,0,0,0
"23","share_green","(65,70]",10,950.158,0,0,0,0,0,0,0,0,0,0
"24","share_green","(85,90]",3,418.697,0,0,0,0,0,0,0,0,0,0
"25","share_neutral","[15,20]",16,1783.922,0.972222222222222,0.969905759457096,0.0759033390071081,0.0787131699983084,1,1,1,1,1,1
"26","share_neutral","(20,25]",30,3214.839,0.97037037037037,0.970025248542773,0.0768324230315023,0.0772512577128422,1,1,1,1,1,1
"27","share_neutral","(25,30]",41,4927.746,0.97289972899729,0.970478907710656,0.073621017383231,0.0764402809890967,1,1,1,1,1,1
"28","share_neutral","(30,35]",31,3842.078,0.949820788530466,0.955660915207286,0.0944497152229425,0.0903935911701909,1,1,1,1,1,1
"29","share_neutral","(35,40]",42,4527.438,0.920634920634921,0.910561901798668,0.222609032301249,0.239848795976764,1,1,1,1,1,1
"30","share_neutral","(40,45]",40,4330.293,0.972222222222222,0.973470822618444,0.0744293474507871,0.0730191971416452,1,1,1,1,1,1
"31","share_neutral","(45,50]",57,6120.604,0.962962962962963,0.967614833801079,0.144464793031493,0.136012744610985,1,1,1,1,1,1
"32","share_neutral","(50,55]",53,5526.539,0.979035639412998,0.979365426032861,0.0655772953000673,0.0651453872981101,1,1,1,1,1,1
"33","share_neutral","(55,60]",56,5967.407,0.968253968253968,0.970839446867142,0.0784653181782,0.0757507029458816,1,1,1,1,1,1
"34","share_neutral","(60,65]",33,3780.964,0.94949494949495,0.947723531764798,0.182343517156926,0.177778339361241,1,1,1,1,1,1
"35","share_neutral","(65,70]",10,950.158,0.955555555555556,0.963719952073468,0.0936971158568409,0.0870688982840525,1,1,1,1,1,1
"36","share_neutral","(85,90]",3,418.697,0.925925925925926,0.922206273271602,0.128300059819917,0.130812298719298,1,0.888888888888889,1,1,0.888888888888889,1
