"","share_type","EF540","n_obs","EF952_sum","mean","mean_weighted","sd","sd_weighted","median","q25","q75","median_weighted","q25_weighted","q75_weighted"
"1","share_brown","ISCED 1 PE (100)",11,1387.799,0.0606060606060606,0.0510892107254405,0.103799859221536,0.0985664501911224,0,0,0.111111111111111,0,0,0.111111111111111
"2","share_brown","ISCED 2 LSE (200)",39,4297.241,0.0512820512820513,0.0534381633859182,0.0948517322040787,0.0964749814973742,0,0,0,0,0,0.111111111111111
"3","share_brown","ISCED 3 USE (303)",6,585.045,0,0,0,0,0,0,0,0,0,0
"4","share_brown","ISCED 3 USE (304)",174,18954.098,0.0440613026819923,0.0437482525766548,0.146228772313992,0.149580815294723,0,0,0,0,0,0
"5","share_brown","ISCED 4 PSNTE (400)",61,6703.782,0.0255009107468124,0.0250557073604124,0.0714155595746647,0.0708883890624803,0,0,0,0,0,0
"6","share_brown","ISCED 5 SCTE (500)",2,203.416,0,0,0,0,0,0,0,0,0,0
"7","share_brown","ISCED 6 Bachelor (600)",64,7160.277,0.0503472222222222,0.0519839758527033,0.14538385001367,0.143650284409792,0,0,0,0,0,0
"8","share_brown","ISCED 7 Master (700)",53,5875.218,0.0125786163522013,0.0113550018248023,0.0518434039854169,0.0494380851800863,0,0,0,0,0,0
"9","share_brown","ISCED 8 Doctoral (800)",2,223.809,0,0,0,0,0,0,0,0,0,0
"10","share_green","ISCED 1 PE (100)",11,1387.799,0,0,0,0,0,0,0,0,0,0
"11","share_green","ISCED 2 LSE (200)",39,4297.241,0,0,0,0,0,0,0,0,0,0
"12","share_green","ISCED 3 USE (303)",6,585.045,0,0,0,0,0,0,0,0,0,0
"13","share_green","ISCED 3 USE (304)",174,18954.098,0,0,0,0,0,0,0,0,0,0
"14","share_green","ISCED 4 PSNTE (400)",61,6703.782,0,0,0,0,0,0,0,0,0,0
"15","share_green","ISCED 5 SCTE (500)",2,203.416,0,0,0,0,0,0,0,0,0,0
"16","share_green","ISCED 6 Bachelor (600)",64,7160.277,0,0,0,0,0,0,0,0,0,0
"17","share_green","ISCED 7 Master (700)",53,5875.218,0,0,0,0,0,0,0,0,0,0
"18","share_green","ISCED 8 Doctoral (800)",2,223.809,0,0,0,0,0,0,0,0,0,0
"19","share_neutral","ISCED 1 PE (100)",11,1387.799,0.939393939393939,0.94891078927456,0.103799859221536,0.0985664501911224,1,0.888888888888889,1,1,1,1
"20","share_neutral","ISCED 2 LSE (200)",39,4297.241,0.948717948717949,0.946561836614082,0.0948517322040787,0.0964749814973742,1,1,1,1,1,1
"21","share_neutral","ISCED 3 USE (303)",6,585.045,1,1,0,0,1,1,1,1,1,1
"22","share_neutral","ISCED 3 USE (304)",174,18954.098,0.955938697318008,0.956251747423345,0.146228772313992,0.149580815294723,1,1,1,1,1,1
"23","share_neutral","ISCED 4 PSNTE (400)",61,6703.782,0.974499089253188,0.974944292639588,0.0714155595746647,0.0708883890624803,1,1,1,1,1,1
"24","share_neutral","ISCED 5 SCTE (500)",2,203.416,1,1,0,0,1,1,1,1,1,1
"25","share_neutral","ISCED 6 Bachelor (600)",64,7160.277,0.949652777777778,0.948016024147297,0.14538385001367,0.143650284409792,1,1,1,1,1,1
"26","share_neutral","ISCED 7 Master (700)",53,5875.218,0.987421383647799,0.988644998175198,0.0518434039854169,0.0494380851800863,1,1,1,1,1,1
"27","share_neutral","ISCED 8 Doctoral (800)",2,223.809,1,1,0,0,1,1,1,1,1,1
