EF564,n_obs,EF952_sum,EF952_share_green_abs,EF952_share_brown_abs,EF952_share_neutral_abs,EF952_share_green_rel,EF952_share_brown_rel,EF952_share_neutral_rel
102,4,390.148,0,0,390.148,0,0,1
104,2,193.139,0,0,193.139,0,0,1
105,1,109.115,0,0,109.115,0,0,1
202,1,195.808,0,0,195.808,0,0,1
203,2,229.358,0,0,229.358,0,0,1
205,4,364.64300000000003,0,0,364.64300000000003,0,0,1
206,3,282.374,0,0,282.374,0,0,1
301,4,440.992,0,12.337,428.655,0,0.027975564182570203,0.9720244358174297
302,4,392.574,0,0,392.574,0,0,1
303,4,403.987,0,0,403.987,0,0,1
304,2,186.563,0,7.827222222222221,178.73577777777777,0,0.04195484754330828,0.9580451524566918
305,1,129.952,0,14.43911111111111,115.51288888888888,0,0.1111111111111111,0.8888888888888888
306,1,96.374,0,0,96.374,0,0,1
307,10,1102.094,0,27.542444444444442,1074.5515555555555,0,0.024991012059265762,0.9750089879407342
308,3,292.159,0,10.537999999999998,281.621,0,0.03606940056613008,0.9639305994338698
309,3,300.1,0,10.93711111111111,289.16288888888886,0,0.0364448887407901,0.9635551112592097
310,4,382.923,0,0,382.923,0,0,1
311,9,982.659,0,26.682000000000002,955.977,0,0.027152857705470566,0.9728471422945294
401,6,594.011,0,10.29711111111111,583.713888888889,0,0.01733488287440992,0.9826651171255902
501,4,516.432,0,0,516.432,0,0,1
502,1,115.009,0,0,115.009,0,0,1
503,2,214.484,0,0,214.484,0,0,1
505,2,260.12,0,0,260.12,0,0,1
506,3,549.333,0,0,549.333,0,0,1
507,4,421.046,0,0,421.046,0,0,1
508,5,583.8430000000001,0,0,583.8430000000001,0,0,1
509,3,455.76599999999996,0,16.880222222222223,438.8857777777778,0,0.03703703703703704,0.962962962962963
510,1,119.239,0,0,119.239,0,0,1
513,7,831.4209999999999,0,17.22522222222222,814.1957777777777,0,0.020717809896817884,0.9792821901031821
514,4,489.989,0,0,489.989,0,0,1
515,13,1306.856,0,19.90611111111111,1286.9498888888888,0,0.01523206161284113,0.9847679383871588
516,7,878.712,0,13.13722222222222,865.5747777777777,0,0.01495054377568785,0.9850494562243122
517,3,403.63,0,0,403.63,0,0,1
518,4,471.817,0,13.658,458.159,0,0.028947664030757686,0.9710523359692422
519,3,381.246,0,0,381.246,0,0,1
520,2,167.18,0,0,167.18,0,0,1
521,6,890.436,0,19.961444444444442,870.4745555555555,0,0.02241760715474716,0.9775823928452527
524,2,199.641,0,11.07722222222222,188.56377777777777,0,0.055485707956893726,0.9445142920431063
526,1,131.12,0,0,131.12,0,0,1
