"Variable","N","Mean","SD","N","Mean","SD","Test"
"category_rel","brown","","","neutral","","",""
"EF952","53","108.654","32.008","359","110.396","30.915","F=0.145"
"EF46","53","","","359","","","X2=16.639***"
"... Male","10","18.9%","","179","49.9%","",""
"... Female","43","81.1%","","180","50.1%","",""
"EF44","53","43.962","14.937","359","44.426","13.728","F=0.052"
"EF44_bin10","53","","","359","","","X2=3.426"
"... [0,10]","0","0%","","0","0%","",""
"... (10,20]","2","3.8%","","14","3.9%","",""
"... (20,30]","9","17%","","62","17.3%","",""
"... (30,40]","13","24.5%","","60","16.7%","",""
"... (40,50]","10","18.9%","","87","24.2%","",""
"... (50,60]","13","24.5%","","96","26.7%","",""
"... (60,70]","5","9.4%","","38","10.6%","",""
"... (70,80]","0","0%","","0","0%","",""
"... (80,90]","1","1.9%","","2","0.6%","",""
"EF517","53","","","359","","","X2=12.583*"
"... ISCED-Level 1 - PE","3","5.7%","","8","2.2%","",""
"... ISCED-Level 2 - LSGE","9","17%","","30","8.4%","",""
"... ISCED-Level 3 - USGE","6","11.3%","","21","5.8%","",""
"... ISCED-Level 3 - USVE","15","28.3%","","138","38.4%","",""
"... ISCED-Level 4 - PSNTVE","7","13.2%","","54","15%","",""
"... ISCED-Level 5 - SCTVE","0","0%","","2","0.6%","",""
"... ISCED-Level 6 - Bachelor","10","18.9%","","54","15%","",""
"... ISCED-Level 6 - Master","3","5.7%","","52","14.5%","",""
"EF540","53","","","359","","","X2=10.235"
"... ISCED 1 ECE (000)","0","0%","","0","0%","",""
"... ISCED 1 PE (100)","3","5.7%","","8","2.2%","",""
"... ISCED 2 LSE (200)","9","17%","","30","8.4%","",""
"... ISCED 3 USE (300)","0","0%","","0","0%","",""
"... ISCED 3 USE (302)","0","0%","","0","0%","",""
"... ISCED 3 USE (303)","0","0%","","6","1.7%","",""
"... ISCED 3 USE (304)","21","39.6%","","153","42.6%","",""
"... ISCED 4 PSNTE (400)","7","13.2%","","54","15%","",""
"... ISCED 5 SCTE (500)","0","0%","","2","0.6%","",""
"... ISCED 6 Bachelor (600)","10","18.9%","","54","15%","",""
"... ISCED 7 Master (700)","3","5.7%","","50","13.9%","",""
"... ISCED 8 Doctoral (800)","0","0%","","2","0.6%","",""
"EF436","52","","","357","","","X2=13.656"
"... < 150","0","0%","","0","0%","",""
"... 150 to < 300","0","0%","","1","0.3%","",""
"... 300 to < 500","0","0%","","20","5.6%","",""
"... 500 to < 700","0","0%","","0","0%","",""
"... 700 to < 900","2","3.8%","","22","6.2%","",""
"... 900 to < 1,100","3","5.8%","","22","6.2%","",""
"... 1,100 to < 1,300","13","25%","","55","15.4%","",""
"... 1,300 to < 1,500","3","5.8%","","16","4.5%","",""
"... 1,500 to < 1,700","0","0%","","0","0%","",""
"... 1,700 to < 2,000","2","3.8%","","29","8.1%","",""
"... 2,000 to < 2,300","14","26.9%","","78","21.8%","",""
"... 2,300 to < 2,600","6","11.5%","","30","8.4%","",""
"... 2,600 to < 2,900","1","1.9%","","21","5.9%","",""
"... 2,900 to < 3,200","1","1.9%","","14","3.9%","",""
"... 3,200 to < 3,600","3","5.8%","","17","4.8%","",""
"... 3,600 to < 4,000","1","1.9%","","7","2%","",""
"... 4,000 to < 4,500","2","3.8%","","7","2%","",""
"... 4,500 to < 5,000","0","0%","","4","1.1%","",""
"... 5,000 to < 5,500","0","0%","","1","0.3%","",""
"... 5,500 to < 6,000","1","1.9%","","3","0.8%","",""
"... 6,000 to < 7,500","0","0%","","6","1.7%","",""
"... 7,500 to < 10,000","0","0%","","2","0.6%","",""
"... 10,000 to < 18,000","0","0%","","1","0.3%","",""
"... > 18,000","0","0%","","0","0%","",""
"... Farmer (self-employed, main job)","0","0%","","1","0.3%","",""
"EF436_num","52","2056.731","1006.451","356","2132.514","1427.503","F=0.136"
"EF442","49","","","322","","","X2=19.32"
"... < 150","0","0%","","1","0.3%","",""
"... 150 to < 300","0","0%","","1","0.3%","",""
"... 300 to < 500","1","2%","","23","7.1%","",""
"... 500 to < 700","2","4.1%","","14","4.3%","",""
"... 700 to < 900","0","0%","","22","6.8%","",""
"... 900 to < 1,100","3","6.1%","","14","4.3%","",""
"... 1,100 to < 1,300","2","4.1%","","26","8.1%","",""
"... 1,300 to < 1,500","3","6.1%","","22","6.8%","",""
"... 1,500 to < 1,700","8","16.3%","","28","8.7%","",""
"... 1,700 to < 2,000","8","16.3%","","37","11.5%","",""
"... 2,000 to < 2,300","10","20.4%","","37","11.5%","",""
"... 2,300 to < 2,600","3","6.1%","","25","7.8%","",""
"... 2,600 to < 2,900","1","2%","","19","5.9%","",""
"... 2,900 to < 3,200","1","2%","","15","4.7%","",""
"... 3,200 to < 3,600","3","6.1%","","14","4.3%","",""
"... 3,600 to < 4,000","1","2%","","5","1.6%","",""
"... 4,000 to < 4,500","2","4.1%","","5","1.6%","",""
"... 4,500 to < 5,000","0","0%","","2","0.6%","",""
"... 5,000 to < 5,500","1","2%","","2","0.6%","",""
"... 5,500 to < 6,000","0","0%","","2","0.6%","",""
"... 6,000 to < 7,500","0","0%","","6","1.9%","",""
"... 7,500 to < 10,000","0","0%","","1","0.3%","",""
"... 10,000 to < 18,000","0","0%","","1","0.3%","",""
"... > 18,000","0","0%","","0","0%","",""
"EF442_num","49","2065.306","972.497","322","2006.91","1433.701","F=0.076"
"EF114UG4","53","","","359","","","X2=248.554***"
"... Occupations in agriculture, forestry, farming, and gardening","0","0%","","10","2.8%","",""
"... Occupations in production of raw materials and goods, and manufacturing","0","0%","","0","0%","",""
"... Occupations in construction, architecture, surveying and technical building services","0","0%","","100","27.9%","",""
"... Occupations in natural sciences, geography and informatics","0","0%","","0","0%","",""
"... Occupations in traffic, logistics, safety and security","53","100%","","28","7.8%","",""
"... Occupations in commercial services, trading, sales, the hotel business and tourism","0","0%","","0","0%","",""
"... Occupations in business organisation, accounting, law and administration","0","0%","","144","40.1%","",""
"... Occupations in health care, the social sector, teaching and education","0","0%","","0","0%","",""
"... Occupations in philology, literature, humanities, social sciences, economics, media, art, culture, and design","0","0%","","77","21.4%","",""
"... Military occupations","0","0%","","0","0%","",""
"EF137UG1","53","","","359","","","X2=1.555"
"... Crop and animal production, hunting and related service activities","0","0%","","0","0%","",""
"... Forestry and logging","0","0%","","0","0%","",""
"... Fishing and aquaculture","0","0%","","0","0%","",""
"... Mining of coal and lignite","0","0%","","0","0%","",""
"... Extraction of crude petroleum and natural gas","0","0%","","0","0%","",""
"... Mining of metal ores","0","0%","","0","0%","",""
"... Other mining and quarrying","0","0%","","0","0%","",""
"... Mining support service activities","1","1.9%","","6","1.7%","",""
"... Manufacture of food products","0","0%","","0","0%","",""
"... Manufacture of beverages","0","0%","","0","0%","",""
"... Manufacture of tobacco products","0","0%","","0","0%","",""
"... Manufacture of textiles","0","0%","","0","0%","",""
"... Manufacture of wearing apparel","0","0%","","0","0%","",""
"... Manufacture of leather and related products","0","0%","","0","0%","",""
"... Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","0","0%","","0","0%","",""
"... Manufacture of paper and paper products","0","0%","","0","0%","",""
"... Printing and reproduction of recorded media","0","0%","","0","0%","",""
"... Manufacture of coke and refined petroleum products","0","0%","","0","0%","",""
"... Manufacture of chemicals and chemical products","0","0%","","0","0%","",""
"... Manufacture of basic pharmaceutical products and pharmaceutical preparations","0","0%","","0","0%","",""
"... Manufacture of rubber and plastic products","0","0%","","0","0%","",""
"... Manufacture of other non-metallic mineral products","0","0%","","0","0%","",""
"... Manufacture of basic metals","0","0%","","0","0%","",""
"... Manufacture of fabricated metal products, except machinery and equipment","0","0%","","0","0%","",""
