"Variable","N","Wt. Mean","Wt. SD","Wt. Sum","Test"
"category_abs","neutral","","","",""
"EF952","","","","",""
"EF46","412","","","",""
"... Male","189","44.538%","","",""
"... Female","223","55.462%","","",""
"EF44","412","44.06279","14.01536","2000040.329",""
"EF44_bin10","412","","","",""
"... [0,10]","0","0%","","",""
"... (10,20]","16","3.93%","","",""
"... (20,30]","71","17.939%","","",""
"... (30,40]","73","18.439%","","",""
"... (40,50]","97","23.024%","","",""
"... (50,60]","109","25.322%","","",""
"... (60,70]","43","10.423%","","",""
"... (70,80]","0","0%","","",""
"... (80,90]","3","0.922%","","",""
"EF517","412","","","",""
"... ISCED-Level 1 - PE","11","3.057%","","",""
"... ISCED-Level 2 - LSGE","39","9.467%","","",""
"... ISCED-Level 3 - USGE","27","7.182%","","",""
"... ISCED-Level 3 - USVE","153","35.865%","","",""
"... ISCED-Level 4 - PSNTVE","61","14.769%","","",""
"... ISCED-Level 5 - SCTVE","2","0.448%","","",""
"... ISCED-Level 6 - Bachelor","64","15.775%","","",""
"... ISCED-Level 6 - Master","55","13.437%","","",""
"EF540","412","","","",""
"... ISCED 1 ECE (000)","0","0%","","",""
"... ISCED 1 PE (100)","11","3.057%","","",""
"... ISCED 2 LSE (200)","39","9.467%","","",""
"... ISCED 3 USE (300)","0","0%","","",""
"... ISCED 3 USE (302)","0","0%","","",""
"... ISCED 3 USE (303)","6","1.289%","","",""
"... ISCED 3 USE (304)","174","41.758%","","",""
"... ISCED 4 PSNTE (400)","61","14.769%","","",""
"... ISCED 5 SCTE (500)","2","0.448%","","",""
"... ISCED 6 Bachelor (600)","64","15.775%","","",""
"... ISCED 7 Master (700)","53","12.944%","","",""
"... ISCED 8 Doctoral (800)","2","0.493%","","",""
"EF436","409","","","",""
"... < 150","0","0%","","",""
"... 150 to < 300","1","0.227%","","",""
"... 300 to < 500","20","5.155%","","",""
"... 500 to < 700","0","0%","","",""
"... 700 to < 900","24","5.914%","","",""
"... 900 to < 1,100","25","6.479%","","",""
"... 1,100 to < 1,300","68","16.468%","","",""
"... 1,300 to < 1,500","19","5.258%","","",""
"... 1,500 to < 1,700","0","0%","","",""
"... 1,700 to < 2,000","31","7.478%","","",""
"... 2,000 to < 2,300","92","22.04%","","",""
"... 2,300 to < 2,600","36","8.658%","","",""
"... 2,600 to < 2,900","22","5.513%","","",""
"... 2,900 to < 3,200","15","3.065%","","",""
"... 3,200 to < 3,600","20","5.043%","","",""
"... 3,600 to < 4,000","8","1.896%","","",""
"... 4,000 to < 4,500","9","2.146%","","",""
"... 4,500 to < 5,000","4","0.904%","","",""
"... 5,000 to < 5,500","1","0.186%","","",""
"... 5,500 to < 6,000","4","1.146%","","",""
"... 6,000 to < 7,500","6","1.43%","","",""
"... 7,500 to < 10,000","2","0.517%","","",""
"... 10,000 to < 18,000","1","0.265%","","",""
"... > 18,000","0","0%","","",""
"... Farmer (self-employed, main job)","1","0.212%","","",""
"EF436_num","408","2110.59011","1399.10059","95072797.7",""
"EF442","371","","","",""
"... < 150","1","0.285%","","",""
"... 150 to < 300","1","0.285%","","",""
"... 300 to < 500","24","6.687%","","",""
"... 500 to < 700","16","4.071%","","",""
"... 700 to < 900","22","6.09%","","",""
"... 900 to < 1,100","17","4.615%","","",""
"... 1,100 to < 1,300","28","7.583%","","",""
"... 1,300 to < 1,500","25","7.084%","","",""
"... 1,500 to < 1,700","36","9.386%","","",""
"... 1,700 to < 2,000","45","12.289%","","",""
"... 2,000 to < 2,300","47","12.232%","","",""
"... 2,300 to < 2,600","28","7.203%","","",""
"... 2,600 to < 2,900","20","5.959%","","",""
"... 2,900 to < 3,200","16","3.824%","","",""
"... 3,200 to < 3,600","17","4.874%","","",""
"... 3,600 to < 4,000","6","1.371%","","",""
"... 4,000 to < 4,500","7","1.946%","","",""
"... 4,500 to < 5,000","2","0.572%","","",""
"... 5,000 to < 5,500","3","0.775%","","",""
"... 5,500 to < 6,000","2","0.428%","","",""
"... 6,000 to < 7,500","6","1.873%","","",""
"... 7,500 to < 10,000","1","0.274%","","",""
"... 10,000 to < 18,000","1","0.295%","","",""
"... > 18,000","0","0%","","",""
"EF442_num","371","2019.49961","1410.64262","81863326.975",""
"EF114UG4","412","","","",""
"... Occupations in agriculture, forestry, farming, and gardening","10","2.682%","","",""
"... Occupations in production of raw materials and goods, and manufacturing","0","0%","","",""
"... Occupations in construction, architecture, surveying and technical building services","100","24.994%","","",""
"... Occupations in natural sciences, geography and informatics","0","0%","","",""
"... Occupations in traffic, logistics, safety and security","81","19.048%","","",""
"... Occupations in commercial services, trading, sales, the hotel business and tourism","0","0%","","",""
"... Occupations in business organisation, accounting, law and administration","144","34.722%","","",""
"... Occupations in health care, the social sector, teaching and education","0","0%","","",""
"... Occupations in philology, literature, humanities, social sciences, economics, media, art, culture, and design","77","18.554%","","",""
"... Military occupations","0","0%","","",""
"EF137UG1","412","","","",""
"... Crop and animal production, hunting and related service activities","0","0%","","",""
"... Forestry and logging","0","0%","","",""
"... Fishing and aquaculture","0","0%","","",""
"... Mining of coal and lignite","0","0%","","",""
"... Extraction of crude petroleum and natural gas","0","0%","","",""
"... Mining of metal ores","0","0%","","",""
"... Other mining and quarrying","0","0%","","",""
"... Mining support service activities","7","1.384%","","",""
"... Manufacture of food products","0","0%","","",""
"... Manufacture of beverages","0","0%","","",""
"... Manufacture of tobacco products","0","0%","","",""
"... Manufacture of textiles","0","0%","","",""
"... Manufacture of wearing apparel","0","0%","","",""
"... Manufacture of leather and related products","0","0%","","",""
"... Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","0","0%","","",""
"... Manufacture of paper and paper products","0","0%","","",""
"... Printing and reproduction of recorded media","0","0%","","",""
"... Manufacture of coke and refined petroleum products","0","0%","","",""
"... Manufacture of chemicals and chemical products","0","0%","","",""
"... Manufacture of basic pharmaceutical products and pharmaceutical preparations","0","0%","","",""
"... Manufacture of rubber and plastic products","0","0%","","",""
"... Manufacture of other non-metallic mineral products","0","0%","","",""
"... Manufacture of basic metals","0","0%","","",""
"... Manufacture of fabricated metal products, except machinery and equipment","0","0%","","",""
"... Manufacture of computer, electronic and optical products","0","0%","","",""
"... Manufacture of electrical equipment","0","0%","","",""
"... Manufacture of machinery and equipment n.e.c.","0","0%","","",""
"... Manufacture of motor vehicles, trailers and semi-trailers","65","15.264%","","",""
"... Manufacture of other transport equipment","0","0%","","",""
"... Manufacture of furniture","0","0%","","",""
"... Other manufacturing","0","0%","","",""
"... Repair and installation of machinery and equipment","0","0%","","",""
"... Electricity, gas, steam and air conditioning supply","0","0%","","",""
"... Water collection, treatment and supply","0","0%","","",""
"... Sewerage","0","0%","","",""
"... Waste collection, treatment and disposal activities; materials recovery","0","0%","","",""
"... Remediation activities and other waste management services","8","1.6%","","",""
