"Variable","N","Mean","Std. Dev.","Pctl. 25","Pctl. 75","Sum"
"EF952","887","95.86","43.426","85.315","115.069","85028.002"
"EF46","789","","","","",""
"... Male","394","49.9%","","","",""
"... Female","395","50.1%","","","",""
"EF44","789","47.06","24.33","27","63","37130"
"EF44_bin10","789","","","","",""
"... [0,10]","59","7.5%","","","",""
"... (10,20]","85","10.8%","","","",""
"... (20,30]","90","11.4%","","","",""
"... (30,40]","86","10.9%","","","",""
"... (40,50]","110","13.9%","","","",""
"... (50,60]","129","16.3%","","","",""
"... (60,70]","116","14.7%","","","",""
"... (70,80]","0","0%","","","",""
"... (80,90]","114","14.4%","","","",""
"EF517","695","","","","",""
"... ISCED-Level 1 - PE","35","5%","","","",""
"... ISCED-Level 2 - LSGE","109","15.7%","","","",""
"... ISCED-Level 3 - USGE","36","5.2%","","","",""
"... ISCED-Level 3 - USVE","269","38.7%","","","",""
"... ISCED-Level 4 - PSNTVE","69","9.9%","","","",""
"... ISCED-Level 5 - SCTVE","4","0.6%","","","",""
"... ISCED-Level 6 - Bachelor","92","13.2%","","","",""
"... ISCED-Level 6 - Master","81","11.7%","","","",""
"EF540","695","","","","",""
"... ISCED 1 ECE (000)","0","0%","","","",""
"... ISCED 1 PE (100)","35","5%","","","",""
"... ISCED 2 LSE (200)","109","15.7%","","","",""
"... ISCED 3 USE (300)","0","0%","","","",""
"... ISCED 3 USE (302)","0","0%","","","",""
"... ISCED 3 USE (303)","9","1.3%","","","",""
"... ISCED 3 USE (304)","296","42.6%","","","",""
"... ISCED 4 PSNTE (400)","69","9.9%","","","",""
"... ISCED 5 SCTE (500)","4","0.6%","","","",""
"... ISCED 6 Bachelor (600)","92","13.2%","","","",""
"... ISCED 7 Master (700)","76","10.9%","","","",""
"... ISCED 8 Doctoral (800)","5","0.7%","","","",""
"EF436","642","","","","",""
"... < 150","15","2.3%","","","",""
"... 150 to < 300","1","0.2%","","","",""
"... 300 to < 500","49","7.6%","","","",""
"... 500 to < 700","0","0%","","","",""
"... 700 to < 900","38","5.9%","","","",""
"... 900 to < 1,100","48","7.5%","","","",""
"... 1,100 to < 1,300","107","16.7%","","","",""
"... 1,300 to < 1,500","52","8.1%","","","",""
"... 1,500 to < 1,700","0","0%","","","",""
"... 1,700 to < 2,000","52","8.1%","","","",""
"... 2,000 to < 2,300","117","18.2%","","","",""
"... 2,300 to < 2,600","50","7.8%","","","",""
"... 2,600 to < 2,900","28","4.4%","","","",""
"... 2,900 to < 3,200","16","2.5%","","","",""
"... 3,200 to < 3,600","27","4.2%","","","",""
"... 3,600 to < 4,000","10","1.6%","","","",""
"... 4,000 to < 4,500","12","1.9%","","","",""
"... 4,500 to < 5,000","4","0.6%","","","",""
"... 5,000 to < 5,500","2","0.3%","","","",""
"... 5,500 to < 6,000","4","0.6%","","","",""
"... 6,000 to < 7,500","6","0.9%","","","",""
"... 7,500 to < 10,000","2","0.3%","","","",""
"... 10,000 to < 18,000","1","0.2%","","","",""
"... > 18,000","0","0%","","","",""
"... Farmer (self-employed, main job)","1","0.2%","","","",""
"EF436_num","641","1876.794","1269.615","1200","2450","1203025"
"EF442","371","","","","",""
"... < 150","1","0.3%","","","",""
"... 150 to < 300","1","0.3%","","","",""
"... 300 to < 500","24","6.5%","","","",""
"... 500 to < 700","16","4.3%","","","",""
"... 700 to < 900","22","5.9%","","","",""
"... 900 to < 1,100","17","4.6%","","","",""
"... 1,100 to < 1,300","28","7.5%","","","",""
"... 1,300 to < 1,500","25","6.7%","","","",""
"... 1,500 to < 1,700","36","9.7%","","","",""
"... 1,700 to < 2,000","45","12.1%","","","",""
"... 2,000 to < 2,300","47","12.7%","","","",""
"... 2,300 to < 2,600","28","7.5%","","","",""
"... 2,600 to < 2,900","20","5.4%","","","",""
"... 2,900 to < 3,200","16","4.3%","","","",""
"... 3,200 to < 3,600","17","4.6%","","","",""
"... 3,600 to < 4,000","6","1.6%","","","",""
"... 4,000 to < 4,500","7","1.9%","","","",""
"... 4,500 to < 5,000","2","0.5%","","","",""
"... 5,000 to < 5,500","3","0.8%","","","",""
"... 5,500 to < 6,000","2","0.5%","","","",""
"... 6,000 to < 7,500","6","1.6%","","","",""
"... 7,500 to < 10,000","1","0.3%","","","",""
"... 10,000 to < 18,000","1","0.3%","","","",""
"... > 18,000","0","0%","","","",""
"EF442_num","371","2014.623","1380.713","1200","2450","747425"
"EF114UG4","412","","","","",""
