EF541UG1,n_obs,EF952,share_green_wtd,share_brown_wtd,share_neutral_wtd
121,14,1588.3519999999999,NA,NA,NA
132,1,82.465,0,0.11111111111111112,0.888888888888889
211,27,2761.748,NA,NA,NA
242,40,4484.994,NA,NA,NA
251,8,934.363,NA,NA,NA
252,1,122.922,0,0.1111111111111111,0.8888888888888888
263,2,160.29399999999998,NA,NA,NA
264,5,528.664,NA,NA,NA
311,20,2247.466,NA,NA,NA
321,18,2164.167,NA,NA,NA
325,3,299.13599999999997,NA,NA,NA
331,45,4989.897,NA,NA,NA
411,27,2820.604,NA,NA,NA
431,6,666.079,NA,NA,NA
432,21,2051.567,NA,NA,NA
441,3,343.291,NA,NA,NA
511,48,5296.119,NA,NA,NA
523,3,296.205,NA,NA,NA
524,2,281.842,NA,NA,NA
532,2,176.058,NA,NA,NA
541,2,180.08100000000002,NA,NA,NA
611,4,419.722,NA,NA,NA
711,30,3575.92,NA,NA,NA
741,9,891.557,NA,NA,NA
751,4,595.737,NA,NA,NA
752,2,153.268,NA,NA,NA
753,3,262.633,NA,NA,NA
754,3,314.357,NA,NA,NA
811,4,372.529,NA,NA,NA
818,1,119.523,0,0,1
821,18,2051.448,NA,NA,NA
911,13,1379.425,NA,NA,NA
932,19,2294.246,NA,NA,NA
941,4,484.006,NA,NA,NA
