EF541,n_obs,EF952,share_green_wtd,share_brown_wtd,share_neutral_wtd
1222,14,1588.3519999999999,NA,NA,NA
1439,1,82.465,0,0.11111111111111112,0.888888888888889
2222,27,2761.748,NA,NA,NA
2434,40,4484.994,NA,NA,NA
3155,36,3993.709,NA,NA,NA
3259,21,2463.303,NA,NA,NA
3522,45,4989.897,NA,NA,NA
4419,57,5881.541,NA,NA,NA
5222,25,2865.903,NA,NA,NA
6130,36,3784.124,NA,NA,NA
7212,15,1951.162,NA,NA,NA
7549,36,3842.31,NA,NA,NA
8183,4,372.529,NA,NA,NA
8350,19,2170.971,NA,NA,NA
9329,21,2427.473,NA,NA,NA
9629,15,1730.204,NA,NA,NA
