EF137UG1,n_obs,EF952_sum,EF952_share_green_abs,EF952_share_brown_abs,EF952_share_neutral_abs,EF952_share_green_rel,EF952_share_brown_rel,EF952_share_neutral_rel
Crop and animal production,4424,476.698.996,12.446.476.012.386.700,1.730.514.803.784.030,4.737.238.335.949.770,0.002610972,0.003630204,0.993758824
Forestry and logging,331,35252.12,16.600.919.545.454.500,6.081.057.461.538.460,329.839.222.993.007,0.047091975,0.017250189,0.935657836
Fishing and aquaculture,40,4.430.196,111.353,7.687.809.230.769.230,4.342.182.607.692.300,0.002513501,0.017353203,0.980133296
Mining of coal and lignite,137,15.407.749,4.259.442.857.142.850,45.932.267.608.769.200,10.388.577.953.408.700,0.027644809,0.298111474,0.674243717
Extraction of crude petroleum and natural gas,58,5.886.854,15.101.900.937.950.900,6.991.087.630.359.830,5.036.726.227.584.500,0.025653602,0.118757619,0.855588779
Mining of metal ores,21,2.358.713,37.984.928.913.192.000,668.749.855.904.467,16.519.782.151.823.400,0.016104091,0.283523199,0.70037271
Other mining and quarrying,384,41.415.811,5.172.580.041.305.910,9.091.842.533.716.440,3.180.671.046.215.290,0.012489385,0.219525884,0.767984731
Mining support service activities,40,4.192.171,5.138.705.555.555.550,8.959.178.617.132.320,32.448.660.827.312.100,0.012257862,0.213712146,0.774029991
Manufacture of food products,7072,791.740.895,15.410.950.833.333.300,20.824.626.279.055.800,7.693.751.736.376.100,0.001946464,0.026302325,0.971751211
Manufacture of beverages,699,77714.43,40.817.176.993.145.700,3.359.378.869.262.900,7.394.687.936.080.560,0.005252201,0.043227221,0.951520578
Manufacture of tobacco products,120,13.591.048,6.019.142.857.142.850,1.008.394.153.209.940,12.576.634.703.932.900,4,,
Manufacture of textiles,777,85676.28,3.029.950.982.142.850,4.414.061.009.860.200,809.592.238.919.255,0.003536511,0.051520223,0.944943267
Manufacture of wearing apparel,572,63.861.039,21.975.829.967.532.400,5.097.217.659.533.440,6.313.155.893.437.130,0.003441195,0.007981733,0.988577072
Manufacture of leather and related products,222,24.491.056,0,26.014.517.566.087.100,24.230.910.824.339.100,0,0.010622048,0.989377952
Manufacture of wood and of products of wood and cork,1025,113.617.281,29.925.456.156.015.000,5.419.367.295.778.780,10.789.865.914.266.100,0.002633882,0.047698442,0.949667675
Manufacture of paper and paper products,1010,112.872.878,5.819.888.500.101.950,13.187.661.874.795.900,9.910.322.727.519.380,0.005156144,0.11683641,0.878007445
Printing and reproduction of recorded media,1589,174.037.492,2.914.726.448.051.940,5.334.828.110.109.630,16.841.119.124.508.500,0.001674769,0.030653327,0.967671904
Manufacture of coke and refined petroleum products,257,29.334.406,3.022.546.209.415.580,4.725.637.047.326.010,2.430.651.433.173.240,0.010303758,0.161095372,0.82860087
Manufacture of chemicals and chemical products,3383,368.437.345,23.125.901.001.984.100,52.494.751.042.219.400,3.136.300.038.575.820,0.006276753,0.142479452,0.851243795
Manufacture of basic pharmaceutical products and pharmaceutical preparations,1547,169.879.754,9.365.497.951.839.820,12.832.956.354.087.900,1.561.102.478.507.280,0.005513016,0.075541411,0.918945573
Manufacture of rubber and plastic products,3323,365.159.529,12.715.065.143.398.200,561.189.526.808.829,3.077.690.698.047.770,0.003482058,0.153683386,0.842834557
Manufacture of other non-metallic mineral products,1975,218.292.837,20.328.619.586.190.800,2.929.644.626.929.430,18.696.352.877.208.600,0.009312545,0.134207089,0.856480365
Manufacture of basic metals,2085,232.291.527,9.149.832.639.790.760,5.582.836.466.029.660,17.554.817.907.572.400,0.003938944,0.240337499,0.755723557
Manufacture of fabricated metal products,7664,845235.7,20.681.563.997.644.500,18.509.113.577.651.300,6.580.764.078.237.220,0.00244684,0.218981683,0.778571478
Manufacture of computer,4840,533.649.516,4.180.492.036.381.670,22.246.576.362.902.300,50.722.244.760.071.500,0.007833778,0.041687616,0.950478605
Manufacture of electrical equipment,2649,292.466.298,2.858.445.038.852.810,21.521.069.086.363.100,268.086.783.874.784,0.009773588,0.073584783,0.916641629
Manufacture of machinery and equipment n.e.c.,13042,1.444.900.298,936.204.096.226.865,17.640.917.181.092.600,12.591.290.852.268.000,0.006479368,0.122090896,0.871429736
Manufacture of motor vehicles,11078,1.217.853.744,8.541.814.041.218.440,12.743.692.146.696.200,10.818.750.084.918.100,0.007013826,0.104640579,0.888345595
Manufacture of other transport equipment,2066,231.168.284,13.285.836.871.572.800,14.895.996.993.622.200,21.494.370.331.922.000,0.005747258,0.064437892,0.92981485
Manufacture of furniture,1088,120.343.705,22.969.384.415.584.400,4.389.163.318.815.650,1.157.248.478.370.280,0.001908649,0.036471898,0.961619454
Other manufacturing,3732,412851.31,12.276.256.656.926.400,21.084.615.082.933.200,3.905.390.692.513.740,0.00297353,0.051070723,0.945955747
Repair and installation of machinery and equipment,1478,163.227.372,12.915.212.347.763.300,9.867.234.408.578.790,15.206.861.635.664.400,0.007912406,0.060450856,0.931636738
Electricity,3063,333.106.399,2.081.266.388.125.740,12.950.900.504.647.600,2.993.428.346.140.940,0.062480529,0.038879171,0.898640301
Water collection,191,20.319.101,1.896.303.911.725.950,18.928.377.980.195.600,16.529.959.290.254.400,0.093326172,0.093155588,0.81351824
Sewerage,328,34.980.826,40.679.099.190.953.900,37.040.260.583.729.900,27.208.890.022.531.600,0.116289705,0.105887324,0.777822971
Waste collection,1662,184.424.639,2.844.673.322.517.420,6.463.006.616.342.560,14.951.489.915.848.300,0.154245839,0.03504416,0.81071
Remediation activities and other waste management services,174,19.334.566,25.254.721.267.808.200,14.153.426.179.560.000,15.393.751.255.263.100,0.130619541,0.073202709,0.79617775
Construction of buildings,4841,549.621.924,2.094.851.470.839.970,7.734.500.663.498.710,5.397.925.718.656.610,0.003811441,0.014072402,0.982116157
Civil engineering,2631,292.217.719,40.203.337.632.891.500,5.438.244.306.734.110,23.381.494.216.936.900,0.013758008,0.186102483,0.800139509
Specialised construction activities,18239,2.053.248.868,10.264.287.421.900.800,11.749.565.020.579.600,19.254.889.303.723.000,0.004999047,0.057224262,0.937776692
Wholesale and retail trade and repair of motor vehicles and motorcycles,8123,903.574.865,15.075.425.271.103.800,4.218.327.954.997.220,8.598.840.429.229.170,0.00166842,0.046684875,0.951646705
