EF137,n_obs,EF952_sum,EF952_share_green_abs,EF952_share_brown_abs,EF952_share_neutral_abs,EF952_share_green_rel,EF952_share_brown_rel,EF952_share_neutral_rel,,
Tanning and dressing of leather, manufacture of luggage handbags saddlery and harness, dressing and dyeing of fur,95,10212.9,0,47.546.415.384.615.300,10.165.353.584.615.300,0,0.004655525,0.995344475
Travel agency and tour operator activities,1307,144.940.695,15.754.576.893.939.300,1.433.159.611.111.110,1.446.398.332.699.490,0.001086967,9,,,
Silviculture and other forestry activities,104,10.872.194,9.373.409.393.939.390,9.208.769.230.769.230,992.564.429.137.529,0.086214516,8,,,
Hospital activities,15216,1.681.599.698,17.720.620.983.682.900,13.993.743.604.127.300,1.678.428.261.541.210,0.001053795,8,,,
Compulsory social security activities,3424,367.955.622,45.655.962.587.412.500,21.274.637.698.412.600,36.728.631.599.714.100,0.001240801,5,,,
Photographic activities,394,43.908.081,0,17.806.500.000.000.000,438.902.745,0,4,,,
Activities auxiliary to financial services,1090,120238.96,5.249.330.757.575.750,4.753.373.308.270.670,11.966.649.319.115.900,0.004365749,3,,,
Radio broadcasting,184,19.645.693,22.628.920.454.545.400,7.301.777.777.777.770,19.615.762.301.767.600,0.001151851,3,,,
Other residential care activities,676,74.448.448,8.436.526.666.666.660,25.804.363.636.363.600,7.433.827.836.969.690,0.001133204,3,,,
Other financial service activities,190,20.710.174,0,6.929.703.703.703.700,20.703.244.296.296.200,0,3,,,
Other reservation service and related activities,192,21.845.126,0,6.822.666.666.666.660,21.838.303.333.333.300,0,3,,,
Market research and public opinion polling,180,19.952.454,8.455.799.999.999.990,521.255,1.986.268.345,0.004237975,2,,,
Monetary intermediation,6274,674.511.461,784.635.833.495.671,17.194.432.857.142.800,6.735.548.808.379.320,0.001163265,2,,,
Beverage serving activities,689,80.062.845,0,1.916.816.666.666.660,8.004.367.683.333.330,0,2,,,
Primary education,4719,509876.37,7.712.042,77.982,5.090.271.838,0.001512532,1,,,
Veterinary activities,620,67.148.106,7.457.227.272.727.270,886.455,6.706.466.917.727.270,0.001110564,1,,,
Mining of hard coal,47,5.216.778,0,2.367.624.056.561.080,2.849.153.943.438.910,0,0.453847961,0.546152039,,
Support activities for other mining and quarrying,10,1.011.663,0,3.966.315.985.060.690,615.031.401.493.931,0,0.392059014,0.607940986,,
Mining of non-ferrous metal ores,18,1.992.031,37.984.928.913.192.000,598.750.855.904.467,13.552.952.151.823.400,0.019068443,0.300573061,0.680358496,,
Casting of metals,812,90.765.463,16.003.225,2.685.824.199.151.100,6.374.718.875.848.890,0.00176314,0.295908169,0.70232869,,
Forging,294,32767.64,61.909.206.818.181.800,9.038.333.370.504.770,23.667.397.422.677.000,0.00188934,0.275831075,0.722279585,,
Manufacture of other products of first processing of steel,149,16.869.282,9.797.892.857.142.850,4.615.060.511.341.270,121.562.425.600.873,0.005808127,0.273577768,0.720614106,,
Mining and quarrying n.e.c.,128,13.887.782,21.990.770.948.773.400,3.658.306.354.708.030,10.009.567.935.804.200,0.015834617,0.263419051,0.720746332,,
Manufacture of coke oven products,11,1.277.438,52.461,33.647.133.960.013.100,8.885.056.603.998.680,0.041067355,0.263395436,0.695537208,,
Manufacture of cutlery,1569,172.912.748,394.666.999.025.974,4.486.490.710.825.340,12.765.317.389.272.000,0.002282463,0.259465584,0.738251953,,
Construction of roads and railways,1534,170.677.309,9.945.005.624.287.990,3.810.158.878.363.370,1.315.812.196.539.370,0.005826788,0.223237576,0.770935635,,
Mining of lignite,90,10.190.971,4.259.442.857.142.850,22.256.027.043.158.300,7.539.424.009.969.870,0.041796242,0.218389661,0.739814097,,
Manufacture of basic precious and other non-ferrous metals,332,37480.91,19.993.565.286.796.500,7.806.620.312.297.590,29.474.354.034.834.400,0.005334333,0.208282571,0.786383096,,
Manufacture of tubes,267,29.705.963,992.456.305.916.306,5.956.155.137.230.880,23.650.562.232.177.400,0.003340933,0.200503688,0.796155379,,
Quarrying of stone sand and clay,256,27.528.029,29.735.029.464.285.700,543.353.617.900.841,21.797.142.526.348.700,0.010801728,0.197381955,0.791816317,,
