EF189,n_obs,EF952_sum,EF952_share_green_abs,EF952_share_brown_abs,EF952_share_neutral_abs,EF952_share_green_rel,EF952_share_brown_rel,EF952_share_neutral_rel
"Schleswig-Holstein, Hamburg, Bremen, Saarland, Berlin, Mecklenburg-Western Pomerania, Saxony-Anhalt, Thuringia, Brandenburg",81041,9243571.984,58650.87329,228939.78,8955981.331,0.63%,2.48%,96.89%
Braunschweig (Lower Saxony),7801,825288.125,6581.389269,31291.78767,787414.9481,0.80%,3.79%,95.41%
Hannover (Lower Saxony),10522,1078484.504,6609.338399,28221.32,1043653.846,0.61%,2.62%,96.77%
Lueneburg (Lower Saxony),6457,687405.482,4109.5909,17414.31285,665881.5783,0.60%,2.53%,96.87%
Weser-Ems (Lower Saxony),12161,1272050.133,8328.017999,36647.20117,1227074.914,0.65%,2.88%,96.46%
Duesseldorf (North Rhine-Westphalia),22787,2578576.392,15439.6241,71245.10266,2491891.665,0.60%,2.76%,96.64%
Koeln (North Rhine-Westphalia),19452,2228164.93,13704.96107,56752.39197,2157707.577,0.62%,2.55%,96.84%
Muenster (North Rhine-Westphalia),10805,1223112.795,6702.406596,32960.71241,1183449.676,0.55%,2.69%,96.76%
Detmold (North Rhine-Westphalia),9251,1031087.599,5653.0797,38118.16457,987316.3547,0.55%,3.70%,95.75%
Arnsberg (North Rhine-Westphalia),15192,1710815.816,9878.037615,77714.21027,1623223.568,0.58%,4.54%,94.88%
Darmstadt (Hessen),20408,2198971.878,11331.78789,39952.47307,2147687.617,0.52%,1.82%,97.67%
Gießen (Hessen),4557,484272.162,2743.625173,20770.37531,460758.1615,0.57%,4.29%,95.14%
Kassel (Hessen),5832,629481.825,4064.81148,23686.2233,601730.7902,0.65%,3.76%,95.59%
Region Koblenz (Rhineland-Palatinate),6605,680566.459,3270.634558,22207.324,655088.5004,0.48%,3.26%,96.26%
Region Trier (Rhineland-Palatinate),2335,248994.74,1461.440253,8824.789704,238708.51,0.59%,3.54%,95.87%
Region Rheinhessen-Pfalz (Rhineland-Palatinate),9135,951910.54,5353.228155,31479.3528,915077.959,0.56%,3.31%,96.13%
Stuttgart (Baden-Wuerttemberg),20939,2357945.207,13957.98131,77183.87413,2266803.352,0.59%,3.27%,96.13%
Karlsruhe (Baden-Wuerttemberg),13933,1532954.507,9409.494944,49161.81491,1474383.197,0.61%,3.21%,96.18%
Freiburg (Baden-Wuerttemberg),10286,1157922.841,4933.278104,47583.8877,1105405.675,0.43%,4.11%,95.46%
Tuebingen (Baden-Wuerttemberg),8938,1012726.6,5947.665346,36217.14813,970561.7865,0.59%,3.58%,95.84%
Oberbayern (Bavaria),24585,2722100.472,14336.09475,53560.59818,2654203.779,0.53%,1.97%,97.51%
Niederbayern (Bavaria),5933,631816.287,4116.317225,26261.13062,601438.8392,0.65%,4.16%,95.19%
Oberpfalz (Bavaria),5190,571337.541,3285.21596,21913.41675,546138.9083,0.58%,3.84%,95.59%
Oberfranken (Bavaria),4990,560498.698,3363.633181,21445.33835,535689.7265,0.60%,3.83%,95.57%
Mittelfranken (Bavaria),8582,968007.038,6287.29666,29014.21848,932705.5229,0.65%,3.00%,96.35%
Unterfranken (Bavaria),6469,689979.17,3955.102154,22423.88543,663600.1824,0.57%,3.25%,96.18%
Schwaben (Bavaria),8649,985553.305,5819.734707,36499.3633,943234.207,0.59%,3.70%,95.71%
Chemnitz (Saxony),6274,658787.662,4155.137161,30703.32755,623929.1973,0.63%,4.66%,94.71%
Dresden (Saxony),7435,774413.84,5220.731278,28956.92344,740236.1853,0.67%,3.74%,95.59%
Leipzig (Saxony),4974,527806.407,3526.388013,10853.491,513426.528,0.67%,2.06%,97.28%
NA,6057,696039.665,6527.941949,18312.34862,671199.3744,0.94%,2.63%,96.43%
