"","share_type","EF442","n_obs","EF952_sum","mean","mean_weighted","sd","sd_weighted","median","q25","q75","median_weighted","q25_weighted","q75_weighted"
"1","share_brown","< 150",2435,267269.39,0.0144211538987393,0.0142799363751104,0.0935815687430601,0.0935856663244501,0,0,0,0,0,0
"2","share_brown","150 to < 300",4380,488512.268,0.00715939759091616,0.00692591189578668,0.0635659883964854,0.0627104030145451,0,0,0,0,0,0
"3","share_brown","300 to < 500",17838,1976848.256,0.00870931081280909,0.00866534583442403,0.0696870789390761,0.0692647203938222,0,0,0,0,0,0
"4","share_brown","500 to < 700",12534,1399486.537,0.0193048797381906,0.0192284600548021,0.101076478622209,0.100603316069709,0,0,0,0,0,0
"5","share_brown","700 to < 900",17822,1990407.832,0.0190229121149929,0.0192262048543242,0.108646079124887,0.109329392198932,0,0,0,0,0,0
"6","share_brown","900 to < 1,100",20645,2290285.052,0.0132150277931773,0.0133750149456337,0.0888171788825469,0.0888078395136644,0,0,0,0,0,0
"7","share_brown","1,100 to < 1,300",25944,2908469.029,0.0204024073381794,0.0210142354459792,0.108385214089087,0.109785785310614,0,0,0,0,0,0
"8","share_brown","1,300 to < 1,500",27265,3060317.192,0.0291717938885033,0.0291264354397326,0.126230254499588,0.12563981268336,0,0,0,0,0,0
"9","share_brown","1,500 to < 1,700",29055,3251768.148,0.0361839724414304,0.0364959333141244,0.13939103119318,0.139722578378347,0,0,0,0,0,0
"10","share_brown","1,700 to < 2,000",42388,4718834.029,0.0428354000089673,0.0428910775414297,0.154764589279914,0.15482570330396,0,0,0,0,0,0
"11","share_brown","2,000 to < 2,300",37750,4185723.896,0.0486695142820768,0.0487447045098206,0.167507667986764,0.167308818285965,0,0,0,0,0,0
"12","share_brown","2,300 to < 2,600",28490,3148035.018,0.0513608203195648,0.0515170085008209,0.174425147106286,0.174427829611207,0,0,0,0,0,0
"13","share_brown","2,600 to < 2,900",17662,1944856.26,0.0479947942054061,0.0481589833180944,0.168989891710517,0.16893478723688,0,0,0,0,0,0
"14","share_brown","2,900 to < 3,200",15146,1654787.699,0.0400329026799762,0.039990928466218,0.15497023534945,0.154919874211723,0,0,0,0,0,0
"15","share_brown","3,200 to < 3,600",13167,1433839.036,0.0297701997094121,0.0296608070320912,0.130874403338613,0.130663911298468,0,0,0,0,0,0
"16","share_brown","3,600 to < 4,000",8367,906656.979,0.0232745629457375,0.0233653517630211,0.114533552063451,0.115005091890994,0,0,0,0,0,0
"17","share_brown","4,000 to < 4,500",7231,782230.324,0.0159780562650975,0.015992260325082,0.0878917360058723,0.0879432943053023,0,0,0,0,0,0
"18","share_brown","4,500 to < 5,000",4562,494566.643,0.0138472587081015,0.0136893817541729,0.0812580462474979,0.0816091261703635,0,0,0,0,0,0
"19","share_brown","5,000 to < 5,500",3079,333600.126,0.0121301554306973,0.0112965542995265,0.0703576533139549,0.0664311029176881,0,0,0,0,0,0
"20","share_brown","5,500 to < 6,000",2018,217297.986,0.0106138569437429,0.0111008342660771,0.0620802671932073,0.0632199834263361,0,0,0,0,0,0
"21","share_brown","6,000 to < 7,500",2522,273061.41,0.00642354130831996,0.00617619680764799,0.0473343464807197,0.045674835962171,0,0,0,0,0,0
"22","share_brown","7,500 to < 10,000",1586,171938.972,0.00619545848108269,0.005991667528897,0.052508244005758,0.0512434893948077,0,0,0,0,0,0
"23","share_brown","10,000 to < 18,000",763,80818.272,0.00556318347930405,0.00567150371180455,0.0506607981135645,0.0510701729468067,0,0,0,0,0,0
"24","share_brown","> 18,000",259,28356.228,0.00693236407522122,0.00664120911302589,0.0539677030884766,0.0515673238972504,0,0,0,0,0,0
"25","share_brown",NA,44667,4912678.022,0.0134363202766122,0.0134881371501362,0.0836992652158246,0.0840512431512852,0,0,0,0,0,0
"26","share_green","< 150",2435,267269.39,0.00303722836117735,0.00343188287750662,0.0373831413389891,0.0400388378550186,0,0,0,0,0,0
"27","share_green","150 to < 300",4380,488512.268,0.0026249739605904,0.00243931431969549,0.0376980344664021,0.0361430876994235,0,0,0,0,0,0
