Variable;N;Wt. Mean;Wt. SD;N;Wt. Mean;Wt. SD;N;Wt. Mean;Wt. SD;Test;;;;;;
category_abs;brown;;;green;;;neutral;;;;;;;;;
EF952;;;;;;;;;;;;;;;;
EF46;8533;;;1556;;;377486;;;F=2741.964***;;;;;;
... Male;7860;92.1%;;1296;83.2%;;195500;52.5%;;;;;;;;
... Female;673;7.9%;;260;16.8%;;181986;47.5%;;;;;;;;
EF44;8533;41.935;13.44;1556;44.526;12.516;377486;43.345;13.355;F=52.777***;;;;;;
EF44_bin10;8533;;;1556;;;377486;;;;;;;;;
... [0;10];0;0%;;0;0%;;0;0%;;;;;;;
... (10;20];456;5.3%;;22;1.6%;;14377;3.8%;;;;;;;
... (20;30];1671;20.1%;;205;14%;;62560;17.4%;;;;;;;
... (30;40];1648;20.1%;;370;25.3%;;76782;21.2%;;;;;;;
... (40;50];1790;21%;;335;21%;;83765;22.2%;;;;;;;
... (50;60];2369;26.9%;;457;28.1%;;103292;26.3%;;;;;;;
... (60;70];567;6.3%;;157;9.3%;;33026;8.3%;;;;;;;
... (70;80];29;0.3%;;10;0.6%;;3349;0.8%;;;;;;;
... (80;90];3;0%;;0;0%;;320;0.1%;;;;;;;
... (90;100];0;0%;;0;0%;;15;0%;;;;;;;
EF517;8526;;;1555;;;377085;;;F=289.871***;;;;;;
... ISCED-Level 1 - PE;177;2.3%;;51;3.8%;;8125;2.4%;;;;;;;;
... ISCED-Level 2 - LSGE;1181;14.2%;;145;9.9%;;36138;9.9%;;;;;;;;
... ISCED-Level 3 - USGE;196;2.4%;;33;2.3%;;18777;5.2%;;;;;;;;
... ISCED-Level 3 - USVE;5937;68.8%;;541;33.4%;;147519;38.4%;;;;;;;;
... ISCED-Level 4 - PSNTVE;459;5.5%;;69;4.7%;;48848;12.9%;;;;;;;;
... ISCED-Level 5 - SCTVE;13;0.1%;;4;0.3%;;2356;0.6%;;;;;;;;
... ISCED-Level 6 - Bachelor;459;5.4%;;376;23.7%;;62847;16.5%;;;;;;;;
... ISCED-Level 6 - Master;104;1.3%;;336;21.9%;;52475;14%;;;;;;;;
EF540;8526;;;1555;;;377085;;;;;;;;;
... ISCED 1 ECE (000);0;0%;;0;0%;;0;0%;;;;;;;;
... ISCED 1 PE (100);177;2.3%;;51;3.8%;;8125;2.4%;;;;;;;;
... ISCED 2 LSE (200);1181;14.2%;;145;9.9%;;36138;9.9%;;;;;;;;
