EF137,n_obs,EF952_sum,EF952_share_green_abs,EF952_share_brown_abs,EF952_share_neutral_abs,EF952_share_green_rel,EF952_share_brown_rel,EF952_share_neutral_rel
Growing of non-perennial crops,602,64758.19,88.26854545454546,62.430675844525844,64607.49077870093,0.0013630483720212911,9.640583815657269e-4,0.997672893246413
Growing of perennial crops,321,33220.362,19.912064935064933,4.702200000000001,33195.747735064935,5.993933761186869e-4,1.415457182555687e-4,0.9992590609056257
Plant propagation,227,25212.595,14.365531100478469,47.96437240965662,25150.265096489864,5.697759830147777e-4,0.0019023972903089356,0.9975278267266762
Animal production,823,89822.277,68.17027272727273,117.96453846153847,89636.1421888112,7.589461657409634e-4,0.0013133104882382181,0.9979277433460209
Mixed farming,1780,191090.647,280.79773971861465,58.00162564102564,190751.84763464035,0.001469447846490439,3.035293801743507e-4,0.9982270227733352
Support activities to agriculture and post-harvest crop activities,668,72270.181,773.1334473026973,158.11275384615385,71338.93479885114,0.010697820824645468,0.0021878007175069043,0.9871143784578476
"Hunting, trapping and related service activities",3,324.744,0,0,324.744,0,0,1
Silviculture and other forestry activities,104,10872.194,937.3409393939394,0,9934.853060606061,0.08621451561606971,0,0.9137854843839304
Logging,18,2039.071,0,6.486600000000002,2032.5844,0,0.0031811545551871426,0.9968188454448129
Gathering of wild growing non-wood products,5,589.032,0,0,589.032,0,0,1
Support services to forestry,204,21751.823,722.7510151515152,118.73294615384617,20910.339038694638,0.033227146761515815,0.005458528517533734,0.9613143247209504
Fishing,25,2794.994,0,5.491292307692309,2789.5027076923075,0,0.0019646884063766537,0.9980353115936232
Aquaculture,15,1635.202,11.1353,5.491292307692309,1618.5754076923076,0.006809739714114832,0.003358173673767711,0.9898320866121174
Mining of hard coal,47,5216.778,0,2154.4210840336136,3062.3569159663866,0,0.4129792534843563,0.5870207465156436
Mining of lignite,90,10190.971,425.9442857142857,1510.4792871607694,8254.547427124944,0.04179624156660692,0.1482174060902312,0.8099863523431619
Extraction of crude petroleum,44,4394.138,128.64117604617604,310.985860410831,3954.510963542993,0.029275634048401767,0.0707728934345783,0.89995147251702
Extraction of natural gas,14,1492.716,22.377833333333335,131.53858333333332,1338.7995833333332,0.014991353568484116,0.08812030107088913,0.8968883453606268
Mining of iron ores,3,366.682,0,0,366.682,0,0,1
Mining of non-ferrous metal ores,18,1992.031,37.984928913192064,290.6093247014595,1663.4367463853484,0.019068442666400304,0.14588594489817655,0.8350456124354232
"Quarrying of stone, sand and clay",256,27528.029,297.35029464285714,1836.2169484417543,25394.46175691539,0.010801728472563624,0.06670353872562959,0.9224947328018068
Mining and quarrying n.e.c.,128,13887.782,219.90770948773448,2725.4672249156074,10942.407065596659,0.015834617038756403,0.1962492804765806,0.78791610248466315
Support activities for petroleum and natural gas extraction,30,3180.508,51.38705555555556,141.36813597883597,2987.7528084656083,0.01615687039792246,0.04444828812844866,0.9393948414736288
Support activities for other mining and quarrying,10,1011.663,0,293.61054295051355,718.0524570494865,0,0.2902256412960774,0.7097743587039227
Processing and preserving of meat and production of meat products,1786,201407.64,284.39647213203466,417.0019646809332,200706.24156318704,0.001412044111792555,0.002070437669002691,0.9965175182192048
"Processing and preserving of fish, crustaceans and molluscs",57,6721.06,0,31.085720512820522,6689.97427948718,0,0.004625121708900162,0.9953748782910998
Processing and preserving of fruit and vegetables,161,19088.13,29.351838474025975,238.5240637362638,18820.25409778971,0.001537701098747021,0.012495936675633694,0.9859663622256193
Manufacture of vegetable and animal oils and fats,31,3241.036,9.927363636363635,19.56933186813187,3211.5393044955044,0.0030630217116883723,0.00603798657840637,0.9908989917099053
Manufacture of dairy products,404,45555.007,207.8246155844156,457.0211584906323,44890.16122592495,0.004562058690593893,0.010032292575229597,0.9854056487341766
"Manufacture of grain mill products, starches and starch products",90,9953.417,47.88264935064935,93.51528364968367,9812.019066999666,0.004810674500088699,0.009395294465175494,0.9857940310347358
Manufacture of bakery and farinaceous products,3242,361522.32,450.36039935064935,372.8839353479854,360699.07566530135,0.001245733318348503,0.0010314271477013795,0.99772283953395
Manufacture of other food products,1106,122408.212,342.9621084415584,1337.1378425907428,120728.1120489677,0.0028017900338382397,0.010923595898866188,0.9862746140672956
Manufacture of prepared animal feeds,195,21844.073,168.38963636363636,160.6335186813187,21515.049844955047,0.0077087105671014905,0.007353643191053184,0.9849376462418454
Manufacture of beverages,699,77714.43,408.17176993145745,601.6394111946535,76704.61881887389,0.005252200523525135,0.007741669226611499,0.9870061302498635
Manufacture of tobacco products,120,13591.048,6.019142857142857,125.39375867553501,13459.635098467323,4.428755499313119e-4,0.009226202326379468,0.9903309221236892
Preparation and spinning of textile fibres,42,4793.121,17.991125,26.450104858299596,4748.679770141701,0.003753530319806239,0.005518346993180351,0.9907281226870135
Weaving of textiles,87,9680.571,29.414250000000003,69.39652564102566,9581.760224358974,0.003038482957255311,0.007168639705346478,0.9897928773373982
Finishing of textiles,231,25605.192,138.500125,110.48196483516485,25356.209910164835,0.0054090641069983,0.004314826650593554,0.9902761092424082
Manufacture of other textiles,417,45597.396,117.08959821428572,297.67154900713325,45182.63485277858,0.002567900987466164,0.006528257644518412,0.9909038413680155
"Manufacture of wearing apparel, except fur apparel",509,56800.509,219.75829967532468,74.9103006362059,56505.840399688466,0.0038689494785218333,0.001318831502657941,0.9948122190188202
Manufacture of articles of fur,5,562.394,0,0,562.394,0,0,1
Manufacture of knitted and crocheted apparel,58,6498.136,0,0,6498.136,0,0,1
"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur",95,10212.9,0,3.1237846153846163,10209.776215384616,0,3.058665624244452e-4,0.9996941334375756
Manufacture of footwear,127,14278.156,0,14.3416298404382,14263.814370159562,0,0.0010044455208668543,0.9989955544791331
Sawmilling and planing of wood,258,29562.768,61.618685064935065,257.04995523423946,29244.099359700827,0.0020843340875568574,0.008695057081063568,0.9892206088313796
"Manufacture of products of wood, cork, straw and plaiting materials",767,84054.513,237.6358764952153,429.4716364638286,83387.40548704096,0.002827163801367992,0.005109441731746499,0.9920633944668855
"Manufacture of pulp, paper and paperboard",171,19002.227,231.20682043650794,245.9128043956044,18525.10737516789,0.012167353881021838,0.012941262326547538,0.9748913837924308
Manufacture of articles of paper and paperboard,839,93870.651,350.78202957368717,1134.5827244277064,92385.2862459986,0.003736865845041249,0.012086660871540205,0.9841764732834186
Printing and service activities related to printing,1555,170239.534,291.4726448051948,888.3700834740596,169059.69127172075,0.001712132534415859,0.00521835359038318,0.9930695138752009
Reproduction of recorded media,34,3797.958,0,5.654261538461539,3792.3037384615386,0,0.0014887635772858833,0.9985112364227141
Manufacture of coke oven products,11,1277.438,52.461,161.23116485557784,1063.7458351444222,0.04106735512799838,0.12621447370093722,0.8327181711710644
Manufacture of refined petroleum products,246,28056.968,249.79362094155843,829.2039240037568,26977.970455054685,0.008903086781920214,0.029554295531996073,0.9615426176860837
