"","share_type","EF44_bin5","n_obs","EF952_sum","mean","mean_weighted","sd","sd_weighted","median","q25","q75","median_weighted","q25_weighted","q75_weighted"
"1","share_brown","[15,20]",14855,1652531.9,0.00860541110314926,0.00873355960459699,0.0416140214420579,0.0422687026806888,0,0,0,0,0,0
"2","share_brown","(20,25]",27995,3216214.071,0.00600356479326995,0.00595257532222475,0.0363666676017051,0.0361355325393018,0,0,0,0,0,0
"3","share_brown","(25,30]",36441,4257278.939,0.00573330169727725,0.0056846515147611,0.036745754026041,0.0365725863194479,0,0,0,0,0,0
"4","share_brown","(30,35]",39031,4524508.39,0.00590201939303723,0.00584900170677152,0.0367327331785171,0.0359500986646642,0,0,0,0,0,0
"5","share_brown","(35,40]",39769,4559375.731,0.00532454594285725,0.00544463130726619,0.0346277287489194,0.035055129305498,0,0,0,0,0,0
"6","share_brown","(40,45]",38635,4377130.895,0.00516345778495542,0.00517050767790626,0.0330908035323355,0.0327624902403737,0,0,0,0,0,0
"7","share_brown","(45,50]",47255,5126432.59,0.00582521530478648,0.00580293791464816,0.0381305733549021,0.0381442969802911,0,0,0,0,0,0
"8","share_brown","(50,55]",56437,6035917.034,0.00605570454148555,0.00599161102141084,0.039212765704969,0.0388005092419214,0,0,0,0,0,0
"9","share_brown","(55,60]",49681,5248273.785,0.00577328936094081,0.00582026664371093,0.0383055967830607,0.038546406221593,0,0,0,0,0,0
"10","share_brown","(60,65]",27111,2836694.651,0.00505730883577203,0.00504177982124018,0.0351385738491188,0.0349298373372325,0,0,0,0,0,0
"11","share_brown","(65,70]",6639,698043.931,0.00240306950317716,0.00230140817982699,0.0211415362712303,0.0205110515919304,0,0,0,0,0,0
"12","share_brown","(70,75]",2306,241322.023,0.0023887059720355,0.00233976896387095,0.0269571341155863,0.0282829417562379,0,0,0,0,0,0
"13","share_brown","(75,80]",1082,111200.956,0.00182537813830627,0.001795987034345,0.0153930148469593,0.0150372201828925,0,0,0,0,0,0
"14","share_brown","(80,85]",280,29960.906,0.00252740210916903,0.00239099399712395,0.022657459784998,0.0204707968335068,0,0,0,0,0,0
"15","share_brown","(85,90]",43,4291.395,0.00172265288544358,0.00169351820458279,0.0112961903950078,0.0112095641638744,0,0,0,0,0,0
"16","share_brown","(90,95]",15,1467.407,0,0,0,0,0,0,0,0,0,0
"17","share_green","[15,20]",14855,1652531.9,0.00302454279300829,0.00317266830540017,0.0329520296099149,0.0346263725358503,0,0,0,0,0,0
"18","share_green","(20,25]",27995,3216214.071,0.00363444998817223,0.0037168364349592,0.0430370051333295,0.0439261430455142,0,0,0,0,0,0
"19","share_green","(25,30]",36441,4257278.939,0.00566569252236947,0.00566701213497326,0.0507569280683427,0.0506085572178298,0,0,0,0,0,0
"20","share_green","(30,35]",39031,4524508.39,0.00682413021836045,0.00696197534644782,0.0565101292728926,0.0572857711287783,0,0,0,0,0,0
