"","share_type","EF517","n_obs","EF952_sum","mean","mean_weighted","sd","sd_weighted","median","q25","q75","median_weighted","q25_weighted","q75_weighted"
"1","share_brown","ISCED-Level 1 - PE",8353,1023573.271,0.00375252031339794,0.00388624247285579,0.0269595996133236,0.0285328877094716,0,0,0,0,0,0
"2","share_brown","ISCED-Level 2 - LSGE",37464,4302908.051,0.00717701101430131,0.00704614825243105,0.0408142350499945,0.0400149574363878,0,0,0,0,0,0
"3","share_brown","ISCED-Level 3 - USGE",19006,2195986.065,0.00250390794625763,0.00255500429248197,0.0245801138530527,0.024810174179589,0,0,0,0,0,0
"4","share_brown","ISCED-Level 3 - USVE",153997,16754402.589,0.0081415423885742,0.0082150201674654,0.0454138013302164,0.0454033152170107,0,0,0,0,0,0
"5","share_brown","ISCED-Level 4 - PSNTVE",49376,5465476.036,0.00191560026170858,0.00198128645036411,0.0203885991988647,0.0204496730999709,0,0,0,0,0,0
"6","share_brown","ISCED-Level 5 - SCTVE",2373,253486.883,0.00368587477826325,0.00363900410251697,0.0314106549745441,0.0311024050011188,0,0,0,0,0,0
"7","share_brown","ISCED-Level 6 - Bachelor",63682,6991367.03,0.00554914666537328,0.00550767793003854,0.0330420692699403,0.0330077210291511,0,0,0,0,0,0
"8","share_brown","ISCED-Level 6 - Master",52915,5882948.033,0.002869852748027,0.00287681020861014,0.0233973378293022,0.0236099102662194,0,0,0,0,0,0
"9","share_brown",NA,409,50496.646,0.00357990912011517,0.00362299872750863,0.0348145599487233,0.0322600578660019,0,0,0,0,0,0
"10","share_green","ISCED-Level 1 - PE",8353,1023573.271,0.0062331574334038,0.0065649029252885,0.0558735830951055,0.058067899283783,0,0,0,0,0,0
"11","share_green","ISCED-Level 2 - LSGE",37464,4302908.051,0.0060113382909102,0.00610855733047061,0.046684633290396,0.0474957252568248,0,0,0,0,0,0
"12","share_green","ISCED-Level 3 - USGE",19006,2195986.065,0.00294200723601285,0.0030822645360262,0.0354203032077434,0.0363842836375769,0,0,0,0,0,0
"13","share_green","ISCED-Level 3 - USVE",153997,16754402.589,0.0056670063640648,0.00560558495229684,0.0460557093176198,0.0457534733073639,0,0,0,0,0,0
"14","share_green","ISCED-Level 4 - PSNTVE",49376,5465476.036,0.00228098666065128,0.00238167370938606,0.0307173387660631,0.0312644950975491,0,0,0,0,0,0
"15","share_green","ISCED-Level 5 - SCTVE",2373,253486.883,0.00367149744726285,0.00365596963684568,0.039004397572937,0.0393803024360159,0,0,0,0,0,0
"16","share_green","ISCED-Level 6 - Bachelor",63682,6991367.03,0.00826675534637101,0.00820266995243356,0.0611565796542936,0.061092431591604,0,0,0,0,0,0
"17","share_green","ISCED-Level 6 - Master",52915,5882948.033,0.00907171838073984,0.00908999436618801,0.0683144270117992,0.0686959828036113,0,0,0,0,0,0
"18","share_green",NA,409,50496.646,0.00538320685019952,0.00527244571204441,0.0374316714346834,0.0361014096275541,0,0,0,0,0,0
"19","share_neutral","ISCED-Level 1 - PE",8353,1023573.271,0.990014322253198,0.989548854601856,0.062728385237072,0.0653407183283161,1,1,1,1,1,1
"20","share_neutral","ISCED-Level 2 - LSGE",37464,4302908.051,0.986811650694788,0.986845294417098,0.0630841580732421,0.0631092308876044,1,1,1,1,1,1
"21","share_neutral","ISCED-Level 3 - USGE",19006,2195986.065,0.99455408481773,0.994362731171492,0.0439507904421767,0.0448729679976122,1,1,1,1,1,1
"22","share_neutral","ISCED-Level 3 - USVE",153997,16754402.589,0.986191451247361,0.986179394880238,0.0661058704067501,0.0658710832388647,1,1,1,1,1,1
"23","share_neutral","ISCED-Level 4 - PSNTVE",49376,5465476.036,0.99580341307764,0.99563703984025,0.0382920750058347,0.0388313057901983,1,1,1,1,1,1
"24","share_neutral","ISCED-Level 5 - SCTVE",2373,253486.883,0.992642627774474,0.992705026260637,0.0522479866276508,0.0523604560561322,1,1,1,1,1,1
"25","share_neutral","ISCED-Level 6 - Bachelor",63682,6991367.03,0.986184097988256,0.986289652117528,0.0708687030882681,0.0707780032162375,1,1,1,1,1,1
"26","share_neutral","ISCED-Level 6 - Master",52915,5882948.033,0.988058428871233,0.988033195425202,0.0729279541142146,0.0733166907509189,1,1,1,1,1,1
"27","share_neutral",NA,409,50496.646,0.991036884029685,0.991104555560447,0.0509858447475134,0.0482617919379363,1,1,1,1,1,1
