Variable;N;Wt. Mean;Wt. SD;N;Wt. Mean;Wt. SD;N;Wt. Mean;Wt. SD;Test;;;;;;
category_abs;brown;;;green;;;neutral;;;;;;;;;
EF952;;;;;;;;;;;;;;;;
EF46;349;;;1556;;;385670;;;F=405.877***;;;;;;
... Male;345;98.9%;;1296;83.2%;;203015;53.3%;;;;;;;;
... Female;4;1.1%;;260;16.8%;;182655;46.7%;;;;;;;;
EF44;349;44.574;12.668;1556;44.526;12.516;385670;43.312;13.359;F=7.947***;;;;;;
EF44_bin10;349;;;1556;;;385670;;;;;;;;;
... [0;10];0;0%;;0;0%;;0;0%;;;;;;;
... (10;20];10;3%;;22;1.6%;;14823;3.9%;;;;;;;
... (20;30];50;15.2%;;205;14%;;64181;17.4%;;;;;;;
... (30;40];67;19.7%;;370;25.3%;;78363;21.1%;;;;;;;
... (40;50];72;20.4%;;335;21%;;85483;22.1%;;;;;;;
... (50;60];125;34.8%;;457;28.1%;;105536;26.3%;;;;;;;
... (60;70];;;;;;;;;;;;;;;
... (70;80];;;;;;;;;;;;;;;
... (80;90];0;0%;;0;0%;;323;0.1%;;;;;;;
... (90;100];0;0%;;0;0%;;15;0%;;;;;;;
EF517;348;;;1555;;;385263;;;F=25.805***;;;;;;
... ISCED-Level 1 - PE;;;;;;;;;;;;;;;;
... ISCED-Level 2 - LSGE;38;10.5%;;145;9.9%;;37281;10%;;;;;;;;
... ISCED-Level 3 - USGE;6;1.8%;;33;2.3%;;18967;5.1%;;;;;;;;
... ISCED-Level 3 - USVE;241;68.8%;;541;33.4%;;153215;39.1%;;;;;;;;
... ISCED-Level 4 - PSNTVE;14;3.9%;;69;4.7%;;49293;12.8%;;;;;;;;
... ISCED-Level 5 - SCTVE;;;;;;;;;;;;;;;;
... ISCED-Level 6 - Bachelor;30;8.9%;;376;23.7%;;63276;16.3%;;;;;;;;
... ISCED-Level 6 - Master;14;4.5%;;336;21.9%;;52565;13.7%;;;;;;;;
EF540;348;;;1555;;;385263;;;;;;;;;
... ISCED 1 ECE (000);;;;;;;;;;;;;;;;
... ISCED 1 PE (100);;;;;;;;;;;;;;;;
... ISCED 2 LSE (200);38;10.5%;;145;9.9%;;37281;10%;;;;;;;;
... ISCED 3 USE (300);0;0%;;0;0%;;0;0%;;;;;;;;
... ISCED 3 USE (302);;;;;;;;;;;;;;;;
