EF564,n_obs,EF952_sum,EF952_share_green_abs,EF952_share_brown_abs,EF952_share_neutral_abs,EF952_share_green_rel,EF952_share_brown_rel,EF952_share_neutral_rel
101,2729,310874.839,1569.4823328579887,7319.694170640183,301985.6624965018,0.005048598779838817,0.02354546992026004,0.9714059312999012
102,2809,337839.213,1765.8646611035892,6233.4377404498955,329839.9105984465,0.005226938120719542,0.018450900607709785,0.9763221612715707
103,2501,289005.945,2678.894854638855,4619.914138726816,281707.13600663433,0.009269341689974077,0.015985533234365877,0.97474512507566
104,2038,244491.887,1087.9475194145766,5851.288059721072,237552.65142086436,0.004449830760292576,0.02393244263242597,0.9716177266072815
105,2683,303296.443,1991.5111486024432,6332.165982091706,294972.7658693059,0.006566219929596876,0.020877811554458964,0.9725559685159442
201,1256,156618.34,806.1070959290709,1746.3964955146705,154065.83640855626,0.005146952112562749,0.011150651293550107,0.9837023965938873
202,1101,138773.144,957.7061224025974,1360.4628122140386,136454.97506538336,0.006901235316846301,0.009803502125843879,0.9832952625573098
203,1216,143061.234,318.9866424963925,1143.9510237688237,141598.2963337348,0.0022297210332772083,0.007996233443427614,0.9897740455232953
204,1564,176944.647,1121.7370725270343,1280.1782109476935,174542.73171652528,0.0063394801229959465,0.007234907823731415,0.9864256120532727
205,1844,215575.942,1189.28726010456,2020.0898394188785,212366.56490047657,0.00551679027386349,0.009370664558751544,0.985112545167385
206,1182,133455.733,820.7011405289155,2852.8257929081637,129782.20606656293,0.006149613224400899,0.021376569809167835,0.9724738169664312
301,4795,505510.363,3377.5154485264925,19914.110899868738,482218.73665160476,0.006681397050858268,0.039394070542266485,0.9539245324068752
302,2780,296286.331,2309.0662022297147,9778.275613998685,284198.9891837716,0.0077933605456463485,0.0330027901759622,0.9592038492783914
303,2788,282509.44,2235.3273953054986,4639.353139326641,275634.7594653679,0.007912398946051143,0.016421940234374616,0.9756656608195743
304,2932,306352.732,1865.6401485930735,7218.987029380567,297268.10482202633,0.006089843352835102,0.02356429786753319,0.9703458587796315
305,2551,254207.489,1211.4666391328701,7856.489988467269,245139.53237239987,0.004765660696695172,0.030905816423320513,0.9643285228799844
306,2470,255371.923,1601.2966655024513,8696.546014425123,245074.08032007242,0.0062704491813003705,0.034054432892472376,0.9596751179262272
307,4654,492257.617,2836.999850434653,12290.880799176923,477129.73635038844,0.0057632421570729155,0.02496839129495262,0.9692683665479744
308,3634,384342.919,2435.5294770607316,9940.071768050128,371967.31775488914,0.006336865743221177,0.02586250787164919,0.9678006263851296
309,3440,358692.128,2533.394989181499,10116.742235328087,346041.9907754904,0.007062867544117107,0.028204528188943378,0.9647326042669394
310,3475,355789.066,1968.2046043576909,6890.786412595957,346930.07498304633,0.005531942356985447,0.01936761713918425,0.9751004405038303
311,5741,607366.253,3944.724632518254,21738.9323125165,581682.5960549653,0.006494803774549282,0.03579213070390412,0.9577130655215466
401,2623,281439.771,1809.0651381396826,4196.340051655044,275434.3658102053,0.006427894436212011,0.014910259615209264,0.9786618459485787
402,510,55015.7,892.7772745920746,1671.3325207144708,52451.59020469346,0.016227681817955142,0.030379192134508348,0.9533931260475366
501,2288,263070.508,1449.1208895302161,6254.302666094921,255367.08444437486,0.00550848858181479,0.023774244835133407,0.9707172665830519
502,1832,216531.235,1221.1098153096902,7089.432288721138,208220.69289596917,0.005639416480997258,0.03274092206014129,0.9616196614588615
503,1904,220041.751,1341.6856764069264,8556.010862912302,210144.05446068078,0.006097414105775438,0.038883579248159605,0.9550190066460651
504,1496,180347.586,840.137305465368,4798.707662204025,174708.7410323306,0.004658433883697051,0.026608105872867212,0.9687334602434357
505,2476,280865.072,2263.434929126175,4684.212802542418,273917.4242683314,0.008058798173117714,0.01667780464543636,0.9752633971814458
506,2390,271854.749,1573.9333248957564,6636.830502262,263643.9851728422,0.005789611293109161,0.02441314903151462,0.9697972396753761
507,2141,222080.407,958.7732342247665,6122.438200098752,214999.1955656765,0.004317234677189539,0.02756856529040291,0.9681142000324076
508,2790,323646.031,1896.5588179460508,3707.8102284713163,318041.66195358266,0.00585997860714087,0.011456374783942017,0.9826836466089172
509,2187,238215.689,1066.9608875402375,6991.697069146288,230157.03104331347,0.00447896984459423,0.02935027956595373,0.966170750589452
510,1517,170009.936,1295.9838264770317,7005.59575418269,161708.35641934027,0.0076229887321234676,0.041206978362621646,0.9511700329052549
511,1191,131473.948,380.1908039815448,8415.2951371053,122678.46205891315,0.0028917577190390965,0.06400732057658526,0.9331009217043756
512,2308,264153.083,1669.2669220464477,7911.975870082045,254571.84020787152,0.006319316447449708,0.029952237468612263,0.9637284460839382
513,2120,248674.506,1339.1824157657402,7082.5088781584045,240252.81470607585,0.005385282300573828,0.028481041310114856,0.9661336763893114
514,2862,330522.138,3281.0977769501983,9665.162316173499,317575.8779068763,0.00992701365422669,0.0292421027367719,0.9608308836090016
515,4750,565533.527,3152.222698029748,8157.014915583572,554224.2893863866,0.005573891816372804,0.014423574423349036,0.9800025337602781
516,3195,368392.192,1684.7343493474298,15455.080152023345,351252.3774986292,0.0045732086236709105,0.0419527896835103,0.9534740016928188
517,1506,158922.702,812.9157735778841,2286.1250948455913,155823.66113157652,0.0051151645633226404,0.01438513859930214,0.9804996968373753
518,2657,298051.129,1924.4869652540442,6712.302559911914,289414.33947483404,0.006456902115120134,0.02252064128202619,0.9710224566028536
