Variable;N;Mean;SD;N;Mean;SD;N;Mean;SD;Test;;;;;;
category_abs;brown;;;green;;;neutral;;;;;;;;;
EF952;8533;110.501;27.836;1556;111.109;28.682;377486;110.745;28.728;F=0.43;;;;;;
EF46;8533;;;1556;;;377486;;;X2=6026.744***;;;;;;
... Male;7860;92.1%;;1296;83.3%;;195500;51.8%;;;;;;;;
... Female;673;7.9%;;260;16.7%;;181986;48.2%;;;;;;;;
EF44;8533;42.26;13.511;1556;45.202;12.464;377486;43.815;13.396;F=64.99***;;;;;;
EF44_bin10;8533;;;1556;;;377486;;;X2=233.432***;;;;;;
... [0;10];0;0%;;0;0%;;0;0%;;;;;;;
... (10;20];456;5.3%;;22;1.4%;;14377;3.8%;;;;;;;
... (20;30];1671;19.6%;;205;13.2%;;62560;16.6%;;;;;;;
... (30;40];1648;19.3%;;370;23.8%;;76782;20.3%;;;;;;;
... (40;50];1790;21%;;335;21.5%;;83765;22.2%;;;;;;;
... (50;60];2369;27.8%;;457;29.4%;;103292;27.4%;;;;;;;
... (60;70];567;6.6%;;157;10.1%;;33026;8.7%;;;;;;;
... (70;80];29;0.3%;;10;0.6%;;3349;0.9%;;;;;;;
... (80;90];3;0%;;0;0%;;320;0.1%;;;;;;;
... (90;100];0;0%;;0;0%;;15;0%;;;;;;;
EF517;8526;;;1555;;;377085;;;X2=4524.963***;;;;;;
... ISCED-Level 1 - PE;177;2.1%;;51;3.3%;;8125;2.2%;;;;;;;;
... ISCED-Level 2 - LSGE;1181;13.9%;;145;9.3%;;36138;9.6%;;;;;;;;
... ISCED-Level 3 - USGE;196;2.3%;;33;2.1%;;18777;5%;;;;;;;;
... ISCED-Level 3 - USVE;5937;69.6%;;541;34.8%;;147519;39.1%;;;;;;;;
... ISCED-Level 4 - PSNTVE;459;5.4%;;69;4.4%;;48848;13%;;;;;;;;
... ISCED-Level 5 - SCTVE;13;0.2%;;4;0.3%;;2356;0.6%;;;;;;;;
... ISCED-Level 6 - Bachelor;459;5.4%;;376;24.2%;;62847;16.7%;;;;;;;;
... ISCED-Level 6 - Master;104;1.2%;;336;21.6%;;52475;13.9%;;;;;;;;
EF540;8526;;;1555;;;377085;;;X2=4031.949***;;;;;;
... ISCED 1 ECE (000);0;0%;;0;0%;;0;0%;;;;;;;;
... ISCED 1 PE (100);177;2.1%;;51;3.3%;;8125;2.2%;;;;;;;;
