Variable,N,Wt. Mean,Wt. SD,N,Wt. Mean,Wt. SD,N,Wt. Mean,Wt. SD,Test
category_rel,brown,,,green,,,neutral,,,
EF952,,,,,,,,,,
EF46,30428,,,12377,,,344770,,,F=12433.739***
... Male,27717,91.20%,,10807,87.50%,,166132,48.90%,,
... Female,2711,8.80%,,1570,12.50%,,178638,51.10%,,
EF44,30428,42.593,13.249,12377,45.043,Dez 53,344770,43.321,13.388,F=148.343***
EF44_bin10,30428,,,12377,,,344770,,,
... [0,0,0%,,0,0%,,0,0%,,
... (10,1515,5%,,303,2.50%,,13037,3.80%,,
... (20,5248,17.90%,,1507,12.80%,,57681,17.50%,,
... (30,6035,20.70%,,2566,21.90%,,70199,21.20%,,
... (40,6614,21.70%,,2885,23.50%,,76391,22.10%,,
... (50,8731,27.50%,,3822,29.50%,,93565,26.10%,,
... (60,2157,6.70%,,1210,9.10%,,30383,8.30%,,
... (70,113,0.30%,,81,0.60%,,3194,0.90%,,
... (80,12,0%,,3,0%,,308,0.10%,,
... (90,3,0%,,0,0%,,12,0%,,
EF517,30401,,,12359,,,344406,,,F=667.316***
... ISCED-Level 1 - PE,716,2.60%,,205,1.90%,,7432,2.40%,,
... ISCED-Level 2 - LSGE,4149,14%,,1354,11.40%,,31961,9.60%,,
... ISCED-Level 3 - USGE,638,2.30%,,346,3.10%,,18022,5.50%,,
... ISCED-Level 3 - USVE,18571,60.30%,,5160,40.80%,,130266,37.10%,,
... ISCED-Level 4 - PSNTVE,1316,4.50%,,612,5.20%,,47448,13.80%,,
... ISCED-Level 5 - SCTVE,72,0.20%,,36,0.30%,,2265,0.60%,,
... ISCED-Level 6 - Bachelor,3559,11.50%,,2590,20.60%,,57533,16.60%,,
... ISCED-Level 6 - Master,1380,4.60%,,2056,16.70%,,49479,14.40%,,
EF540,30401,,,12359,,,344406,,,
... ISCED 1 ECE (000),0,0%,,0,0%,,0,0%,,
... ISCED 1 PE (100),716,2.60%,,205,1.90%,,7432,2.40%,,
