EF137,n_obs,EF952_sum,EF952_share_green_abs,EF952_share_brown_abs,EF952_share_neutral_abs,EF952_share_green_rel,EF952_share_brown_rel,EF952_share_neutral_rel
Growing of non-perennial crops,602,64758.19,88.26854545,62.43067584,64607.49078,0.001363048,9.64E-04,0.997672893
Growing of perennial crops,321,33220.362,19.91206494,4.7022,33195.74774,5.99E-04,1.42E-04,0.999259061
Plant propagation,227,25212.595,14.3655311,47.96437241,25150.2651,5.70E-04,0.001902397,0.997527827
Animal production,823,89822.277,68.17027273,117.9645385,89636.14219,7.59E-04,0.00131331,0.997927743
Mixed farming,1780,191090.647,280.7977397,58.00162564,190751.8476,0.001469448,3.04E-04,0.998227023
Support activities to agriculture and post-harvest crop activities,668,72270.181,773.1334473,158.1127538,71338.9348,0.010697821,0.002187801,0.987114378
"Hunting, trapping and related service activities",3,324.744,0,0,324.744,0,0,1
Silviculture and other forestry activities,104,10872.194,937.3409394,0,9934.853061,0.086214516,0,0.913785484
Logging,18,2039.071,0,6.4866,2032.5844,0,0.003181155,0.996818845
Gathering of wild growing non-wood products,5,589.032,0,0,589.032,0,0,1
Support services to forestry,204,21751.823,722.7510152,118.7329462,20910.33904,0.033227147,0.005458529,0.961314325
Fishing,25,2794.994,0,5.491292308,2789.502708,0,0.001964688,0.998035312
Aquaculture,15,1635.202,11.1353,5.491292308,1618.575408,0.00680974,0.003358174,0.989832087
Mining of hard coal,47,5216.778,0,2154.421084,3062.356916,0,0.412979253,0.587020747
Mining of lignite,90,10190.971,425.9442857,1510.479287,8254.547427,0.041796242,0.148217406,0.809986352
Extraction of crude petroleum,44,4394.138,128.641176,310.9858604,3954.510964,0.029275634,0.070772893,0.899951473
Extraction of natural gas,14,1492.716,22.37783333,131.5385833,1338.799583,0.014991354,0.088120301,0.896888345
Mining of iron ores,3,366.682,0,0,366.682,0,0,1
Mining of non-ferrous metal ores,18,1992.031,37.98492891,290.6093247,1663.436746,0.019068443,0.145885945,0.835045612
"Quarrying of stone, sand and clay",256,27528.029,297.3502946,1836.216948,25394.46176,0.010801728,0.066703539,0.922494733
Mining and quarrying n.e.c.,128,13887.782,219.9077095,2725.467225,10942.40707,0.015834617,0.19624928,0.787916102
Support activities for petroleum and natural gas extraction,30,3180.508,51.38705556,141.368136,2987.752808,0.01615687,0.044448288,0.939394841
Support activities for other mining and quarrying,10,1011.663,0,293.610543,718.052457,0,0.290225641,0.709774359
Processing and preserving of meat and production of meat products,1786,201407.64,284.3964721,417.0019647,200706.2416,0.001412044,0.002070438,0.996517518
"Processing and preserving of fish, crustaceans and molluscs",57,6721.06,0,31.08572051,6689.974279,0,0.004625122,0.995374878
Processing and preserving of fruit and vegetables,161,19088.13,29.35183847,238.5240637,18820.2541,0.001537701,0.012495937,0.985966362
