EF137UG1,n_obs,EF952_sum,EF952_share_green_abs,EF952_share_brown_abs,EF952_share_neutral_abs,EF952_share_green_rel,EF952_share_brown_rel,EF952_share_neutral_rel
"Crop and animal production, hunting and related service activities",4424,476698.996,1244.6476012386736,449.17616620290045,475005.1722325584,0.0026109717278252325,9.422637135214366e-4,0.9964467645586533
Forestry and logging,331,35252.12,1660.0919545454544,125.21954615384617,33466.8084993007,0.0470919750229335,0.0035521139197825877,0.9493559110572839
Fishing and aquaculture,40,4430.196,11.1353,10.982584615384617,4408.078115384616,0.002513500531353466,0.002479029057717676,0.995007470410929
Mining of coal and lignite,137,15407.749,425.9442857142857,3664.900371194383,11316.904343091332,0.027644809486076498,0.2378608563258905,0.734494334188033
Extraction of crude petroleum and natural gas,58,5886.854,151.01900937950938,442.52444374416433,5293.310546876326,0.02565360197136015,0.07517163560437617,0.8991747624242636
Mining of metal ores,21,2358.713,37.984928913192064,290.6093247014595,2030.1187463853485,0.016104091050158312,0.12320673379994068,0.860689175149901
Other mining and quarrying,384,41415.811,517.2580041305916,4561.684173357362,36336.86882251205,0.012489384890485221,0.11014354332835259,0.8773670717811622
Mining support service activities,40,4192.171,51.38705555555556,434.97867892934954,3705.805265515095,0.01225786246685919,0.10375976526943903,0.8839823722637017
Manufacture of food products,7072,791740.895,1541.0950833333334,3127.372819558512,787072.4270971081,0.001946463916498002,0.003949995306934994,0.9941035407765669
Manufacture of beverages,699,77714.43,408.17176993145745,601.6394111946535,76704.61881887389,0.005252200523525135,0.007741669226611499,0.9870061302498635
Manufacture of tobacco products,120,13591.048,6.019142857142857,125.39375867553501,13459.635098467323,4.428755499313119e-4,0.009226202326379468,0.9903309221236892
Manufacture of textiles,777,85676.28,302.9950982142857,504.00014434162335,84869.2847574441,0.0035365109014336956,0.00588261003327436,0.990580879065292
Manufacture of wearing apparel,572,63861.039,219.75829967532468,74.9103006362059,63566.37039968847,0.003441195181232875,0.0011730203862828775,0.9953857844324844
Manufacture of leather and related products,222,24491.056,0,17.465414455822817,24473.590585544178,0,7.131343971375842e-4,0.9992868656028624
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1025,113617.281,299.25456156015036,686.521591698068,112631.50484674178,0.0026338824422329765,0.006042404691044032,0.9913237128667229
Manufacture of paper and paper products,1010,112872.878,581.9888500101952,1380.495528823311,110910.3936211665,0.005156144330883414,0.012230533616971394,0.9826133220521452
Printing and reproduction of recorded media,1589,174037.492,291.4726448051948,894.0243450125212,172851.9950101823,0.0016747692779047565,0.00513696408020245,0.9931882666418929
Manufacture of coke and refined petroleum products,257,29334.406,302.2546209415584,990.4350888593347,28041.716290199107,0.010303758015129347,0.03376359790136315,0.9559326440835075
Manufacture of chemicals and chemical products,3383,368437.345,2312.5901001984125,7333.871837677785,358790.8830621238,0.0062767527005125195,0.01990534330247599,0.9738179039970115
Manufacture of basic pharmaceutical products and pharmaceutical preparations,1547,169879.754,936.5497951839827,1832.544538195138,167110.6596666209,0.005513015960595179,0.010787303931433397,0.9836996801079716
Manufacture of rubber and plastic products,3323,365159.529,1271.5065143398267,4662.064205121387,359225.9582805388,0.0034820576032121753,0.012767198538919649,0.9837507438578682
Manufacture of other non-metallic mineral products,1975,218292.837,2032.8619586190855,3231.3861920607583,213028.58884932016,0.00931254541631655,0.01480298775016955,0.9758844668335139
Manufacture of basic metals,2085,232291.527,914.9832639790765,3276.0399357299034,228100.50380029102,0.003938943773782487,0.014103140041478583,0.9819579161847389
"Manufacture of fabricated metal products, except machinery and equipment",7664,845235.7,2068.1563997644516,10137.249042038286,833030.2945581973,0.002446839857526666,0.011993399050747958,0.9855597610917254
"Manufacture of computer, electronic and optical products",4840,533649.516,4180.492036381674,4453.009557209548,525016.0144064088,0.007833778371461455,0.008344445977553456,0.9838217756509852
Manufacture of electrical equipment,2649,292466.298,2858.445038852814,3453.8464761928126,286154.0064849544,0.009773587789088826,0.0118093828239752,0.978417029386936
Manufacture of machinery and equipment n.e.c.,13042,1444900.298,9362.04096226865,18393.280007095862,1417144.9770306356,0.006479368144104743,0.012729791828927882,0.9807908400269675
"Manufacture of motor vehicles, trailers and semi-trailers",11078,1217853.744,8541.814041218444,17210.90188445224,1192101.0280743293,0.007013825825392744,0.01413215829014378,0.9788540158844634
Manufacture of other transport equipment,2066,231168.284,1328.5836871572872,3083.429856069163,226756.27045677355,0.0057472576435151764,0.013338464095140157,0.9809142782613446
Manufacture of furniture,1088,120343.705,229.69384415584418,398.8251155013717,119715.18604034279,0.0019086486007377302,0.0033140504981242825,0.994777300901138
Other manufacturing,3732,412851.31,1227.6256656926407,2024.0047337696717,409599.6796005377,0.002973529781684938,0.004902502873903129,0.992123967344412
Repair and installation of machinery and equipment,1478,163227.372,1291.5212347763347,2330.072601994806,159605.77816322885,0.007912405982841743,0.014275011436162839,0.9778125825809953
"Electricity, gas, steam and air conditioning supply",3063,333106.399,20812.66388125745,8767.6209032724,303526.11421547015,0.06248052857506784,0.026320781977149592,0.9111986894477826
"Water collection, treatment and supply",191,20319.101,1896.303911725955,1461.2226007656027,16961.574487508442,0.0933261718481519,0.07191374267816292,0.8347600854736852
Sewerage,328,34980.826,4067.9099190953966,3016.783558248056,27896.132522656546,0.11628970451113409,0.08624106126733702,0.7974692342215288
"Waste collection, treatment and disposal activities; materials recovery",1662,184424.639,28446.73322517428,2110.8075545856054,153867.09822024012,0.15424583927299584,0.011445366335165257,0.8343087943918389
Remediation activities and other waste management services,174,19334.566,2525.4721267808277,546.8129094089959,16262.280963810175,0.13061954050485683,0.028281623151458168,0.841098836343685
Construction of buildings,4841,549621.924,2094.851470839979,2518.35575993211,545008.7167692279,0.0038114408821144094,0.004581978356329377,0.9916065807615562
Civil engineering,2631,292217.719,4020.3337632891516,15914.896187816768,272282.4890488941,0.013758008162705396,0.0544624612165177,0.931779530620777
Specialised construction activities,18239,2053248.868,10264.287421900852,51127.75577168835,1991856.8248064108,0.004999046916265413,0.02490090537416936,0.9701000477095653
Wholesale and retail trade and repair of motor vehicles and motorcycles,8123,903574.865,1507.5425271103895,18319.4725461231,883747.8499267665,0.0016684201669447606,0.020274437963835015,0.9780571418692202
"Wholesale trade, except of motor vehicles and motorcycles",13956,1543785.699,9258.784298231009,8322.558157598784,1526204.3565441703,0.00599745437739737,0.005391006124094678,0.988611539498508
"Retail trade, except of motor vehicles and motorcycles",30507,3373722.941,4635.467698809523,2388.5109707019346,3366698.9623304885,0.0013739918125687972,7.079748433621996e-4,0.9979180333440689
Land transport and transport via pipelines,5314,587033.243,8239.618169678932,1568.4869727811176,577225.1378575399,0.0140360333387098,0.002671887821489383,0.9832920788398007
Water transport,305,34873.581,141.0228701298701,14.959214285714285,34717.598915584414,0.004043831063115374,4.2895549744989726e-4,0.9955272134394347
Air transport,781,86726.644,111.5675840909091,147.9567694235589,86467.11964648553,0.0012864280104152202,0.0017060128537149312,0.9970075591358698
Warehousing and support activities for transportation,9697,1097317.339,23785.419094209956,1837.356355514661,1071694.5635502753,0.021675971251749224,0.0016744074755886647,0.9766496212726621
Postal and courier activities,3111,354289.309,1285.2759415584417,482.06312295160984,352521.96993548993,0.003627758187753957,0.0013606482349474728,0.9950115935772985
Accommodation,4568,526028.922,161.96332186563438,164.91887142857146,525702.0398067058,3.078981308667176e-4,3.135167374477015e-4,0.9993785851316855
Food and beverage service activities,9003,1081044.249,581.9641363636364,863.4061723646726,1079598.8786912716,5.383351670405458e-4,7.986779201344908e-4,0.9986629869128248
Publishing activities,4904,552584.814,2147.1769844155847,440.0659505087504,549997.5710650757,0.0038856966930972963,7.963772064658121e-4,0.9953179261004369
"Motion picture, video and television programme production, sound recording and music publishing activities",770,87358.875,64.14737727272727,129.7159796714007,87165.01164305587,7.342971996002383e-4,0.001484863211338295,0.9977808395890615
Programming and broadcasting activities,392,41776.133,55.90858712121212,7.301777777777777,41712.92263510101,0.001338290145744512,1.74783476914385e-4,0.998486926377341
Telecommunications,555,61217.095,186.4111803030303,132.2576911764706,60898.4261285205,0.0030450837352381764,0.0021604699010377834,0.994794446363724
"Computer programming, consultancy and related activities",5119,571834.351,5561.51955762987,517.162455026455,565755.6689873437,0.009725752830175587,9.043920745965381e-4,0.9893698550952278
Information service activities,714,81163.402,170.32135476190476,99.41350695970695,80893.66713827838,0.0020984994537550897,0.0012248563331500933,0.9966766442130948
"Financial service activities, except insurance and pension funding",6578,707741.265,884.5384168290043,215.79088941798938,706640.935693753,0.0012498047811709894,3.0490081628628703e-4,0.9984452944025426
"Insurance, reinsurance and pension funding, except compulsory social security",1582,169158.394,123.94142857142856,181.09011098901098,168853.36246043956,7.326945216294059e-4,0.0010705357665491372,0.9981967697118215
Activities auxiliary to financial services and insurance activities,3626,394942.876,668.7372674242424,139.4896015037594,394134.649131072,0.0016932506143603472,3.531893090882323e-4,0.9979535600765514
Real estate activities,2009,217177.451,1112.7948342032967,308.3769863136863,215756.279179483,0.005123896744709913,0.0014199309591937622,0.9934561722960963
Legal and accounting activities,6343,687071.914,186.70384545454544,110.22737053317053,686774.9827840123,2.7173843327053164e-4,1.604306161948144e-4,0.9995678309505347
Activities of head offices; management consultancy activities,2836,314765.793,1445.4458774930986,303.61285250562645,313016.7342700013,0.004592131386694546,9.645674951268496e-4,0.9944433011181787
Architectural and engineering activities; technical testing and analysis,6111,671412.732,12308.48174036718,8174.260524412936,650929.9897352199,0.018332213784065063,0.012174717777638058,0.9694930684382969
Scientific research and development,2261,255288.7,4884.586617784993,1000.5164741812036,249403.5969080338,0.019133579425117495,0.003919156915998255,0.9769472636588842
Advertising and market research,1471,164711.9,139.725675,31.25708703703704,164540.91723796297,8.483034619842282e-4,1.8976823797817305e-4,0.9989619283000377
"Other professional, scientific and technical activities",3184,354235.954,8587.428945454545,846.2749608956402,344802.25009364984,0.024242115596923696,0.002389014868026751,0.9733688695350495
Veterinary activities,620,67148.106,74.57227272727273,0,67073.53372727273,0.0011105640526520991,0,0.998889435947348
Rental and leasing activities,629,69748.36,296.9766266233766,181.56977063492064,69269.8136027417,0.004257829526362722,0.0026032120416153246,0.9931389584320219
Employment activities,734,81937.444,365.8769386363636,75.90523042220936,81495.66183094143,0.004465320380708526,9.263802568970709e-4,0.9946082993623945
"Travel agency, tour operator and other reservation service and related activities",1499,166785.821,157.54576893939395,22.904444444444447,166605.37078661617,9.445992950407574e-4,1.3732848696079776e-4,0.9989180722179986
Security and investigation activities,1395,156772.688,464.7364242424242,48.42381481481482,156259.52776094276,0.0029643966061385914,3.088791512895079e-4,0.9967267242425719
Services to buildings and landscape activities,11069,1261668.323,7666.109031352702,1294.6013280184427,1252707.6126406288,0.006076168269901709,0.0010261027438179112,0.9928977289862803
"Office administrative, office support and other business support activities",3824,425275.307,1630.9951198593074,730.9209562608244,422913.39092387987,0.003835151237359068,0.0017187006727875324,0.9944461480898534
Public administration and defence; compulsory social security,27154,2954280.285,22607.209880449478,5786.643242659077,2925886.4318768913,0.0076523578332207826,0.00195873197003008,0.990388910196749
Education,26862,2933384.936,4544.185223917749,1107.484433060117,2927733.266343022,0.0015491268016512882,3.7754486956979345e-4,0.9980733283287789
Human health activities,29148,3196215.805,2491.3687915501164,617.5938648166648,3193106.842343633,7.794745234826583e-4,1.9322658496667586e-4,0.9990272988915506
Residential care activities,12024,1321577.737,1061.418839473027,279.8432455718173,1320236.4749149552,8.031452178382353e-4,2.1174936421603576e-4,0.9989851054179458
Social work activities without accommodation,10550,1155284.113,1499.3944272727272,205.59614501535617,1153579.122427712,0.0012978577394084942,1.7796154443903116e-4,0.9985241807161526
"Creative, arts and entertainment activities",2109,240273.371,85.43134496753247,106.05102344322341,240081.88863158925,3.555589394362493e-4,4.413765162649814e-4,0.9992030645442987
"Libraries, archives, museums and other cultural activities",617,67755.438,635.4804200757576,30.95906666666667,67088.99851325758,0.009379031983761327,4.5692371830976386e-4,0.990164044297929
Gambling and betting activities,606,68993.373,70.49,15.432592592592592,68907.4504074074,0.0010216923297836154,2.2368224543236335e-4,0.9987546254247839
Sports activities and amusement and recreation activities,2020,224856.004,365.66427445887444,246.27577534492798,224244.0639501962,0.0016262153020333602,0.0010952599484287198,0.997278524749538
Activities of membership organisations,5088,551417.302,3638.94263241897,616.9935515064857,547161.3658160745,0.006599253630998633,0.001118923090132717,0.9922818232788686
Repair of computers and personal and household goods,651,72903.302,279.1526329545455,660.2168334776335,71963.93253356781,0.003829080786416855,0.009056062144861881,0.9871148570687213
Other personal service activities,5159,570559.824,1657.2816933441559,254.29351048581051,568648.24879617,0.0029046589395753807,4.456912312946355e-4,0.9966496498291298
Activities of households as employers of domestic personnel,1967,217370.432,73.7625,0,217296.6695,3.393400809913282e-4,0,0.9996606599190087
Activities of extraterritorial organisations and bodies,173,20007.516,83.87053327922078,214.3493825156325,19709.296084205147,0.004191951328651732,0.010713443013897003,0.9850946056574513
