"","share_type","EF442","n_obs","EF952_sum","mean","mean_weighted","sd","sd_weighted","median","q25","q75","median_weighted","q25_weighted","q75_weighted"
"1","share_brown","< 150",2435,267269.39,0.00154890476191676,0.00153998294083752,0.0146388858707324,0.0145807425603693,0,0,0,0,0,0
"2","share_brown","150 to < 300",4380,488512.268,0.000639370665205801,0.000628015116668816,0.00919082318692056,0.00912961788571667,0,0,0,0,0,0
"3","share_brown","300 to < 500",17838,1976848.256,0.00160208941027954,0.00162077757626942,0.015849395423704,0.0158505080178607,0,0,0,0,0,0
"4","share_brown","500 to < 700",12534,1399486.537,0.00563096312078672,0.00566946270003447,0.0347294541593976,0.0349583044230324,0,0,0,0,0,0
"5","share_brown","700 to < 900",17822,1990407.832,0.0031996246530805,0.00327709700398887,0.0244751261182346,0.0251712569828004,0,0,0,0,0,0
"6","share_brown","900 to < 1,100",20645,2290285.052,0.00176318185266633,0.00182046201650617,0.0189934355543681,0.0200289619058405,0,0,0,0,0,0
"7","share_brown","1,100 to < 1,300",25944,2908469.029,0.00279693486701102,0.00287564630141927,0.025753795516067,0.0260219901461942,0,0,0,0,0,0
"8","share_brown","1,300 to < 1,500",27265,3060317.192,0.00465460104653738,0.00468444700786982,0.0304975611258761,0.0302986756761251,0,0,0,0,0,0
"9","share_brown","1,500 to < 1,700",29055,3251768.148,0.00667022374460049,0.00662025176217318,0.0411955404372903,0.0403577107740225,0,0,0,0,0,0
"10","share_brown","1,700 to < 2,000",42388,4718834.029,0.00758274803720583,0.00755658238404836,0.0439547490088094,0.04352240387826,0,0,0,0,0,0
"11","share_brown","2,000 to < 2,300",37750,4185723.896,0.0086679608437752,0.00861795959229823,0.0478675572416292,0.047359465569826,0,0,0,0,0,0
"12","share_brown","2,300 to < 2,600",28490,3148035.018,0.00875600479619391,0.00874330217984173,0.0468324139420756,0.0463472314874716,0,0,0,0,0,0
"13","share_brown","2,600 to < 2,900",17662,1944856.26,0.00873147510874599,0.00887503495941327,0.0447986202579063,0.0450925556710797,0,0,0,0,0,0
"14","share_brown","2,900 to < 3,200",15146,1654787.699,0.00794723421154067,0.00782469595561652,0.0422934304470614,0.0417177247473053,0,0,0,0,0,0
"15","share_brown","3,200 to < 3,600",13167,1433839.036,0.00739722633549343,0.00739005869356185,0.0401231818664911,0.0399635320453558,0,0,0,0,0,0
"16","share_brown","3,600 to < 4,000",8367,906656.979,0.0075035191453089,0.00771564377261647,0.0403927416202938,0.0417107840470657,0,0,0,0,0,0
"17","share_brown","4,000 to < 4,500",7231,782230.324,0.00653806712060546,0.00649996946582346,0.0341090022558645,0.0340992893187355,0,0,0,0,0,0
"18","share_brown","4,500 to < 5,000",4562,494566.643,0.00700563389097558,0.00692752810010078,0.0408645072403062,0.0412129107375932,0,0,0,0,0,0
"19","share_brown","5,000 to < 5,500",3079,333600.126,0.00609591576241719,0.0058655641544448,0.0277501895172622,0.0270279135783109,0,0,0,0,0,0
"20","share_brown","5,500 to < 6,000",2018,217297.986,0.00679587429496146,0.00718614412870588,0.0360022061034077,0.0369491054319774,0,0,0,0,0,0
"21","share_brown","6,000 to < 7,500",2522,273061.41,0.00476258441342175,0.00472194451949977,0.0330765218218328,0.0326810421359473,0,0,0,0,0,0
"22","share_brown","7,500 to < 10,000",1586,171938.972,0.00364030556338249,0.00357014927467518,0.0259968109646995,0.025570939524923,0,0,0,0,0,0
"23","share_brown","10,000 to < 18,000",763,80818.272,0.0026715069310089,0.00274204771664826,0.0179754478782627,0.0182660409295732,0,0,0,0,0,0
"24","share_brown","> 18,000",259,28356.228,0.00174664460378746,0.0016390889843452,0.0130583710045613,0.0125309519124012,0,0,0,0,0,0
"25","share_brown",NA,44667,4912678.022,0.00345536809506814,0.00343561888901857,0.0281693330471579,0.0285779824326741,0,0,0,0,0,0
"26","share_green","< 150",2435,267269.39,0.00303722836117735,0.00343188287750662,0.0373831413389891,0.0400388378550186,0,0,0,0,0,0
"27","share_green","150 to < 300",4380,488512.268,0.0026249739605904,0.00243931431969549,0.0376980344664021,0.0361430876994235,0,0,0,0,0,0
"28","share_green","300 to < 500",17838,1976848.256,0.00210650734668958,0.00197211027707736,0.03114256105247,0.0301224726314434,0,0,0,0,0,0
"29","share_green","500 to < 700",12534,1399486.537,0.00251442740740501,0.0025982546422627,0.030637173874721,0.0312044630393082,0,0,0,0,0,0
