Variable;N;Mean;SD;N;Mean;SD;N;Mean;SD;Test;;;;;;
category_rel;brown;;;green;;;neutral;;;;;;;;;
EF952;18134;111.353;29.102;12377;110.486;29.045;357064;110.719;28.677;F=4.708***;;;;;;
EF46;18134;;;12377;;;357064;;;X2=18156.743***;;;;;;
... Male;16567;91.4%;;10807;87.3%;;177282;49.6%;;;;;;;;
... Female;1567;8.6%;;1570;12.7%;;179782;50.4%;;;;;;;;
EF44;18134;43.054;13.158;12377;45.595;12.542;357064;43.761;13.433;F=140.532***;;;;;;
EF44_bin10;18134;;;12377;;;357064;;;X2=499.669***;;;;;;
... [0;10];0;0%;;0;0%;;0;0%;;;;;;;
... (10;20];860;4.7%;;303;2.4%;;13692;3.8%;;;;;;;
... (20;30];3060;16.9%;;1507;12.2%;;59869;16.8%;;;;;;;
... (30;40];3690;20.3%;;2566;20.7%;;72544;20.3%;;;;;;;
... (40;50];3996;22%;;2885;23.3%;;79009;22.1%;;;;;;;
... (50;60];5199;28.7%;;3822;30.9%;;97097;27.2%;;;;;;;
... (60;70];;;;;;;;;;;;;;;
... (70;80];;;;;;;;;;;;;;;
... (80;90];6;0%;;3;0%;;314;0.1%;;;;;;;
... (90;100];0;0%;;0;0%;;15;0%;;;;;;;
EF517;18122;;;12359;;;356685;;;X2=4941.291***;;;;;;
... ISCED-Level 1 - PE;;;;;;;;;;;;;;;;
... ISCED-Level 2 - LSGE;2347;13%;;1354;11%;;33763;9.5%;;;;;;;;
... ISCED-Level 3 - USGE;385;2.1%;;346;2.8%;;18275;5.1%;;;;;;;;
... ISCED-Level 3 - USVE;10395;57.4%;;5160;41.8%;;138442;38.8%;;;;;;;;
... ISCED-Level 4 - PSNTVE;796;4.4%;;612;5%;;47968;13.4%;;;;;;;;
... ISCED-Level 5 - SCTVE;;;;;;;;;;;;;;;;
... ISCED-Level 6 - Bachelor;2621;14.5%;;2590;21%;;58471;16.4%;;;;;;;;
... ISCED-Level 6 - Master;1182;6.5%;;2056;16.6%;;49677;13.9%;;;;;;;;
EF540;18122;;;12359;;;356685;;;X2=4192.039***;;;;;;
... ISCED 1 ECE (000);;;;;;;;;;;;;;;;
... ISCED 1 PE (100);;;;;;;;;;;;;;;;
... ISCED 2 LSE (200);2347;13%;;1354;11%;;33763;9.5%;;;;;;;;
... ISCED 3 USE (300);;;;;;;;;;;;;;;;
... ISCED 3 USE (302);0;0%;;0;0%;;0;0%;;;;;;;;
... ISCED 3 USE (303);13;0.1%;;16;0.1%;;2473;0.7%;;;;;;;;
