"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max","Sum""
"EF952","387965","110.757","28.728","x","95.251","122.74","x","42969647.021""
"EF46","387965","","","","","","",""
"... Male","204873","52.8%","","","","","",""
"... Female","183092","47.2%","","","","","",""
"EF44","387965","43.78","13.4","x","33","55","x","16985199""
"EF44_bin10","387965","","","","","","",""
"... [0,10]","0","0%","","","","","",""
"... (10,20]","14897","3.8%","","","","","",""
"... (20,30]","64554","16.6%","","","","","",""
"... (30,40]","78876","20.3%","","","","","",""
"... (40,50]","85959","22.2%","","","","","",""
"... (50,60]","106181","27.4%","","","","","",""
"... (60,70]","33766","8.7%","","","","","",""
"... (70,80]","3392","0.9%","","","","","",""
"... (80,90]","325","0.1%","","","","","",""
"... (90,100]","15","0%","","","","","",""
"EF517","387537","","","","","","",""
"... ISCED-Level 1 - PE","8378","2.2%","","","","","",""
"... ISCED-Level 2 - LSGE","37562","9.7%","","","","","",""
"... ISCED-Level 3 - USGE","19071","4.9%","","","","","",""
"... ISCED-Level 3 - USVE","154069","39.8%","","","","","",""
"... ISCED-Level 4 - PSNTVE","49418","12.8%","","","","","",""
"... ISCED-Level 5 - SCTVE","2373","0.6%","","","","","",""
"... ISCED-Level 6 - Bachelor","63730","16.4%","","","","","",""
"... ISCED-Level 6 - Master","52936","13.7%","","","","","",""
"EF540","387537","","","","","","",""
"... ISCED 1 ECE (000)","0","0%","","","","","",""
"... ISCED 1 PE (100)","8378","2.2%","","","","","",""
"... ISCED 2 LSE (200)","37562","9.7%","","","","","",""
"... ISCED 3 USE (300)","0","0%","","","","","",""
"... ISCED 3 USE (302)","0","0%","","","","","",""
"... ISCED 3 USE (303)","2499","0.6%","","","","","",""
"... ISCED 3 USE (304)","170641","44%","","","","","",""
"... ISCED 4 PSNTE (400)","49418","12.8%","","","","","",""
"... ISCED 5 SCTE (500)","2373","0.6%","","","","","",""
"... ISCED 6 Bachelor (600)","63730","16.4%","","","","","",""
"... ISCED 7 Master (700)","46600","12%","","","","","",""
"... ISCED 8 Doctoral (800)","6336","1.6%","","","","","",""
"EF442","x","","","","","","",""
"... < 150","x","0.7%","","","","","",""
"... 150 to < 300","x","1.3%","","","","","",""
"... 300 to < 500","17883","5.2%","","","","","",""
"... 500 to < 700","12552","3.7%","","","","","",""
"... 700 to < 900","17854","5.2%","","","","","",""
"... 900 to < 1,100","20671","6%","","","","","",""
"... 1,100 to < 1,300","25967","7.6%","","","","","",""
"... 1,300 to < 1,500","27291","8%","","","","","",""
"... 1,500 to < 1,700","29080","8.5%","","","","","",""
"... 1,700 to < 2,000","42416","12.4%","","","","","",""
"... 2,000 to < 2,300","37765","11%","","","","","",""
"... 2,300 to < 2,600","28507","8.3%","","","","","",""
"... 2,600 to < 2,900","17668","5.1%","","","","","",""
"... 2,900 to < 3,200","15148","4.4%","","","","","",""
"... 3,200 to < 3,600","13166","3.8%","","","","","",""
"... 3,600 to < 4,000","8366","2.4%","","","","","",""
"... 4,000 to < 4,500","7235","2.1%","","","","","",""
"... 4,500 to < 5,000","4558","1.3%","","","","","",""
"... 5,000 to < 5,500","3080","0.9%","","","","","",""
"... 5,500 to < 6,000","2012","0.6%","","","","","",""
"... 6,000 to < 7,500","2521","0.7%","","","","","",""
"... 7,500 to < 10,000","1590","0.5%","","","","","",""
"... 10,000 to < 18,000","763","0.2%","","","","","",""
"... > 18,000","260","0.1%","","","","","",""
"EF114UG4","x","","","","","","",""
"... Occupations in agriculture, forestry, farming, and gardening","7921","2%","","","","","",""
"... Occupations in production of raw materials and goods, and manufacturing","73147","18.9%","","","","","",""
"... Occupations in construction, architecture, surveying and technical building services","23204","6%","","","","","",""
"... Occupations in natural sciences, geography and informatics","15261","3.9%","","","","","",""
"... Occupations in traffic, logistics, safety and security","x","","","","","",""
"... Occupations in commercial services, trading, sales, the hotel business and tourism","x","","","","","","",""
"... Occupations in business organisation, accounting, law and administration","81759","21.1%","","","","","",""
"... Occupations in health care, the social sector, teaching and education","77395","19.9%","","","","","",""
"... Occupations in philology, literature, humanities, social sciences, economics, media, art, culture, and design","12592","3.2%","","","","","",""
"... Military occupations","1440","0.4%","","","","","",""
"EF114UG3,"x","","","","","","",""
"... Occupations in agriculture, forestry, and farming","4366","1.1%","","","","","",""
"... Occupations in gardening and floristry","3555","0.9%","","","","","",""
"... Occupations in production and processing of raw materials, glass- and ceramic-making and -processing","953","0.2%","","","","","",""
"... Occupations in plastic-making and -processing, and wood-working and -processing","4636","1.2%","","","","","",""
"... Occupations in paper-making and -processing, printing, and in technical media design","3412","0.9%","","","","","",""
"... Occupations in metal-making and -working, and in metal construction","11438","3%","","","","","",""
"... Technical occupations in machine-building and automotive industry","20585","5.3%","","","","","",""
"... Occupations in mechatronics, energy electronics and electrical engineering","11854","3.1%","","","","","",""
"... Occupations in technical research and development, construction, and production planning and scheduling","10451","2.7%","","","","","",""
"... Occupations in textile- and leather-making and -processing","1578","0.4%","","","","","",""
"... Occupations in food-production and -processing","8240","2.1%","","","","","",""
"... Occupations in construction scheduling, architecture and surveying","3868","1%","","","","","",""
"... Occupations in building construction above and below ground","5926","1.5%","","","","","",""
"... Occupations in interior construction","5100","1.3%","","","","","",""
"... Occupations in building services engineering and technical building services","8310","2.1%","","","","","",""
"... Occupations in mathematics, biology, chemistry and physics","4304","1.1%","","","","","",""
"... Occupations in geology, geography and environmental protection","736","0.2%","","","","","",""
"... Occupations in computer science, information and communication technology","10221","2.6%","","","","","",""
"... Occupations in traffic and logistics (without vehicle driving)","x"
"... Drivers and operators of vehicles and transport equipment","x"
"... Occupations in safety and health protection, security and surveillance","6641","1.7%","","","","","",""
"... Occupations in cleaning services","10827","2.8%","","","","","",""
"... Occupations in purchasing, sales and trading","10005","2.6%","","","","","",""
"... Sales occupations in retail trade","25412","6.6%","","","","","",""
"... Occupations in tourism, hotels and restaurants","10897","2.8%","","","","","",""
"... Occupations in business management and organisation","49242","12.7%","","","","","",""
"... Occupations in financial services, accounting and tax consultancy","15968","4.1%","","","","","",""
"... Occupations in law and public administration","16549","4.3%","","","","","",""
