Variable;N;Mean;Std. Dev.;Min;Pctl. 25;Pctl. 75;Max;Sum;;
EF952;867049;97.021;43.921;;86.14;119.322;;84.121.987.206;;
EF46;767346;;;;;;;;;
... Male;375717;49%;;;;;;;;
... Female;391629;51%;;;;;;;;
EF44;767346;44.877;23.515;;26;63;;34436260;;
EF44_bin10;767346;;;;;;;;;
... [0;10];73300;9.6%;;;;;;;
... (10;20];72230;9.4%;;;;;;;
... (20;30];85154;11.1%;;;;;;;
... (30;40];93226;12.1%;;;;;;;
... (40;50];98204;12.8%;;;;;;;
... (50;60];128454;16.7%;;;;;;;
... (60;70];98061;12.8%;;;;;;;
... (70;80];73091;9.5%;;;;;;;
... (80;90];39882;5.2%;;;;;;;
... (90;100];5744;0.7%;;;;;;;
EF517;653261;;;;;;;;;
... ISCED-Level 1 - PE;34046;5.2%;;;;;;;;
... ISCED-Level 2 - LSGE;94059;14.4%;;;;;;;;
... ISCED-Level 3 - USGE;34283;5.2%;;;;;;;;
... ISCED-Level 3 - USVE;263208;40.3%;;;;;;;;
... ISCED-Level 4 - PSNTVE;62496;9.6%;;;;;;;;
... ISCED-Level 5 - SCTVE;3705;0.6%;;;;;;;;
... ISCED-Level 6 - Bachelor;89688;13.7%;;;;;;;;
... ISCED-Level 6 - Master;71776;11%;;;;;;;;
EF540;653161;;;;;;;;;
... ISCED 1 ECE (000);0;0%;;;;;;;;
... ISCED 1 PE (100);33949;5.2%;;;;;;;;
... ISCED 2 LSE (200);94056;14.4%;;;;;;;;
... ISCED 3 USE (300);0;0%;;;;;;;;
... ISCED 3 USE (302);0;0%;;;;;;;;
... ISCED 3 USE (303);4271;0.7%;;;;;;;;
... ISCED 3 USE (304);293220;44.9%;;;;;;;;
... ISCED 4 PSNTE (400);62496;9.6%;;;;;;;;
... ISCED 5 SCTE (500);3705;0.6%;;;;;;;;
... ISCED 6 Bachelor (600);89688;13.7%;;;;;;;;
... ISCED 7 Master (700);63424;9.7%;;;;;;;;
... ISCED 8 Doctoral (800);8352;1.3%;;;;;;;;
EF436;607902;;;;;;;;;
... < 150;6448;1.1%;;;;;;;;
... 150 to < 300;16140;2.7%;;;;;;;;
... 300 to < 500;34911;5.7%;;;;;;;;
... 500 to < 700;34312;5.6%;;;;;;;;
... 700 to < 900;48634;8%;;;;;;;;
... 900 to < 1;100;50558;8.3%;;;;;;;
... 1;100 to < 1;300;52805;8.7%;;;;;;
... 1;300 to < 1;500;51377;8.5%;;;;;;
... 1;500 to < 1;700;48856;8%;;;;;;
... 1;700 to < 2;0;63953;10.5%;;;;;;
... 2;000 to < 2;300;52592;8.7%;;;;;;
... 2;300 to < 2;600;38293;6.3%;;;;;;
... 2;600 to < 2;900;23332;3.8%;;;;;;
... 2;900 to < 3;200;21395;3.5%;;;;;;
... 3;200 to < 3;600;17624;2.9%;;;;;;
... 3;600 to < 4;0;11326;1.9%;;;;;;
... 4;000 to < 4;500;10136;1.7%;;;;;;
... 4;500 to < 5;0;6455;1.1%;;;;;;
... 5;000 to < 5;500;4604;0.8%;;;;;;
... 5;500 to < 6;0;2972;0.5%;;;;;;
... 6;000 to < 7;500;3938;0.6%;;;;;;
... 7;500 to < 10;0;3010;0.5%;;;;;;
... 10;000 to < 18;0;1919;0.3%;;;;;;
... > 18;0;877;0.1%;;;;;;;
... Farmer (self-employed; main job);1435;0.2%;;;;;;;
EF436_num;606467;1.830.654;1.534.786;;1000;;18000;1110231000;;
EF442;343191;;;;;;;;;
... < 150;2441;0.7%;;;;;;;;
... 150 to < 300;4397;1.3%;;;;;;;;
... 300 to < 500;17883;5.2%;;;;;;;;
... 500 to < 700;12552;3.7%;;;;;;;;
... 700 to < 900;17854;5.2%;;;;;;;;
... 900 to < 1;100;20671;6%;;;;;;;
... 1;100 to < 1;300;25967;7.6%;;;;;;
... 1;300 to < 1;500;27291;8%;;;;;;
... 1;500 to < 1;700;29080;8.5%;;;;;;
... 1;700 to < 2;0;42416;12.4%;;;;;;
... 2;000 to < 2;300;37765;11%;;;;;;
... 2;300 to < 2;600;28507;8.3%;;;;;;
... 2;600 to < 2;900;17668;5.1%;;;;;;
... 2;900 to < 3;200;15148;4.4%;;;;;;
... 3;200 to < 3;600;13166;3.8%;;;;;;
... 3;600 to < 4;0;8366;2.4%;;;;;;
... 4;000 to < 4;500;7235;2.1%;;;;;;
... 4;500 to < 5;0;4558;1.3%;;;;;;
... 5;000 to < 5;500;3080;0.9%;;;;;;
... 5;500 to < 6;0;2012;0.6%;;;;;;
... 6;000 to < 7;500;2521;0.7%;;;;;;
... 7;500 to < 10;0;1590;0.5%;;;;;;
... 10;000 to < 18;0;763;0.2%;;;;;;
... > 18;0;260;0.1%;;;;;;;
EF442_num;343191;2.022.691;1.422.756;;1200;2450;;694169475;;
EF114UG4;387966;;;;;;;;;
... Occupations in agriculture; forestry; farming; and gardening;7921;2%;;;;;
... Occupations in production of raw materials and goods; and manufacturing;73147;18.9%;;;;;;;
... Occupations in construction; architecture; surveying and technical building services;23204;6%;;;;;;
... Occupations in natural sciences; geography and informatics;15261;3.9%;;;;;;;
... Occupations in traffic; logistics; safety and security;48933;12.6%;;;;;;
... Occupations in commercial services; trading; sales; the hotel business and tourism;46314;11.9%;;;;;
... Occupations in business organisation; accounting; law and administration;81759;21.1%;;;;;;
... Occupations in health care; the social sector; teaching and education;77395;19.9%;;;;;;
... Occupations in philology; literature; humanities; social sciences; economics; media; art; culture; and design;12592;3.2%
... Military occupations;1440;0.4%;;;;;;;;
EF114UG3;387508;;;;;;;;;
... Occupations in agriculture; forestry; and farming;4366;1.1%;;;;;;
... Occupations in gardening and floristry;3555;0.9%;;;;;;;;
... Occupations in production and processing of raw materials; glass- and ceramic-making and -processing;953;0.2%;;;;;;;
... Occupations in plastic-making and -processing; and wood-working and -processing;4636;1.2%;;;;;;;
... Occupations in paper-making and -processing; printing; and in technical media design;3412;0.9%;;;;;;
... Occupations in metal-making and -working; and in metal construction;11438;3%;;;;;;;
... Technical occupations in machine-building and automotive industry;20585;5.3%;;;;;;;;
... Occupations in mechatronics; energy electronics and electrical engineering;11854;3.1%;;;;;;;
... Occupations in technical research and development; construction; and production planning and scheduling;10451;2.7%;;;;;;
... Occupations in textile- and leather-making and -processing;1578;0.4%;;;;;;;;
... Occupations in food-production and -processing;8240;2.1%;;;;;;;;
... Occupations in construction scheduling; architecture and surveying;3868;1%;;;;;;;
... Occupations in building construction above and below ground;5926;1.5%;;;;;;;;
... Occupations in interior construction;5100;1.3%;;;;;;;;
... Occupations in building services engineering and technical building services;8310;2.1%;;;;;;;;
... Occupations in mathematics; biology; chemistry and physics;4304;1.1%;;;;;;
... Occupations in geology; geography and environmental protection;736;0.2%;;;;;;;
... Occupations in computer science; information and communication technology;10221;2.6%;;;;;;;
... Occupations in traffic and logistics (without vehicle driving);19625;5.1%;;;;;;;;
... Drivers and operators of vehicles and transport equipment;11840;3.1%;;;;;;;;
... Occupations in safety and health protection; security and surveillance;6641;1.7%;;;;;;;
... Occupations in cleaning services;10827;2.8%;;;;;;;;
... Occupations in purchasing; sales and trading;10005;2.6%;;;;;;;
... Sales occupations in retail trade;25412;6.6%;;;;;;;;
... Occupations in tourism; hotels and restaurants;10897;2.8%;;;;;;;
... Occupations in business management and organisation;49242;12.7%;;;;;;;;
... Occupations in financial services; accounting and tax consultancy;15968;4.1%;;;;;;;
... Occupations in law and public administration;16549;4.3%;;;;;;;;
... Medical and health care occupations;29658;7.7%;;;;;;;;
... Occupations in non-medical healthcare; body care; wellness and medical technicians;11843;3.1%;;;;;;
... Occupations in education and social work; housekeeping; and theology;19022;4.9%;;;;;;
... Occupations in teaching and training;16872;4.4%;;;;;;;;
... Occupations in in philology; literature; humanities; social sciences; and economics;1160;0.3%;;;;
... Occupations in advertising and marketing; in commercial and editorial media design;6948;1.8%;;;;;;;
... Occupations in product design; artisan craftwork; fine arts and the making of musical instruments;1650;0.4%;;;;;;
... Occupations in the performing arts and entertainment;2376;0.6%;;;;;;;;
... Armed forces personnel;1440;0.4%;;;;;;;;
EF137UG1;387966;;;;;;;;;
... Crop and animal production; hunting and related service activities;4426;1.1%;;;;;;;
... Forestry and logging;331;0.1%;;;;;;;;
... Fishing and aquaculture;40;0%;;;;;;;;
... Mining of coal and lignite;137;0%;;;;;;;;
... Extraction of crude petroleum and natural gas;58;0%;;;;;;;;
... Mining of metal ores;21;0%;;;;;;;;
... Other mining and quarrying;384;0.1%;;;;;;;;
... Mining support service activities;40;0%;;;;;;;;
... Manufacture of food products;7079;1.8%;;;;;;;;
... Manufacture of beverages;701;0.2%;;;;;;;;
... Manufacture of tobacco products;120;0%;;;;;;;;
... Manufacture of textiles;777;0.2%;;;;;;;;
... Manufacture of wearing apparel;574;0.1%;;;;;;;;
... Manufacture of leather and related products;222;0.1%;;;;;;;;
... Manufacture of wood and of products of wood and cork;" except furniture; manufacture of articles of straw and plaiting materials";1027;0.3%;;;;;;;
... Manufacture of paper and paper products;1010;0.3%;;;;;;;;
... Printing and reproduction of recorded media;1590;0.4%;;;;;;;;
... Manufacture of coke and refined petroleum products;257;0.1%;;;;;;;;
... Manufacture of chemicals and chemical products;3384;0.9%;;;;;;;;
... Manufacture of basic pharmaceutical products and pharmaceutical preparations;1548;0.4%;;;;;;;;
... Manufacture of rubber and plastic products;3324;0.9%;;;;;;;;
... Manufacture of other non-metallic mineral products;1976;0.5%;;;;;;;;
... Manufacture of basic metals;2085;0.5%;;;;;;;;
... Manufacture of fabricated metal products; except machinery and equipment;7669;2%;;;;;;;
... Manufacture of computer; electronic and optical products;4850;1.3%;;;;;;;
... Manufacture of electrical equipment;2652;0.7%;;;;;;;;
... Manufacture of machinery and equipment n.e.c.;13052;3.4%;;;;;;;;
... Manufacture of motor vehicles; trailers and semi-trailers;11122;2.9%;;;;;;;
... Manufacture of other transport equipment;2071;0.5%;;;;;;;;
... Manufacture of furniture;1088;0.3%;;;;;;;;
... Other manufacturing;3734;1%;;;;;;;;
... Repair and installation of machinery and equipment;1478;0.4%;;;;;;;;
... Electricity; gas; steam and air conditioning supply;3066;0.8%;;;;;;
... Water collection; treatment and supply;191;0%;;;;;;;
... Sewerage;329;0.1%;;;;;;;;
... Waste collection;" treatment and disposal activities; materials recovery";1663;0.4%;;;;;;;
... Remediation activities and other waste management services;174;0%;;;;;;;;
... Construction of buildings;4844;1.2%;;;;;;;;
... Civil engineering;2632;0.7%;;;;;;;;
... Specialised construction activities;18255;4.7%;;;;;;;;
... Wholesale and retail trade and repair of motor vehicles and motorcycles;8130;2.1%;;;;;;;;
... Wholesale trade; except of motor vehicles and motorcycles;13981;3.6%;;;;;;;
... Retail trade; except of motor vehicles and motorcycles;30541;7.9%;;;;;;;
... Land transport and transport via pipelines;5318;1.4%;;;;;;;;
... Water transport;305;0.1%;;;;;;;;
... Air transport;785;0.2%;;;;;;;;
... Warehousing and support activities for transportation;9702;2.5%;;;;;;;;
... Postal and courier activities;3117;0.8%;;;;;;;;
... Accommodation;4572;1.2%;;;;;;;;
... Food and beverage service activities;9016;2.3%;;;;;;;;
... Publishing activities;4913;1.3%;;;;;;;;
... Motion picture; video and television programme production; sound recording and music publishing activities;771;0.2%;;;;;;
... Programming and broadcasting activities;393;0.1%;;;;;;;;
... Telecommunications;555;0.1%;;;;;;;;
... Computer programming; consultancy and related activities;5127;1.3%;;;;;;;
... Information service activities;716;0.2%;;;;;;;;
... Financial service activities; except insurance and pension funding;6549;1.7%;;;;;;;
... Insurance; reinsurance and pension funding; except compulsory social security;1582;0.4%;;;;;;
... Activities auxiliary to financial services and insurance activities;3631;0.9%;;;;;;;;
... Real estate activities;2011;0.5%;;;;;;;;
... Legal and accounting activities;6356;1.6%;;;;;;;;
"... Activities of head offices; management consultancy activities";2839;0.7%;;;;;;;;
"... Architectural and engineering activities; technical testing and analysis";6116;1.6%;;;;;;;;
... Scientific research and development;2266;0.6%;;;;;;;;
... Advertising and market research;1481;0.4%;;;;;;;;
... Other professional; scientific and technical activities;3187;0.8%;;;;;;;
... Veterinary activities;622;0.2%;;;;;;;;
... Rental and leasing activities;629;0.2%;;;;;;;;
... Employment activities;735;0.2%;;;;;;;;
... Travel agency; tour operator and other reservation service and related activities;1500;0.4%;;;;;;;
... Security and investigation activities;1397;0.4%;;;;;;;;
... Services to buildings and landscape activities;11081;2.9%;;;;;;;;
... Office administrative; office support and other business support activities;3829;1%;;;;;;;
"... Public administration and defence; compulsory social security";27144;7%;;;;;;;;
... Education;26895;6.9%;;;;;;;;
... Human health activities;29172;7.5%;;;;;;;;
... Residential care activities;12038;3.1%;;;;;;;;
... Social work activities without accommodation;10563;2.7%;;;;;;;;
... Creative; arts and entertainment activities;2113;0.5%;;;;;;;
... Libraries; archives; museums and other cultural activities;617;0.2%;;;;;;
... Gambling and betting activities;607;0.2%;;;;;;;;
... Sports activities and amusement and recreation activities;2027;0.5%;;;;;;;;
... Activities of membership organisations;5093;1.3%;;;;;;;;
... Repair of computers and personal and household goods;651;0.2%;;;;;;;;
... Other personal service activities;5170;1.3%;;;;;;;;
... Activities of households as employers of domestic personnel;1969;0.5%;;;;;;;;
... Undifferentiated goods- and services-producing activities of private households for own use;0;0%;;;;;;;;
... Activities of extraterritorial organisations and bodies;173;0%;;;;;;;;
