EF541UG3;n_obs;EF952_sum;share_green_wtd;share_brown_wtd;share_neutral_wtd;share_green_unwtd;share_brown_unwtd;share_neutral_unwtd
0;1440;190.071.297;0;0;1;0;0;1
1;19688;2.154.348.532;6,25E+10;0;0.9999375073262287;5,08E+11;0;0.9999492076391711
2;71540;7.892.929.219;0.010676754968815531;0.004467203966482917;0.9848560410647016;0.010655196075939715;0.004502975358440831;0.9848418285656194
3;90573;9.889.307.395;0.006352081041575156;0.0032263403317552243;0.9904215786266696;0.0063681873830269626;0.003204396932366059;0.990427415684607
4;48435;5.280.109.593;1,15E+12;0;0.999885316648073;1,24E+12;0;0.9998761226385878
5;53578;5.957.147.201;0;0;1;0;0;1
6;5016;543904.37;0.001149963181946856;0;0.9988500368180532;0.0011961722488038277;0;0.9988038277511961
7;45714;5.133.178.621;0.00370325175217219;0.02316967458787768;0.9731270736599501;0.0037843712400395485;0.02334118168383396;0.9728744470761265
8;22849;2.561.492.215;0.020394093746498608;0.022428421176715143;0.9571774850767862;0.020446488607020797;0.02276807294725443;0.9567854384457247
NA;28742;3.318.156.161;0.011760115335284893;4,10E+12;0.987830085989179;0.0119569503398047;4,18E+11;0.987625542179853
