EF541UG1,n_obs,EF952_sum,share_green_wtd,share_brown_wtd,share_neutral_wtd,share_green_unwtd,share_brown_unwtd,share_neutral_unwtd
11,105,12347.157,0,0,1,0,0,1
21,72,9550.961,0,0,1,0,0,1
31,1263,168173.179,0,0,1,0,0,1
111,383,40370.029,0,0,1,0,0,1
112,6730,734645.324,0,0,1,0,0,1
121,3777,407265.448,0,0,1,0,0,1
122,1838,203050.568,0,0,1,0,0,1
131,x,x,x,x,x,x,x,x
132,2567,282668.943,0,0,1,0,0,1
133,x,x,x,x,x,x,x,x
134,2168,231957.131,5.804132833493272e-4,0,0.9994195867166507,4.6125461254612545e-4,0,0.9995387453874539
141,1535,178908.068,0,0,1,0,0,1
142,15,1910.94,0,0,1,0,0,1
143,128,14066.228,0,0,1,0,0,1
211,585,65002.082,0.06821601498856605,0.009184798111543565,0.9225991868998904,0.06923076923076923,0.009401709401709401,0.9213675213675214
212,272,30817.301,0,0,1,0,0,1
213,743,81422.071,0.20776543996155666,0,0.7922345600384434,0.19940570869238433,0,0.8005942913076156
214,7749,851154.08,0.039831324874306455,0.02634415364271397,0.9338245214829796,0.039710193020297546,0.026335195324742364,0.9339546116549601
215,1409,154308.886,0.08016550539632133,0.07931727183321674,0.8405172227704619,0.08067187130352496,0.0798945554091047,0.8394335732873702
216,3474,387583.864,0,0,1,0,0,1
221,3751,417730.776,0,0,1,0,0,1
222,358,38660.867,0,0,1,0,0,1
223,331,35156.031,0,0,1,0,0,1
224,7,863.845,0,0,1,0,0,1
225,326,34665.172,0,0,1,0,0,1
226,4613,502368.345,0.0023738816584870613,0,0.997626118341513,0.002384565358768697,0,0.9976154346412313
231,2982,339707.52,0,0,1,0,0,1
232,2936,318300.219,0,0,1,0,0,1
233,4355,467381.545,0,0,1,0,0,1
234,2007,214930.522,0,0,1,0,0,1
235,3030,332417.628,0.012424337295774619,0,0.9875756627042253,0.012717271727172717,0,0.9872827282728273
241,3222,353585.573,0,0,1,0,0,1
242,5889,647605.056,0.0019216547520798438,0,0.9980783452479203,0.0021226014603498047,0,0.9978773985396502
243,4515,503735.721,0,0,1,0,0,1
251,6370,721754.907,0.013966023891542452,0,0.9860339761084576,0.014160125588697017,0,0.9858398744113029
252,1268,140563.46,0,0,1,0,0,1
261,2208,238981.488,0,0,1,0,0,1
262,398,42478.507,0,0,1,0,0,1
263,5117,558561.826,0,0,1,0,0,1
264,1880,210507.672,0,0,1,0,0,1
265,1745,202684.255,0,0,1,0,0,1
311,11229,1231285.548,0.015996073770919026,0.002676840091107278,0.9813270861379737,0.015856824032084518,0.0027483057567698537,0.9813948702111456
312,6642,714972.169,0.012710715598028055,0.028473586437676945,0.958815697964295,0.013044141948397476,0.027672341078138186,0.9592835169734644
313,476,51899.939,0.36299013899474086,0.15900779630148368,0.47800206470377554,0.3614945978391356,0.15876350540216083,0.47974189675870355
314,576,62294.468,0.16043641775168008,0,0.8395635822483198,0.1632667824074074,0,0.8367332175925926
315,362,40259.968,0,0,1,0,0,1
321,2519,273414.282,0,0,1,0,0,1
322,12983,1429920.381,0,0,1,0,0,1
324,239,26147.599,0,0,1,0,0,1
325,8779,960525.24,0.003548185782187254,0,0.9964518142178128,0.003360291604966397,0,0.9966397083950336
331,4808,520124.05,0,0,1,0,0,1
332,3935,427326.912,0.0031784091098854077,0,0.9968215908901146,0.0032401524777636594,0,0.9967598475222363
333,2804,305677.776,0,0,1,0,0,1
334,16698,1814502.201,2.3936622684457437e-4,0,0.9997606337731555,2.2321671620988904e-4,0,0.9997767832837902
335,3627,390547.71,0,0,1,0,0,1
341,9679,1060577.188,0,0,1,0,0,1
342,1351,148820.379,0,0,1,0,0,1
343,1517,168659.157,0,0,1,0,0,1
351,1666,186290.674,0,0,1,0,0,1
352,683,76061.754,0,0,1,0,0,1
411,9,908.311,0.6666666666666666,0,0.3333333333333333,0.6666666666666666,0,0.3333333333333333
412,12793,1376926.695,0,0,1,0,0,1
413,2181,241784.738,0,0,1,0,0,1
421,3613,386401.968,0,0,1,0,0,1
422,2844,315122.957,0,0,1,0,0,1
431,4394,476836.671,0,0,1,0,0,1
432,18861,2062890.113,0,0,1,0,0,1
441,3740,419238.14,0,0,1,0,0,1
511,650,72697.668,0,0,1,0,0,1
512,2509,295837.836,0,0,1,0,0,1
513,4928,576530.769,0,0,1,0,0,1
514,3091,341377.05,0,0,1,0,0,1
515,5601,609083.387,0,0,1,0,0,1
516,1267,139997.092,0,0,1,0,0,1
521,111,12323.216,0,0,1,0,0,1
522,24048,2649122.623,0,0,1,0,0,1
523,1527,168190.969,0,0,1,0,0,1
524,902,104561.302,0,0,1,0,0,1
531,1493,163442.034,0,0,1,0,0,1
532,3893,429745.685,0,0,1,0,0,1
541,3558,394237.57,0,0,1,0,0,1
611,2442,269582.241,0.0023201454134361916,0,0.9976798545865639,0.002457002457002457,0,0.9975429975429976
612,269,29389.54,0,0,1,0,0,1
613,2093,222312.581,0,0,1,0,0,1
621,189,20158.584,0,0,1,0,0,1
622,23,2461.424,0,0,1,0,0,1
711,3685,425862.742,0.0043168397448732805,0.02590103846923968,0.969782121785887,0.00454188388202528,0.02725130329215168,0.968206812825823
712,4383,510009.182,0.003758544096172763,0.08040716679627521,0.9158342891075522,0.003992699064567648,0.08376951054206762,0.9122377903933647
713,3382,385429.006,0,0,1,0,0,1
721,3900,436063.982,0,0.008864249963124992,0.9911357500368749,0,0.008566433566433568,0.9914335664335664
722,5473,610551.653,0,0.006520309256172375,0.9934796907438275,0,0.00658340211078421,0.9934165978892158
723,7659,850986.727,0,0.05730236334163327,0.9426976366583668,0,0.056913523097097976,0.943086476902902
731,974,108381.012,0,0,1,0,0,1
732,1245,137666.929,0,0,1,0,0,1
741,5840,647894.767,0.023544223983375315,0.010711347400914305,0.9657444286157103,0.023760600130463144,0.01086105675146771,0.9653783431180691
742,2667,289217.932,0,0.011567938786497282,0.9884320612135028,0,0.011498562679665042,0.9885014373203349
751,1442,167020.749,0,0,1,0,0,1
752,2193,246282.978,0,0,1,0,0,1
753,948,105181.361,0,0,1,0,0,1
754,1923,212629.601,0,0,1,0,0,1
811,308,33408.861,0,0.41727988765333496,0.5827201123466652,0,0.42160591509331,0.57839408490669
812,712,78481.763,0,0.0529969023928952,0.9470030976071048,0,0.052668539325842714,0.9473314606741573
813,951,103806.709,0,0.0903644429048553,0.9096355570951447,0,0.09043112513144058,0.9095688748685594
814,680,76755.992,0,0,1,0,0,1
815,564,61950.327,0,0,1,0,0,1
816,842,98215.416,0,0,1,0,0,1
817,145,15832.115,0,0,1,0,0,1
818,4306,483141.533,0,0.04861543483219095,0.9513845651678091,0,0.04853325314309988,0.9514667468569001
821,2094,239101.793,0,0,1,0,0,1
831,520,56698.743,0,0,1,0,0,1
832,2721,304557.841,0,0,1,0,0,1
833,6497,725347.428,0.07201971130948351,0,0.9279802886905165,0.07190731386514056,0,0.9280926861348594
834,2483,281292.331,0,0.02304193284245634,0.9769580671575435,0,0.0233140913769186,0.9766859086230814
835,26,2901.363,0,0,1,0,0,1
911,10328,1188418.999,0,0,1,0,0,1
912,361,43968.262,0,0,1,0,0,1
921,1200,135607.878,0,0,1,0,0,1
931,1463,175486.1,0,0.007748625104780379,0.9922513748952195,0,0.008202323991797676,0.9917976760082023
932,3351,383081.002,0,0,1,0,0,1
933,6395,742086.441,0,0,1,0,0,1
941,3264,385568.918,0,0,1,0,0,1
961,510,57909.302,0.6738450957990505,0,0.3261549042009494,0.6738562091503267,0,0.3261437908496732
962,1870,206029.259,0,0,1,0,0,1
