,isco_code,preferredLabel,n_obs,EF952_sum,share_brown_unwtd,share_brown_wtd,share_green_unwtd,share_green_wtd,share_neutral_unwtd,share_neutral_wtd
0,011,Commissioned armed forces officers,105.0,12347.157,0.0,0.0,0.0,0.0,1.0,1.0
1,021,Non-commissioned armed forces officers,72.0,9550.961,0.0,0.0,0.0,0.0,1.0,1.0
2,031,"Armed forces occupations, other ranks",1263.0,168173.179,0.0,0.0,0.0,0.0,1.0,1.0
3,111,Legislators and senior officials,383.0,40370.029,0.0,0.0,0.0,0.0,1.0,1.0
4,112,Managing directors and chief executives,6730.0,734645.324,0.0,0.0,0.0,0.0,1.0,1.0
5,121,Business services and administration managers,3777.0,407265.448,0.0,0.0,0.0,0.0,1.0,1.0
6,122,"Sales, marketing and development managers",1838.0,203050.568,0.0,0.0,0.0,0.0,1.0,1.0
7,131,"Production managers in agriculture, forestry and fisheries",,,,,,,,
8,132,"Manufacturing, mining, construction, and distribution managers",2567.0,282668.943,0.0,0.0,0.0,0.0,1.0,1.0
9,133,Information and communications technology service managers,,,,,,,,
10,134,Professional services managers,2168.0,231957.131,0.0,0.0,0.000461255,0.000580413,0.999538745,0.999419587
11,141,Hotel and restaurant managers,1535.0,178908.068,0.0,0.0,0.0,0.0,1.0,1.0
12,142,Retail and wholesale trade managers,15.0,1910.94,0.0,0.0,0.0,0.0,1.0,1.0
13,143,Other services managers,128.0,14066.228,0.0,0.0,0.0,0.0,1.0,1.0
14,211,Physical and earth science professionals,585.0,65002.082,0.009401709,0.009184798,0.069230769,0.068216015,0.921367521,0.922599187
15,212,"Mathematicians, actuaries and statisticians",272.0,30817.301,0.0,0.0,0.0,0.0,1.0,1.0
16,213,Life science professionals,743.0,81422.071,0.0,0.0,0.199405709,0.20776544,0.800594291,0.79223456
17,214,Engineering professionals (excluding electrotechnology),7749.0,851154.08,0.026335195,0.026344154,0.039710193,0.039831325,0.933954612,0.933824521
