EF541UG3,n_obs,EF952_sum,share_green_wtd,share_green_unwtd,share_brown_wtd,share_brown_unwtd,share_neutral_wtd,share_neutral_unwtd,share_green_cat_abs_wtd,share_green_cat_abs_unwtd,share_brown_cat_abs_wtd,share_brown_cat_abs_unwtd,share_neutral_cat_abs_wtd,share_neutral_cat_abs_unwtd,share_green_cat_rel_wtd,share_green_cat_rel_unwtd,share_brown_cat_rel_wtd,share_brown_cat_rel_unwtd,share_neutral_cat_rel_wtd,share_neutral_cat_rel_unwtd
0,1440,190071.297,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
1,19688,2154348.532,6.249267377132085e-5,5.0792360828931334e-5,6.138800107577023e-4,6.349045103616417e-4,0.999323627315471,0.9993143031288094,6.249267377132085e-5,5.0792360828931334e-5,0,0,0.9999375073262287,0.9999492076391711,6.249267377132085e-5,5.0792360828931334e-5,0.0012277600215154045,0.0012698090207232833,0.9987097473047132,0.9986793986184478
2,71540,7892929.219,0.010676754968815531,0.010655196075939715,0.005834332824088076,0.005882549239446625,0.9834889122070964,0.9834622546846137,0.006632556373872128,0.006583729382163824,7.577321212513967e-4,7.408442829186469e-4,0.9926097115048765,0.9926754263349176,0.05423911416428984,0.05433324014537322,0.038987837273294065,0.039292703382722956,0.9067730485624161,0.9063740564719038
3,90573,9889307.395,0.006352081041575156,0.0063681873830269626,0.005980437221805518,0.00596748051315033,0.9876674817366193,0.9876643321038228,0.005652951290427554,0.005663939584644431,0.0014668288102091098,0.0014684287812041115,0.9928802198993634,0.9928676316341515,0.018233236545075564,0.018603778167886678,0.02232235678219607,0.022192043986618528,0.9594444066727283,0.9592041778454948
4,48435,5280109.593,1.1468335192690888e-4,1.2387736141220192e-4,0,0,0.999885316648073,0.9998761226385878,1.7202502789036333e-4,1.8581604211830288e-4,0,0,0.9998279749721095,0.9998141839578817,1.7202502789036333e-4,1.8581604211830288e-4,0,0,0.9998279749721095,0.9998141839578817
5,53578,5957147.201,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
6,5016,543904.37,0.001149963181946856,0.0011961722488038277,0,0,0.9988500368180532,0.9988038277511961,0.002299926363893712,0.0023923444976076554,0,0,0.9977000736361064,0.9976076555023924,0.002299926363893712,0.0023923444976076554,0,0,0.9977000736361064,0.9976076555023924
7,45714,5133178.621,0.00370325175217219,0.0037843712400395485,0.14270784784060203,0.14392878211695156,0.8535889004072258,0.8522868466430089,8.627533399835688e-4,8.750054687841799e-4,0.11272037595435937,0.11460384127400797,0.886416870705657,0.8845211532572078,0.024201838114840068,0.0248064050400315,0.37384403693829693,0.3749835936474603,0.601954124946863,0.6002100013125082
8,22849,2561492.215,0.020394093746498608,0.020446488607020797,0.16458277082593095,0.16622042012551064,0.8150231354275705,0.8133330912674686,0,0,0.12809989820718623,0.13046522823755963,0.8719001017928137,0.8695347717624403,0.22433503121148468,0.22491137467722877,0.3620254996558715,0.3638233620727384,0.4136394691326439,0.4112652632500328
NA,28742,3318156.161,0.011760115335284893,0.0119569503398047,0.004725232399934658,0.004418620833623269,0.9835146522647804,0.9836244288265721,0.017452253357041446,0.017744067914550136,0.004725232399934658,0.004418620833623269,0.9778225142430239,0.9778373112518266,0.017452253357041446,0.017744067914550136,0.004725232399934658,0.004418620833623269,0.9778225142430239,0.9778373112518266
