Variable,N,Wt. Mean,Wt. SD,Wt. Sum,N,Wt. Mean,Wt. SD,Wt. Sum,N,Wt. Mean,Wt. SD,Wt. Sum,Test
category_rel,brown,,,,green,,,,neutral,,,,
EF952,,,,,,,,,,,,,
EF46,30428,,,,12377,,,,344770,,,,F=12433.739***
... Male,27717,91.22%,,,10807,87.53%,,,166132,48.88%,,,
... Female,2711,8.79%,,,1570,12.47%,,,178638,51.12%,,,
EF44,30428,42.59267,13.24864,144522824,12377,45.04324,12.5298,61596064.95,344770,43.32105,13.38764,1653132221,F=148.343***
EF44_bin10,30428,,,,12377,,,,344770,,,,
"... [0,10]",0,0%,,,0,0%,,,0,0%,,,
"... (10,20]",1515,4.97%,,,303,2.50%,,,13037,3.80%,,,
"... (20,30]",5248,17.93%,,,1507,12.84%,,,57681,17.53%,,,
"... (30,40]",6035,20.74%,,,2566,21.89%,,,70199,21.18%,,,
"... (40,50]",6614,21.75%,,,2885,23.51%,,,76391,22.13%,,,
"... (50,60]",8731,27.54%,,,3822,29.50%,,,93565,26.06%,,,
"... (60,70]",2157,6.69%,,,1210,9.10%,,,30383,8.34%,,,
"... (70,80]",113,0.33%,,,81,0.63%,,,3194,0.87%,,,
"... (80,90]",12,0.04%,,,3,0.02%,,,308,0.09%,,,
"... (90,100]",3,0.01%,,,0,0%,,,12,0.00%,,,
EF517,30401,,,,12359,,,,344406,,,,F=667.316***
... ISCED-Level 1 - PE,716,2.58%,,,205,1.92%,,,7432,2.39%,,,
... ISCED-Level 2 - LSGE,4149,14.03%,,,1354,11.41%,,,31961,9.63%,,,
... ISCED-Level 3 - USGE,638,2.25%,,,346,3.08%,,,18022,5.45%,,,
... ISCED-Level 3 - USVE,18571,60.34%,,,5160,40.82%,,,130266,37.13%,,,
... ISCED-Level 4 - PSNTVE,1316,4.48%,,,612,5.21%,,,47448,13.75%,,,
... ISCED-Level 5 - SCTVE,72,0.23%,,,36,0.27%,,,2265,0.64%,,,
