Variable,N,Mean,SD,Sum,N,Mean,SD,Sum,N,Mean,SD,Sum,Test
category_abs,brown,,,,green,,,,neutral,,,,
EF952,8533,11.050.116,2.783.569,942.906.422,1556,1.111.092,2.868.178,172.885.922,377486,11.074.544,2.872.839,41804852.26,F=0.43
EF46,8533,,,,1556,,,,377486,,,,X2=6026.744***
... Male,7860,92113%,,,1296,83.29%,,,195500,51.79%,,,
... Female,673,7887%,,,260,16.71%,,,181986,48.21%,,,
EF44,8533,4.225.993,1.351.136,360604,1556,4.520.244,1.246.395,70335,377486,4.381.549,1.339.619,16539733,F=64.99***
EF44_bin10,8533,,,,1556,,,,377486,,,,X2=233.432***
"... [0,10]",0,0%,,,0,0%,,,0,0%,,,
"... (10,20]",456,5344%,,,22,1414%,,,14377,3809%,,,
"... (20,30]",1671,19583%,,,205,13175%,,,62560,16573%,,,
"... (30,40]",1648,19313%,,,370,23779%,,,76782,20.34%,,,
"... (40,50]",1790,20977%,,,335,21.53%,,,83765,22.19%,,,
"... (50,60]",2369,27763%,,,457,29.37%,,,103292,27363%,,,
"... (60,70]",567,6645%,,,157,10.09%,,,33026,8749%,,,
"... (70,80]",29,0.34%,,,10,0.64%,,,3349,0.89%,,,
"... (80,90]",3,0.04%,,,0,0%,,,320,0.09%,,,
"... (90,100]",0,0%,,,0,0%,,,15,0.00%,,,
EF517,8526,,,,1555,,,,377085,,,,X2=4524.963***
... ISCED-Level 1 - PE,177,2076%,,,51,3.28%,,,8125,2155%,,,
... ISCED-Level 2 - LSGE,1181,13852%,,,145,9325%,,,36138,9584%,,,
... ISCED-Level 3 - USGE,196,2299%,,,33,2122%,,,18777,4.98%,,,
... ISCED-Level 3 - USVE,5937,69634%,,,541,34791%,,,147519,39121%,,,
... ISCED-Level 4 - PSNTVE,459,5384%,,,69,4437%,,,48848,12954%,,,
... ISCED-Level 5 - SCTVE,13,0.15%,,,4,0.26%,,,2356,0.63%,,,
... ISCED-Level 6 - Bachelor,459,5384%,,,376,24.18%,,,62847,16667%,,,
... ISCED-Level 6 - Master,104,1.22%,,,336,21608%,,,52475,13916%,,,
EF540,8526,,,,1555,,,,377085,,,,X2=4031.949***
... ISCED 1 ECE (000),0,0%,,,0,0%,,,0,0%,,,
... ISCED 1 PE (100),177,2076%,,,51,3.28%,,,8125,2155%,,,
... ISCED 2 LSE (200),1181,13852%,,,145,9325%,,,36138,9584%,,,
... ISCED 3 USE (300),0,0%,,,0,0%,,,0,0%,,,
... ISCED 3 USE (302),0,0%,,,0,0%,,,0,0%,,,
... ISCED 3 USE (303),,,,,,,,,,,,,
... ISCED 3 USE (304),,,,,,,,,,,,,
... ISCED 4 PSNTE (400),459,5384%,,,69,4437%,,,48848,12954%,,,
... ISCED 5 SCTE (500),13,0.15%,,,4,0.26%,,,2356,0.63%,,,
... ISCED 6 Bachelor (600),459,5384%,,,376,24.18%,,,62847,16667%,,,
... ISCED 7 Master (700),,,,,,,,,,,,,
... ISCED 8 Doctoral (800),,,,,,,,,,,,,
EF436,8415,,,,1520,,,,371316,,,,X2=2454.085***
... < 150,7,0.08%,,,5,0.33%,,,2017,0.54%,,,
... 150 to < 300,15,0.18%,,,8,0.53%,,,3525,0.95%,,,
... 300 to < 500,79,0.94%,,,25,1645%,,,15507,4176%,,,
... 500 to < 700,183,2175%,,,24,1579%,,,13417,3613%,,,
... 700 to < 900,310,3684%,,,46,3026%,,,19609,5281%,,,
"... 900 to < 1,100",206,2448%,,,43,2829%,,,23215,6252%,,,
"... 1,100 to < 1,300",382,4.54%,,,79,5197%,,,27966,7532%,,,
"... 1,300 to < 1,500",527,6263%,,,79,5197%,,,29402,7918%,,,
"... 1,500 to < 1,700",733,8711%,,,127,8355%,,,30904,8323%,,,
"... 1,700 to < 2,000",1389,16506%,,,217,14276%,,,44950,12106%,,,
"... 2,000 to < 2,300",1466,17421%,,,159,10461%,,,39704,10693%,,,
"... 2,300 to < 2,600",1183,14058%,,,165,10855%,,,30001,8.08%,,,
"... 2,600 to < 2,900",736,8746%,,,106,6974%,,,18427,4963%,,,
"... 2,900 to < 3,200",504,5989%,,,90,5921%,,,17032,4587%,,,
"... 3,200 to < 3,600",358,4254%,,,97,6382%,,,14497,3904%,,,
"... 3,600 to < 4,000",137,1628%,,,66,4342%,,,9594,2584%,,,
"... 4,000 to < 4,500",74,0.88%,,,62,4079%,,,8739,2354%,,,
"... 4,500 to < 5,000",52,0.62%,,,44,2895%,,,5691,1533%,,,
"... 5,000 to < 5,500",32,0.38%,,,19,1.25%,,,4107,1106%,,,
"... 5,500 to < 6,000",12,0.14%,,,16,1053%,,,2684,0.72%,,,
"... 6,000 to < 7,500",18,0.21%,,,19,1.25%,,,3591,0.97%,,,
"... 7,500 to < 10,000",3,0.04%,,,13,0.86%,,,2768,0.75%,,,
"... 10,000 to < 18,000",,,,,,,,,,,,,
"... > 18,000",,,,,,,,,,,,,
"... Farmer (self-employed, main job)",,,,,,,,,,,,,
EF436_num,8415,213.523.173,94.025.086,17967975,1520,255.641.447,174.423.247,3885750,369881,215.487.326,17.125.292,797046675,F=42.905***
EF442,8170,,,,1388,,,,333350,,,,X2=2476.389***
... < 150,22,0.27%,,,7,0.50%,,,2406,0.72%,,,
... 150 to < 300,16,0.20%,,,14,1009%,,,4350,1305%,,,
... 300 to < 500,100,1224%,,,33,2378%,,,17705,5311%,,,
... 500 to < 700,172,2105%,,,21,1513%,,,12341,3702%,,,
... 700 to < 900,293,3586%,,,26,1873%,,,17503,5251%,,,
"... 900 to < 1,100",199,2436%,,,36,2594%,,,20410,6123%,,,
"... 1,100 to < 1,300",340,4162%,,,72,5187%,,,25532,7659%,,,
"... 1,300 to < 1,500",520,6365%,,,77,5548%,,,26668,8%,,,
"... 1,500 to < 1,700",704,8617%,,,109,7853%,,,28242,8472%,,,
"... 1,700 to < 2,000",1369,16756%,,,194,13977%,,,40825,12247%,,,
"... 2,000 to < 2,300",1445,17687%,,,163,11744%,,,36142,10842%,,,
"... 2,300 to < 2,600",1194,14614%,,,158,11383%,,,27138,8141%,,,
"... 2,600 to < 2,900",703,8605%,,,93,6.70%,,,16866,5.06%,,,
"... 2,900 to < 3,200",499,6108%,,,83,5.98%,,,14564,4369%,,,
"... 3,200 to < 3,600",306,3745%,,,94,6772%,,,12767,3.83%,,,
"... 3,600 to < 4,000",143,1.75%,,,66,4755%,,,8158,2447%,,,
"... 4,000 to < 4,500",72,0.88%,,,42,3026%,,,7117,2135%,,,
"... 4,500 to < 5,000",34,0.42%,,,42,3026%,,,4486,1346%,,,
"... 5,000 to < 5,500",15,0.18%,,,19,1369%,,,3045,0.91%,,,
"... 5,500 to < 6,000",9,0.11%,,,12,0.87%,,,1997,0.60%,,,
"... 6,000 to < 7,500",6,0.07%,,,17,1225%,,,2499,0.75%,,,
"... 7,500 to < 10,000",,,,,,,,,,,,,
"... 10,000 to < 18,000",,,,,,,,,,,,,
"... > 18,000",,,,,,,,,,,,,
EF442_num,8170,210.426.561,85.986.843,17191850,1388,244.283.141,137.016.237,3390650,333350,201.962.427,143.357.633,673241750,F=74.727***
EF114UG4,8533,,,,1556,,,,377486,,,,X2=26623.104***
"... Occupations in agriculture, forestry, farming, and gardening",0,0%,,,131,8419%,,,7790,2064%,,,
"... Occupations in production of raw materials and goods, and manufacturing",6040,70784%,,,486,31234%,,,66621,17649%,,,
"... Occupations in construction, architecture, surveying and technical building services",1401,16419%,,,536,34447%,,,21267,5634%,,,
"... Occupations in natural sciences, geography and informatics",916,10735%,,,403,25.90%,,,13942,3693%,,,
"... Occupations in traffic, logistics, safety and security",113,1324%,,,0,0%,,,48819,12933%,,,
"... Occupations in commercial services, trading, sales, the hotel business and tourism",0,0%,,,0,0%,,,46314,12269%,,,
"... Occupations in business organisation, accounting, law and administration",0,0%,,,0,0%,,,81827,21677%,,,
"... Occupations in health care, the social sector, teaching and education",0,0%,,,0,0%,,,77395,20503%,,,
"... Occupations in philology, literature, humanities, social sciences, economics, media, art, culture, and design",63,0.74%,,,0,0%,,,12071,3198%,,,
... Military occupations,0,0%,,,0,0%,,,1440,0.38%,,,
