Variable,N,Mean,SD,Sum,N,Mean,SD,Sum,N,Mean,SD,Sum,Test
category_rel,brown,,,,green,,,,neutral,,,,
EF952,30428,11.151.369,292.662,3.393.138.687,12377,11.048.619,2.904.527,1.367.487.548,344770,11.068.254,2.864.599,38.160.018.369,F=12.224***
EF46,30428,,,,12377,,,,344770,,,,X2=26762.464***
... Male,27717,91.09%,,,10807,87315%,,,166132,48186%,,,
... Female,2711,8.91%,,,1570,12685%,,,178638,51814%,,,
EF44,30428,4.302.836,1.331.762,1309267,12377,4.559.465,1.254.237,564325,344770,4.378.884,1.342.779,15097080,F=161.583***
EF44_bin10,30428,,,,12377,,,,344770,,,,X2=656.826***
"... [0,10]",0,0%,,,0,0%,,,0,0%,,,
"... (10,20]",1515,4979%,,,303,2448%,,,13037,3781%,,,
"... (20,30]",5248,17247%,,,1507,12176%,,,57681,16.73%,,,
"... (30,40]",6035,19834%,,,2566,20732%,,,70199,20361%,,,
"... (40,50]",6614,21737%,,,2885,23309%,,,76391,22157%,,,
"... (50,60]",8731,28694%,,,3822,30.88%,,,93565,27138%,,,
"... (60,70]",2157,7089%,,,1210,9776%,,,30383,8813%,,,
"... (70,80]",113,0.37%,,,81,0.65%,,,3194,0.93%,,,
"... (80,90]",12,0.04%,,,3,0.02%,,,308,0.09%,,,
"... (90,100]",3,0.01%,,,0,0%,,,12,0.00%,,,
EF517,30401,,,,12359,,,,344406,,,,X2=10385.14***
... ISCED-Level 1 - PE,716,2355%,,,205,1659%,,,7432,2158%,,,
... ISCED-Level 2 - LSGE,4149,13648%,,,1354,10956%,,,31961,9.28%,,,
... ISCED-Level 3 - USGE,638,2099%,,,346,2.80%,,,18022,5233%,,,
... ISCED-Level 3 - USVE,18571,61087%,,,5160,41751%,,,130266,37823%,,,
... ISCED-Level 4 - PSNTVE,1316,4329%,,,612,4952%,,,47448,13777%,,,
... ISCED-Level 5 - SCTVE,72,0.24%,,,36,0.29%,,,2265,0.66%,,,
... ISCED-Level 6 - Bachelor,3559,11707%,,,2590,20956%,,,57533,16705%,,,
... ISCED-Level 6 - Master,1380,4539%,,,2056,16636%,,,49479,14366%,,,
EF540,30401,,,,12359,,,,344406,,,,X2=8879.985***
... ISCED 1 ECE (000),0,0%,,,0,0%,,,0,0%,,,
... ISCED 1 PE (100),716,2355%,,,205,1659%,,,7432,2158%,,,
... ISCED 2 LSE (200),4149,13648%,,,1354,10956%,,,31961,9.28%,,,
... ISCED 3 USE (300),0,0%,,,0,0%,,,0,0%,,,
... ISCED 3 USE (302),0,0%,,,0,0%,,,0,0%,,,
... ISCED 3 USE (303),,,,,,,,,,,,,
... ISCED 3 USE (304),,,,,,,,,,,,,
... ISCED 4 PSNTE (400),1316,4329%,,,612,4952%,,,47448,13777%,,,
... ISCED 5 SCTE (500),72,0.24%,,,36,0.29%,,,2265,0.66%,,,
... ISCED 6 Bachelor (600),3559,11707%,,,2590,20956%,,,57533,16705%,,,
... ISCED 7 Master (700),,,,,,,,,,,,,
... ISCED 8 Doctoral (800),,,,,,,,,,,,,
EF436,29974,,,,12189,,,,339088,,,,X2=6975.158***
... < 150,54,0.18%,,,20,0.16%,,,1955,0.58%,,,
... 150 to < 300,72,0.24%,,,21,0.17%,,,3455,1019%,,,
... 300 to < 500,419,1398%,,,129,1058%,,,15063,4442%,,,
... 500 to < 700,813,2712%,,,212,1739%,,,12599,3716%,,,
... 700 to < 900,872,2909%,,,317,2601%,,,18776,5537%,,,
"... 900 to < 1,100",794,2649%,,,322,2642%,,,22348,6591%,,,
"... 1,100 to < 1,300",1486,4958%,,,524,4299%,,,26417,7791%,,,
"... 1,300 to < 1,500",2302,7.68%,,,713,5.85%,,,26993,7.96%,,,
"... 1,500 to < 1,700",3047,10165%,,,1064,8729%,,,27653,8155%,,,
"... 1,700 to < 2,000",4945,16498%,,,1923,15777%,,,39688,11704%,,,
"... 2,000 to < 2,300",4686,15634%,,,1805,14808%,,,34838,10274%,,,
"... 2,300 to < 2,600",3483,11.62%,,,1360,11158%,,,26506,7817%,,,
"... 2,600 to < 2,900",2053,6849%,,,799,6555%,,,16417,4842%,,,
"... 2,900 to < 3,200",1577,5261%,,,698,5726%,,,15351,4527%,,,
"... 3,200 to < 3,600",1189,3967%,,,678,5562%,,,13085,3859%,,,
"... 3,600 to < 4,000",625,2085%,,,417,3421%,,,8755,2582%,,,
"... 4,000 to < 4,500",546,1822%,,,411,3372%,,,7918,2335%,,,
"... 4,500 to < 5,000",349,1164%,,,268,2199%,,,5170,1525%,,,
"... 5,000 to < 5,500",257,0.86%,,,148,1214%,,,3753,1107%,,,
"... 5,500 to < 6,000",129,0.43%,,,104,0.85%,,,2479,0.73%,,,
"... 6,000 to < 7,500",139,0.46%,,,125,1026%,,,3364,0.99%,,,
"... 7,500 to < 10,000",84,0.28%,,,77,0.63%,,,2623,0.77%,,,
"... 10,000 to < 18,000",,,,,,,,,,,,,
"... > 18,000",,,,,,,,,,,,,
"... Farmer (self-employed, main job)",,,,,,,,,,,,,
EF436_num,29974,217.664.309,117.364.189,65242700,12183,243.995.937,14.745.411,29726025,337659,214.397.269,174.506.935,723931675,F=180.886***
EF442,28349,,,,11332,,,,303227,,,,X2=6982.803***
... < 150,86,0.30%,,,30,0.27%,,,2319,0.77%,,,
... 150 to < 300,87,0.31%,,,35,0.31%,,,4258,1404%,,,
... 300 to < 500,479,1.69%,,,182,1606%,,,17177,5665%,,,
... 500 to < 700,788,2.78%,,,211,1862%,,,11535,3804%,,,
... 700 to < 900,787,2776%,,,283,2497%,,,16752,5525%,,,
"... 900 to < 1,100",670,2363%,,,261,2303%,,,19714,6501%,,,
"... 1,100 to < 1,300",1382,4875%,,,488,4306%,,,24074,7939%,,,
"... 1,300 to < 1,500",2220,7831%,,,659,5815%,,,24386,8042%,,,
"... 1,500 to < 1,700",2946,10392%,,,1028,9072%,,,25081,8271%,,,
"... 1,700 to < 2,000",4755,16773%,,,1821,16.07%,,,35812,11.81%,,,
"... 2,000 to < 2,300",4497,15863%,,,1747,15417%,,,31506,10.39%,,,
"... 2,300 to < 2,600",3372,11895%,,,1287,11357%,,,23831,7859%,,,
"... 2,600 to < 2,900",1973,6.96%,,,728,6424%,,,14961,4934%,,,
"... 2,900 to < 3,200",1456,5136%,,,629,5551%,,,13061,4307%,,,
"... 3,200 to < 3,600",1057,3729%,,,615,5427%,,,11495,3791%,,,
"... 3,600 to < 4,000",585,2064%,,,377,3327%,,,7405,2442%,,,
"... 4,000 to < 4,500",442,1559%,,,368,3247%,,,6421,2118%,,,
"... 4,500 to < 5,000",279,0.98%,,,223,1968%,,,4060,1339%,,,
"... 5,000 to < 5,500",193,0.68%,,,129,1138%,,,2757,0.91%,,,
"... 5,500 to < 6,000",111,0.39%,,,88,0.78%,,,1819,0.60%,,,
"... 6,000 to < 7,500",100,0.35%,,,94,0.83%,,,2328,0.77%,,,
"... 7,500 to < 10,000",,,,,,,,,,,,,
"... 10,000 to < 18,000",,,,,,,,,,,,,
"... > 18,000",,,,,,,,,,,,,
EF442_num,28349,212.870.031,106.873.964,60346525,11332,234.007.898,122.735.059,26517775,303227,200.166.855,145.618.528,606959950,F=394.683***
EF114UG4,30428,,,,12377,,,,344770,,,,X2=104900.487***
"... Occupations in agriculture, forestry, farming, and gardening",0,0%,,,243,1963%,,,7678,2227%,,,
"... Occupations in production of raw materials and goods, and manufacturing",22707,74625%,,,3773,30484%,,,46667,13536%,,,
"... Occupations in construction, architecture, surveying and technical building services",5521,18144%,,,790,6383%,,,16893,4.90%,,,
"... Occupations in natural sciences, geography and informatics",1095,3599%,,,1636,13218%,,,12530,3634%,,,
"... Occupations in traffic, logistics, safety and security",867,2849%,,,5235,42296%,,,42830,12423%,,,
