EF541UG2,n_obs,EF952_sum,share_green_wtd,share_green_unwtd,share_brown_wtd,share_brown_unwtd,share_neutral_wtd,share_neutral_unwtd,share_green_cat_abs_wtd,share_green_cat_abs_unwtd,share_brown_cat_abs_wtd,share_brown_cat_abs_unwtd,share_neutral_cat_abs_wtd,share_neutral_cat_abs_unwtd,share_green_cat_rel_wtd,share_green_cat_rel_unwtd,share_brown_cat_rel_wtd,share_brown_cat_rel_unwtd,share_neutral_cat_rel_wtd,share_neutral_cat_rel_unwtd
1,105,12347.157,0%,0%,0%,0%,100%,100%,0%,0%,0%,0%,100%,100%,0%,0%,0%,0%,100%,100%
2,72,9550.961,0%,0%,0%,0%,100%,100%,0%,0%,0%,0%,100%,100%,0%,0%,0%,0%,100%,100%
3,1263,168173.179,0%,0%,0%,0%,100%,100%,0%,0%,0%,0%,100%,100%,0%,0%,0%,0%,100%,100%
11,7113,775015.353,0%,0%,0%,0%,100%,100%,0%,0%,0%,0%,100%,100%,0%,0%,0%,0%,100%,100%
12,5615,610316.016,0%,0%,0%,0%,100%,100%,0%,0%,0%,0%,100%,100%,0%,0%,0%,0%,100%,100%
13,5282,574131.927,0%,0%,0%,0%,100%,100%,0%,0%,0%,0%,100%,100%,0%,0%,0%,0%,100%,100%
14,1678,194885.236,0%,0%,0%,0%,100%,100%,0%,0%,0%,0%,100%,100%,0%,0%,0%,0%,100%,100%
21,14232,1570288.284,4%,4%,3%,3%,93%,93%,3%,3%,0%,0%,96%,96%,16%,16%,20%,20%,64%,64%
22,9386,1029445.036,0%,0%,0%,0%,100%,100%,0%,0%,0%,0%,100%,100%,0%,0%,0%,0%,100%,100%
23,15310,1672737.434,0%,0%,0%,0%,100%,100%,0%,0%,0%,0%,100%,100%,4%,4%,0%,0%,96%,96%
24,13626,1504926.35,0%,0%,0%,0%,100%,100%,0%,0%,0%,0%,100%,100%,0%,0%,0%,0%,100%,100%
25,7638,862318.367,1%,1%,0%,0%,99%,99%,0%,0%,0%,0%,100%,100%,12%,13%,0%,0%,88%,87%
26,11348,1253213.748,0%,0%,0%,0%,100%,100%,0%,0%,0%,0%,100%,100%,0%,0%,0%,0%,100%,100%
31,19285,2100712.092,3%,3%,3%,3%,94%,94%,3%,3%,1%,1%,97%,97%,8%,8%,11%,10%,82%,82%
32,24520,2690007.502,0%,0%,0%,0%,100%,100%,0%,0%,0%,0%,100%,100%,0%,0%,0%,0%,100%,100%
33,31872,3458178.649,0%,0%,0%,0%,100%,100%,0%,0%,0%,0%,100%,100%,0%,0%,0%,0%,100%,100%
