EF541,n_obs,EF952_sum,share_green_wtd,share_green_unwtd,share_brown_wtd,share_brown_unwtd,share_neutral_wtd,share_neutral_unwtd,share_green_cat_abs_wtd,share_green_cat_abs_unwtd,share_brown_cat_abs_wtd,share_brown_cat_abs_unwtd,share_neutral_cat_abs_wtd,share_neutral_cat_abs_unwtd,share_green_cat_rel_wtd,share_green_cat_rel_unwtd,share_brown_cat_rel_wtd,share_brown_cat_rel_unwtd,share_neutral_cat_rel_wtd,share_neutral_cat_rel_unwtd
110,105,12.347.157,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
210,72,9.550.961,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
310,1263,168.173.179,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
1111,113,12.220.074,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
1112,211,22.031.293,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
1114,59,6.118.662,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
1120,6730,734.645.324,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
1211,205,22.326.529,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
1212,516,54.449.928,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
1213,3017,326.386.385,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
1219,39,4.102.606,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
1221,1403,155.541.827,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
1222,333,36.469.322,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
1223,102,11.039.419,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
1312,,,,,,,,,,,,,,,,,,,,
1321,,,,,,,,,,,,,,,,,,,,
1322,,,,,,,,,,,,,,,,,,,,
1323,,,,,,,,,,,,,,,,,,,,
1324,,,,,,,,,,,,,,,,,,,,
1330,546,59.416.019,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
1342,519,55.536.062,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
1343,87,9410.5,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
1344,494,52.624.425,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
1345,461,49.265.651,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
1346,177,18.836.548,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
1349,430,46.283.945,0.002908806,0.002325581,0,0,0.997091194,0.997674419,0.002908806,0.002325581,0,0,0.997091194,0.997674419,0.002908806,0.002325581,0,0,0.997091194,0.997674419
1411,229,26.546.358,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
1412,1306,152361.71,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
1420,15,1910.94,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
1431,105,11.522.013,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
1439,23,2.544.215,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2111,198,22.013.186,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2112,8,1.019.864,0.25,0.25,0,0,0.75,0.75,0,0,0,0,1,1,1,1,0,0,0,0
2113,280,31.222.474,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2114,99,10.746.558,0.388888889,0.388888889,0.166666667,0.166666667,0.444444444,0.444444444,0,0,0,0,1,1,1,1,0,0,0,0
2120,272,30.817.301,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2131,322,35.169.243,0.046987244,0.04743083,0,0,0.953012756,0.95256917,0,0,0,0,1,1,0.516859689,0.52173913,0,0,0.483140311,0.47826087
2132,315,33.964.368,0.094637929,0.092154195,0,0,0.905362071,0.907845805,0.15512775,0.149206349,0,0,0.84487225,0.850793651,0.275629683,0.273015873,0,0,0.724370317,0.726984127
2133,106,12.288.460.000.000.000,0.980584153,0.979784367,0,0,0.019415847,0.020215633,1,1,0,0,0,0,1,1,0,0,0,0
2141,1124,122.801.704,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2142,1544,166.640.765,0.01131519,0.011981865,0.010447895,0.010200777,0.978236914,0.977817358,0,0,0.007935507,0.007772021,0.992064493,0.992227979,0.02688053,0.028497409,0.025920566,0.025259067,0.947198904,0.946243523
2143,93,10.312.718,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
2144,2414,267.500.267,0.004324607,0.004438395,0.049029736,0.0495029,0.946645657,0.946058705,0,0,0,0,1,1,0,0,0.595599566,0.5998343,0.404400434,0.4001657
2145,311,33.837.751,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2146,85,9.727.695,0,0,0.515382686,0.505287969,0.484617314,0.494712031,0,0,0.385817915,0.376470588,0.614182085,0.623529412,0,0,0.961626058,0.952941176,0.038373942,0.047058824
2149,2178,240333.18,0.085495774,0.085169881,0.027467323,0.028581267,0.887036903,0.886248852,0,0,0.001471004,0.001836547,0.998528996,0.998163453,0.683966192,0.681359045,0.105456279,0.108815427,0.210577528,0.209825528
2151,1057,114.986.308,0.107580198,0.107537055,0.106441889,0.106500878,0.785977912,0.785962067,0.202526209,0.202459792,0,0,0.797473791,0.797540208,0.210329755,0.210028382,0.745093224,0.745506149,0.04457702,0.044465468
