Variable,N,Wt. Mean,Wt. SD,Wt. Sum,N,Wt. Mean,Wt. SD,Wt. Sum,N,Wt. Mean,Wt. SD,Wt. Sum,Test
category_abs,brown,,,,green,,,,neutral,,,,
EF952,,,,,,,,,,,,,
EF46,8533,,,,1556,,,,377486,,,,F=2741.964***
... Male,7860,92147%,,,1296,83243%,,,195500,52462%,,,
... Female,673,7853%,,,260,16757%,,,181986,47538%,,,
EF44,8533,419.353,1.344.022,39.541.059.767,1556,4.452.583,1.251.565,7.697.889.758,377486,4.334.454,1.335.488,1.812.012.160.307,F=52.777***
EF44_bin10,8533,,,,1556,,,,377486,,,,
"... [0,10]",0,0%,,,0,0%,,,0,0%,,,
"... (10,20]",456,5316%,,,22,1.60%,,,14377,3826%,,,
"... (20,30]",1671,20078%,,,205,13996%,,,62560,17366%,,,
"... (30,40]",1648,20054%,,,370,25339%,,,76782,21172%,,,
"... (40,50]",1790,21004%,,,335,21041%,,,83765,22172%,,,
"... (50,60]",2369,26892%,,,457,28109%,,,103292,26.27%,,,
"... (60,70]",567,6302%,,,157,9312%,,,33026,8275%,,,
"... (70,80]",29,0.32%,,,10,0.60%,,,3349,0.83%,,,
"... (80,90]",3,0.03%,,,0,0%,,,320,0.08%,,,
"... (90,100]",0,0%,,,0,0%,,,15,0.00%,,,
EF517,8526,,,,1555,,,,377085,,,,F=289.871***
... ISCED-Level 1 - PE,177,2276%,,,51,3795%,,,8125,2384%,,,
... ISCED-Level 2 - LSGE,1181,14178%,,,145,9943%,,,36138,9944%,,,
... ISCED-Level 3 - USGE,196,2424%,,,33,2279%,,,18777,5195%,,,
... ISCED-Level 3 - USVE,5937,68785%,,,541,33379%,,,147519,38435%,,,
... ISCED-Level 4 - PSNTVE,459,5516%,,,69,4666%,,,48848,12946%,,,
... ISCED-Level 5 - SCTVE,13,0.14%,,,4,0.26%,,,2356,0.60%,,,
... ISCED-Level 6 - Bachelor,459,5354%,,,376,23732%,,,62847,16525%,,,
... ISCED-Level 6 - Master,104,1331%,,,336,21948%,,,52475,13968%,,,
EF540,8526,,,,1555,,,,377085,,,,
... ISCED 1 ECE (000),0,0%,,,0,0%,,,0,0%,,,
... ISCED 1 PE (100),177,2276%,,,51,3795%,,,8125,2384%,,,
... ISCED 2 LSE (200),1181,14178%,,,145,9943%,,,36138,9944%,,,
... ISCED 3 USE (300),0,0%,,,0,0%,,,0,0%,,,
