Variable,N,Wt. Mean,Wt. SD,Wt. Sum,N,Wt. Mean,Wt. SD,Wt. Sum,N,Wt. Mean,Wt. SD,Wt. Sum,Test
category_rel,brown,,,,green,,,,neutral,,,,
EF952,,,,,,,,,,,,,
EF46,30428,,,,12377,,,,344770,,,,F=12433.739***
... Male,27717,91215%,,,10807,87528%,,,166132,48.88%,,,
... Female,2711,8785%,,,1570,12472%,,,178638,51.12%,,,
EF44,30428,4.259.267,1.324.864,144.522.824.008,12377,4.504.324,125.298,61.596.064.948,344770,4.332.105,1.338.764,1.653.132.220.876,F=148.343***
EF44_bin10,30428,,,,12377,,,,344770,,,,
"... [0,10]",0,0%,,,0,0%,,,0,0%,,,
"... (10,20]",1515,4968%,,,303,2496%,,,13037,3799%,,,
"... (20,30]",5248,17932%,,,1507,12.84%,,,57681,17.53%,,,
"... (30,40]",6035,20739%,,,2566,21893%,,,70199,21176%,,,
"... (40,50]",6614,21747%,,,2885,23514%,,,76391,22128%,,,
"... (50,60]",8731,27543%,,,3822,29502%,,,93565,26064%,,,
"... (60,70]",2157,6693%,,,1210,9104%,,,30383,8342%,,,
"... (70,80]",113,0.33%,,,81,0.63%,,,3194,0.87%,,,
"... (80,90]",12,0.04%,,,3,0.02%,,,308,0.09%,,,
"... (90,100]",3,0.01%,,,0,0%,,,12,0.00%,,,
EF517,30401,,,,12359,,,,344406,,,,F=667.316***
... ISCED-Level 1 - PE,716,2581%,,,205,1924%,,,7432,2387%,,,
... ISCED-Level 2 - LSGE,4149,14034%,,,1354,11414%,,,31961,9632%,,,
... ISCED-Level 3 - USGE,638,2254%,,,346,3082%,,,18022,5451%,,,
... ISCED-Level 3 - USVE,18571,60.34%,,,5160,40816%,,,130266,37129%,,,
... ISCED-Level 4 - PSNTVE,1316,4481%,,,612,5208%,,,47448,13754%,,,
... ISCED-Level 5 - SCTVE,72,0.23%,,,36,0.27%,,,2265,0.64%,,,
... ISCED-Level 6 - Bachelor,3559,11507%,,,2590,20633%,,,57533,16.58%,,,
