EF541UG3,n_obs,EF952_sum,share_green_wtd,share_green_unwtd,share_brown_wtd,share_brown_unwtd,share_neutral_wtd,share_neutral_unwtd,share_green_cat_abs_wtd,share_green_cat_abs_unwtd,share_brown_cat_abs_wtd,share_brown_cat_abs_unwtd,share_neutral_cat_abs_wtd,share_neutral_cat_abs_unwtd,share_green_cat_rel_wtd,share_green_cat_rel_unwtd,share_brown_cat_rel_wtd,share_brown_cat_rel_unwtd,share_neutral_cat_rel_wtd,share_neutral_cat_rel_unwtd
0,1440,190071.297,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
1,19688,2154348.532,6.249267377132085e-5,5.0792360828931334e-5,0,0,0.9999375073262287,0.9999492076391711,6.249267377132085e-5,5.0792360828931334e-5,0,0,0.9999375073262287,0.9999492076391711,6.249267377132085e-5,5.0792360828931334e-5,0,0,0.9999375073262287,0.9999492076391711
2,71540,7892929.219,0.010676754968815531,0.010655196075939715,0.004467203966482917,0.004502975358440831,0.9848560410647016,0.9848418285656194,0.006632556373872128,0.006583729382163824,2.925318263898649e-4,2.655856863293262e-4,0.9930749117997381,0.9931506849315068,0.05423911416428984,0.05433324014537322,0.035046308198750875,0.03532289628180039,0.9107145776369594,0.9103438635728264
3,90573,9889307.395,0.006352081041575156,0.0063681873830269626,0.0032263403317552243,0.003204396932366059,0.9904215786266696,0.990427415684607,0.005652951290427554,0.005663939584644431,2.695192791102435e-4,2.7602044759475784e-4,0.9940775294304622,0.9940600399677608,0.018233236545075564,0.018603778167886678,0.017476729471204794,0.01731200247314321,0.9642900339837196,0.9640842193589702
4,48435,5280109.593,1.1468335192690888e-4,1.2387736141220192e-4,0,0,0.999885316648073,0.9998761226385878,1.7202502789036333e-4,1.8581604211830288e-4,0,0,0.9998279749721095,0.9998141839578817,1.7202502789036333e-4,1.8581604211830288e-4,0,0,0.9998279749721095,0.9998141839578817
5,53578,5957147.201,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
6,5016,543904.37,0.001149963181946856,0.0011961722488038277,0,0,0.9988500368180532,0.9988038277511961,0.002299926363893712,0.0023923444976076554,0,0,0.9977000736361064,0.9976076555023924,0.002299926363893712,0.0023923444976076554,0,0,0.9977000736361064,0.9976076555023924
7,45714,5133178.621,0.00370325175217219,0.0037843712400395485,0.02316967458787768,0.02334118168383396,0.9731270736599501,0.9728744470761265,8.627533399835688e-4,8.750054687841799e-4,0.003571620111756091,0.0036312726954543465,0.9955656265482604,0.9954937218357615,0.024201838114840068,0.0248064050400315,0.17029165738045335,0.17062606641291508,0.8055065045047065,0.8045675285470534
8,22849,2561492.215,0.020394093746498608,0.020446488607020797,0.022428421176715143,0.02276807294725443,0.9571774850767862,0.9567854384457247,0,0,0.0053183398021766,0.005558230119480065,0.9946816601978234,0.9944417698805199,0.22433503121148468,0.22491137467722877,0.27106269147884177,0.27252833822049105,0.5046022773096736,0.5025602871022802
NA,28742,3318156.161,0.011760115335284893,0.0119569503398047,4.0979867553617535e-4,4.175074803423561e-4,0.987830085989179,0.987625542179853,0.017452253357041446,0.017744067914550136,4.0979867553617535e-4,4.175074803423561e-4,0.9821379479674225,0.9818384246051075,0.017452253357041446,0.017744067914550136,4.0979867553617535e-4,4.175074803423561e-4,0.9821379479674225,0.9818384246051075
