EF541,n_obs,EF952_sum,share_green_wtd,share_green_unwtd,share_brown_wtd,share_brown_unwtd,share_neutral_wtd,share_neutral_unwtd,share_green_cat_abs_wtd,share_green_cat_abs_unwtd,share_brown_cat_abs_wtd,share_brown_cat_abs_unwtd,share_neutral_cat_abs_wtd,share_neutral_cat_abs_unwtd,share_green_cat_rel_wtd,share_green_cat_rel_unwtd,share_brown_cat_rel_wtd,share_brown_cat_rel_unwtd,share_neutral_cat_rel_wtd,share_neutral_cat_rel_unwtd
110,105,12347.157,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
210,72,9550.961,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
310,1263,168173.179,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
1111,113,12220.074,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
1112,211,22031.293,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
1114,59,6118.662,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
1120,6730,734645.324,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
1211,205,22326.529,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
1212,516,54449.928,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
1213,3017,326386.385,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
1219,39,4102.606,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
1221,1403,155541.827,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
1222,333,36469.322,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
1223,102,11039.419,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
1312,,,,,,,,,,,,,,,,,,,,
1321,,,,,,,,,,,,,,,,,,,,
1322,,,,,,,,,,,,,,,,,,,,
1323,,,,,,,,,,,,,,,,,,,,
1324,,,,,,,,,,,,,,,,,,,,
1330,546,59416.019,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
1342,519,55536.062,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
1343,87,9410.5,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
1344,494,52624.425,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
1345,461,49265.651,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
1346,177,18836.548,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
1349,430,46283.945,0.002908806,0.002325581,0,0,0.997091194,0.997674419,0.002908806,0.002325581,0,0,0.997091194,0.997674419,0.002908806,0.002325581,0,0,0.997091194,0.997674419
1411,229,26546.358,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
1412,1306,152361.71,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
1420,15,1910.94,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
1431,105,11522.013,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
1439,23,2544.215,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2111,198,22013.186,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2112,8,1019.864,0.25,0.25,0,0,0.75,0.75,0,0,0,0,1,1,1,1,0,0,0,0
2113,280,31222.474,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2114,99,10746.558,0.388888889,0.388888889,0.055555556,0.055555556,0.555555556,0.555555556,0,0,0,0,1,1,1,1,0,0,0,0
2120,272,30817.301,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2131,322,35169.243,0.046987244,0.04743083,0,0,0.953012756,0.95256917,0,0,0,0,1,1,0.516859689,0.52173913,0,0,0.483140311,0.47826087
2132,315,33964.368,0.094637929,0.092154195,0,0,0.905362071,0.907845805,0.15512775,0.149206349,0,0,0.84487225,0.850793651,0.275629683,0.273015873,0,0,0.724370317,0.726984127
2133,106,12288.46,0.980584153,0.979784367,0,0,0.019415847,0.020215633,1,1,0,0,0,0,1,1,0,0,0,0
2141,1124,122801.704,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2142,1544,166640.765,0.01131519,0.011981865,0.008464018,0.008257772,0.980220791,0.979760363,0,0,0,0,1,1,0.02688053,0.028497409,0.025920566,0.025259067,0.947198904,0.946243523
2143,93,10312.718,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
2144,2414,267500.267,0.004324607,0.004438395,0.049029736,0.0495029,0.946645657,0.946058705,0,0,0,0,1,1,0,0,0.595599566,0.5998343,0.404400434,0.4001657
2145,311,33837.751,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
2146,85,9727.695,0,0,0.169540457,0.159663866,0.830459543,0.840336134,0,0,0.23735664,0.223529412,0.76264336,0.776470588,0,0,0.23735664,0.223529412,0.76264336,0.776470588
2149,2178,240333.18,0.085495774,0.085169881,0.025996319,0.02674472,0.888507907,0.888085399,0,0,0,0,1,1,0.683966192,0.681359045,0.103985276,0.10697888,0.212048532,0.211662075
2151,1057,114986.308,0.107580198,0.107537055,0.106441889,0.106500878,0.785977912,0.785962067,0.202526209,0.202459792,0,0,0.797473791,0.797540208,0.210329755,0.210028382,0.745093224,0.745506149,0.04457702,0.044465468
2152,194,21908.671,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
