Variable,N,Wt. Mean,Wt. SD,Wt. Sum,N,Wt. Mean,Wt. SD,Wt. Sum,N,Wt. Mean,Wt. SD,Wt. Sum,Test
category_rel,brown,,,,green,,,,neutral,,,,
EF952,,,,,,,,,,,,,
EF46,18134,,,,12377,,,,357064,,,,F=8471.809***
... Male,16567,91.54%,,,10807,87.53%,,,177282,50.33%,,,
... Female,1567,8.46%,,,1570,12.47%,,,179782,49.67%,,,
EF44,18134,42.5878,13.10101,85996396.38,12377,45.04324,12.5298,61596064.95,357064,43.29599,13.3909,1711658649,F=130.859***
EF44_bin10,18134,,,,12377,,,,357064,,,,
"... [0,10]",0,0%,,,0,0%,,,0,0%,,,
"... (10,20]",860,4.78%,,,303,2.50%,,,13692,3.85%,,,
"... (20,30]",3060,17.60%,,,1507,12.84%,,,59869,17.56%,,,
"... (30,40]",3690,21.31%,,,2566,21.89%,,,72544,21.13%,,,
"... (40,50]",3996,21.97%,,,2885,23.51%,,,79009,22.10%,,,
"... (50,60]",5199,27.45%,,,3822,29.50%,,,97097,26.12%,,,
"... (60,70]",,,,,,,,,,,,,
"... (70,80]",,,,,,,,,,,,,
"... (80,90]",6,0.03%,,,3,0.02%,,,314,0.08%,,,
"... (90,100]",0,0%,,,0,0%,,,15,0.00%,,,
EF517,18122,,,,12359,,,,356685,,,,F=316.462***
... ISCED-Level 1 - PE,,,,,,,,,,,,,
... ISCED-Level 2 - LSGE,,,,,,,,,,,,,
... ISCED-Level 3 - USGE,385,2.26%,,,346,3.08%,,,18275,5.34%,,,
... ISCED-Level 3 - USVE,10395,56.83%,,,5160,40.82%,,,138442,38.12%,,,
... ISCED-Level 4 - PSNTVE,796,4.60%,,,612,5.21%,,,47968,13.43%,,,
... ISCED-Level 5 - SCTVE,52,0.27%,,,36,0.27%,,,2285,0.62%,,,
... ISCED-Level 6 - Bachelor,2621,14.17%,,,2590,20.63%,,,58471,16.27%,,,
... ISCED-Level 6 - Master,1182,6.54%,,,2056,16.65%,,,49677,13.99%,,,
EF540,18122,,,,12359,,,,356685,,,,
