Variable,N,Mean,SD,Sum,N,Mean,SD,Sum,N,Mean,SD,Sum,Test
category_abs,brown,,,,green,,,,neutral,,,,
EF952,349,10.971.552,2.913.853,38.290.718,1556,1.111.092,2.868.178,172.885.922,385670,11.074.096,2.870.857,42.709.467.964,F=0.351
EF46,349,,,,1556,,,,385670,,,,X2=881.453***
... Male,345,98854%,,,1296,83.29%,,,203015,52.64%,,,
... Female,4,1146%,,,260,16.71%,,,182655,47.36%,,,
EF44,349,4.493.123,125.607,15681,1556,4.520.244,1.246.395,70335,385670,4.378.006,1.340.139,16884656,F=10.009***
EF44_bin10,349,,,,1556,,,,385670,,,,X2=67.164***
"... [0,10]",0,0%,,,0,0%,,,0,0%,,,
"... (10,20]",10,2865%,,,22,1414%,,,14823,3843%,,,
"... (20,30]",50,14327%,,,205,13175%,,,64181,16641%,,,
"... (30,40]",67,19198%,,,370,23779%,,,78363,20319%,,,
"... (40,50]",72,20.63%,,,335,21.53%,,,85483,22165%,,,
"... (50,60]",125,35817%,,,457,29.37%,,,105536,27364%,,,
"... (60,70]",,,,,,,,,,,,,
"... (70,80]",,,,,,,,,,,,,
"... (80,90]",0,0%,,,0,0%,,,323,0.08%,,,
"... (90,100]",0,0%,,,0,0%,,,15,0.00%,,,
EF517,348,,,,1555,,,,385263,,,,X2=405.975***
... ISCED-Level 1 - PE,,,,,,,,,,,,,
... ISCED-Level 2 - LSGE,,,,,,,,,,,,,
... ISCED-Level 3 - USGE,6,1724%,,,33,2122%,,,18967,4923%,,,
... ISCED-Level 3 - USVE,241,69253%,,,541,34791%,,,153215,39769%,,,
... ISCED-Level 4 - PSNTVE,14,4023%,,,69,4437%,,,49293,12795%,,,
... ISCED-Level 5 - SCTVE,3,0.86%,,,4,0.26%,,,2366,0.61%,,,
... ISCED-Level 6 - Bachelor,30,8621%,,,376,24.18%,,,63276,16424%,,,
... ISCED-Level 6 - Master,14,4023%,,,336,21608%,,,52565,13644%,,,
EF540,348,,,,1555,,,,385263,,,,X2=372.335***
... ISCED 1 ECE (000),,,,,,,,,,,,,
... ISCED 1 PE (100),,,,,,,,,,,,,
... ISCED 2 LSE (200),,,,,,,,,,,,,
... ISCED 3 USE (300),,,,,,,,,,,,,
... ISCED 3 USE (302),,,,,,,,,,,,,
... ISCED 3 USE (303),,,,,,,,,,,,,
... ISCED 3 USE (304),246,70.69%,,,573,36849%,,,169682,44043%,,,
... ISCED 4 PSNTE (400),14,4023%,,,69,4437%,,,49293,12795%,,,
... ISCED 5 SCTE (500),3,0.86%,,,4,0.26%,,,2366,0.61%,,,
... ISCED 6 Bachelor (600),30,8621%,,,376,24.18%,,,63276,16424%,,,
... ISCED 7 Master (700),14,4023%,,,298,19164%,,,46270,12.01%,,,
... ISCED 8 Doctoral (800),0,0%,,,38,2444%,,,6295,1634%,,,
EF436,345,,,,1520,,,,379386,,,,X2=382.421***
... < 150,0,0%,,,5,0.33%,,,2024,0.53%,,,
... 150 to < 300,0,0%,,,8,0.53%,,,3540,0.93%,,,
... 300 to < 500,,,,,,,,,,,,,
... 500 to < 700,,,,,,,,,,,,,
... 700 to < 900,3,0.87%,,,46,3026%,,,19916,5.25%,,,
"... 900 to < 1,100",3,0.87%,,,43,2829%,,,23418,6173%,,,
