Variable,N,Mean,SD,Sum,N,Mean,SD,Sum,N,Mean,SD,Sum,Test
category_rel,brown,,,,green,,,,neutral,,,,
EF952,18134,11.135.287,2.910.169,2.019.273.025,12377,11.048.619,2.904.527,1.367.487.548,357064,11.071.932,2.867.667,39.533.884.031,F=4.708***
EF46,18134,,,,12377,,,,357064,,,,X2=18156.743***
... Male,16567,91359%,,,10807,87315%,,,177282,49.65%,,,
... Female,1567,8641%,,,1570,12685%,,,179782,50.35%,,,
EF44,18134,4.305.437,1.315.826,780748,12377,4.559.465,1.254.237,564325,357064,4.376.134,1.343.278,15625599,F=140.532***
EF44_bin10,18134,,,,12377,,,,357064,,,,X2=499.669***
"... [0,10]",0,0%,,,0,0%,,,0,0%,,,
"... (10,20]",860,4742%,,,303,2448%,,,13692,3835%,,,
"... (20,30]",3060,16874%,,,1507,12176%,,,59869,16767%,,,
"... (30,40]",3690,20349%,,,2566,20732%,,,72544,20317%,,,
"... (40,50]",3996,22036%,,,2885,23309%,,,79009,22127%,,,
"... (50,60]",5199,28.67%,,,3822,30.88%,,,97097,27193%,,,
"... (60,70]",,,,,,,,,,,,,
"... (70,80]",,,,,,,,,,,,,
"... (80,90]",6,0.03%,,,3,0.02%,,,314,0.09%,,,
"... (90,100]",0,0%,,,0,0%,,,15,0.00%,,,
EF517,18122,,,,12359,,,,356685,,,,X2=4941.291***
... ISCED-Level 1 - PE,,,,,,,,,,,,,
... ISCED-Level 2 - LSGE,,,,,,,,,,,,,
... ISCED-Level 3 - USGE,385,2124%,,,346,2.80%,,,18275,5124%,,,
... ISCED-Level 3 - USVE,10395,57361%,,,5160,41751%,,,138442,38814%,,,
... ISCED-Level 4 - PSNTVE,796,4392%,,,612,4952%,,,47968,13448%,,,
... ISCED-Level 5 - SCTVE,52,0.29%,,,36,0.29%,,,2285,0.64%,,,
... ISCED-Level 6 - Bachelor,2621,14463%,,,2590,20956%,,,58471,16393%,,,
... ISCED-Level 6 - Master,1182,6522%,,,2056,16636%,,,49677,13927%,,,
EF540,18122,,,,12359,,,,356685,,,,X2=4192.039***
... ISCED 1 ECE (000),,,,,,,,,,,,,
... ISCED 1 PE (100),,,,,,,,,,,,,
... ISCED 2 LSE (200),,,,,,,,,,,,,
... ISCED 3 USE (300),,,,,,,,,,,,,
... ISCED 3 USE (302),,,,,,,,,,,,,
... ISCED 3 USE (303),,,,,,,,,,,,,
... ISCED 3 USE (304),10767,59414%,,,5490,44421%,,,154244,43244%,,,
... ISCED 4 PSNTE (400),796,4392%,,,612,4952%,,,47968,13448%,,,
... ISCED 5 SCTE (500),52,0.29%,,,36,0.29%,,,2285,0.64%,,,
... ISCED 6 Bachelor (600),2621,14463%,,,2590,20956%,,,58471,16393%,,,
... ISCED 7 Master (700),1078,5949%,,,1798,14548%,,,43706,12253%,,,
... ISCED 8 Doctoral (800),104,0.57%,,,258,2088%,,,5971,1674%,,,
EF436,17876,,,,12189,,,,351186,,,,X2=5028.372***
... < 150,21,0.12%,,,20,0.16%,,,1988,0.57%,,,
... 150 to < 300,24,0.13%,,,21,0.17%,,,3503,1.00%,,,
... 300 to < 500,,,,,,,,,,,,,
... 500 to < 700,,,,,,,,,,,,,
... 700 to < 900,460,2573%,,,317,2601%,,,19188,5464%,,,
"... 900 to < 1,100",381,2131%,,,322,2642%,,,22761,6481%,,,
"... 1,100 to < 1,300",772,4319%,,,524,4299%,,,27131,7726%,,,
"... 1,300 to < 1,500",1271,7.11%,,,713,5.85%,,,28024,7.98%,,,
"... 1,500 to < 1,700",1691,9.46%,,,1064,8729%,,,29009,8.26%,,,
"... 1,700 to < 2,000",2713,15177%,,,1923,15777%,,,41920,11937%,,,
"... 2,000 to < 2,300",2741,15333%,,,1805,14808%,,,36783,10474%,,,
"... 2,300 to < 2,600",2135,11943%,,,1360,11158%,,,27854,7931%,,,
"... 2,600 to < 2,900",1281,7166%,,,799,6555%,,,17189,4895%,,,
"... 2,900 to < 3,200",1054,5896%,,,698,5726%,,,15874,4.52%,,,
"... 3,200 to < 3,600",835,4671%,,,678,5562%,,,13439,3827%,,,
"... 3,600 to < 4,000",492,2752%,,,417,3421%,,,8888,2531%,,,
"... 4,000 to < 4,500",432,2417%,,,411,3372%,,,8032,2287%,,,
"... 4,500 to < 5,000",290,1622%,,,268,2199%,,,5229,1489%,,,
"... 5,000 to < 5,500",,,,,,,,,,,,,
"... 5,500 to < 6,000",110,0.62%,,,104,0.85%,,,2498,0.71%,,,
"... 6,000 to < 7,500",,,,,,,,,,,,,
"... 7,500 to < 10,000",,,,,,,,,,,,,
"... 10,000 to < 18,000",25,0.14%,,,32,0.26%,,,1708,0.49%,,,
"... > 18,000",16,0.09%,,,16,0.13%,,,757,0.22%,,,
"... Farmer (self-employed, main job)",0,0%,,,6,0.05%,,,1429,0.41%,,,
EF436_num,17876,230.552.137,129.340.349,41213500,12183,243.995.937,14.745.411,29726025,349757,213.851.581,172.371.834,747960875,F=258.085***
EF442,17018,,,,11332,,,,314558,,,,X2=5055.874***
... < 150,41,0.24%,,,30,0.27%,,,2364,0.75%,,,
... 150 to < 300,27,0.16%,,,35,0.31%,,,4318,1373%,,,
... 300 to < 500,,,,,,,,,,,,,
... 500 to < 700,,,,,,,,,,,,,
... 700 to < 900,407,2392%,,,283,2497%,,,17132,5446%,,,
"... 900 to < 1,100",330,1939%,,,261,2303%,,,20054,6375%,,,
"... 1,100 to < 1,300",735,4319%,,,488,4306%,,,24721,7859%,,,
"... 1,300 to < 1,500",1247,7328%,,,659,5815%,,,25359,8062%,,,
"... 1,500 to < 1,700",1626,9555%,,,1028,9072%,,,26401,8393%,,,
"... 1,700 to < 2,000",2635,15484%,,,1821,16.07%,,,37932,12059%,,,
"... 2,000 to < 2,300",2615,15366%,,,1747,15417%,,,33388,10614%,,,
"... 2,300 to < 2,600",2085,12252%,,,1287,11357%,,,25118,7985%,,,
"... 2,600 to < 2,900",1259,7398%,,,728,6424%,,,15675,4983%,,,
"... 2,900 to < 3,200",985,5788%,,,629,5551%,,,13532,4302%,,,
