Variable,N,Wt. Mean,Wt. SD,Wt. Sum,N,Wt. Mean,Wt. SD,Wt. Sum,N,Wt. Mean,Wt. SD,Wt. Sum,Test
category_abs,brown,,,,green,,,,neutral,,,,
EF952,,,,,,,,,,,,,
EF46,349,,,,1556,,,,385670,,,,F=405.877***
... Male,345,98871%,,,1296,83243%,,,203015,53297%,,,
... Female,4,1129%,,,260,16757%,,,182655,46703%,,,
EF44,349,4.457.354,1.266.818,1.706.752.834,1556,4.452.583,1.251.565,7.697.889.758,385670,4.331.233,1.335.892,1849846467,F=7.947***
EF44_bin10,349,,,,1556,,,,385670,,,,
"... [0,10]",0,0%,,,0,0%,,,0,0%,,,
"... (10,20]",10,2.97%,,,22,1.60%,,,14823,3.86%,,,
"... (20,30]",50,15233%,,,205,13996%,,,64181,17428%,,,
"... (30,40]",67,19674%,,,370,25339%,,,78363,21149%,,,
"... (40,50]",72,20374%,,,335,21041%,,,85483,22148%,,,
"... (50,60]",125,34821%,,,457,28109%,,,105536,26276%,,,
"... (60,70]",,,,,,,,,,,,,
"... (70,80]",,,,,,,,,,,,,
"... (80,90]",0,0%,,,0,0%,,,323,0.08%,,,
"... (90,100]",0,0%,,,0,0%,,,15,0.00%,,,
EF517,348,,,,1555,,,,385263,,,,F=25.805***
... ISCED-Level 1 - PE,,,,,,,,,,,,,
... ISCED-Level 2 - LSGE,,,,,,,,,,,,,
... ISCED-Level 3 - USGE,6,1781%,,,33,2279%,,,18967,5137%,,,
... ISCED-Level 3 - USVE,241,68812%,,,541,33379%,,,153215,39078%,,,
... ISCED-Level 4 - PSNTVE,14,3.88%,,,69,4666%,,,49293,12.79%,,,
... ISCED-Level 5 - SCTVE,3,0.79%,,,4,0.26%,,,2366,0.59%,,,
... ISCED-Level 6 - Bachelor,30,8865%,,,376,23732%,,,63276,16285%,,,
... ISCED-Level 6 - Master,14,4458%,,,336,21948%,,,52565,13698%,,,
EF540,348,,,,1555,,,,385263,,,,
... ISCED 1 ECE (000),0,0%,,,0,0%,,,0,0%,,,
... ISCED 1 PE (100),,,,,,,,,,,,,
... ISCED 2 LSE (200),,,,,,,,,,,,,
... ISCED 3 USE (300),,,,,,,,,,,,,
... ISCED 3 USE (302),,,,,,,,,,,,,
... ISCED 3 USE (303),,,,,,,,,,,,,
... ISCED 3 USE (304),246,70288%,,,573,35582%,,,169682,43583%,,,
