Variable,N,Wt. Mean,Wt. SD,Wt. Sum,N,Wt. Mean,Wt. SD,Wt. Sum,N,Wt. Mean,Wt. SD,Wt. Sum,Test
category_rel,brown,,,,green,,,,neutral,,,,
EF952,,,,,,,,,,,,,
EF46,18134,,,,12377,,,,357064,,,,F=8471.809***
... Male,16567,91536%,,,10807,87528%,,,177282,50334%,,,
... Female,1567,8464%,,,1570,12472%,,,179782,49666%,,,
EF44,18134,425.878,1.310.101,85.996.396.383,12377,4.504.324,125.298,61.596.064.948,357064,4.329.599,133.909,1.711.658.648.501,F=130.859***
EF44_bin10,18134,,,,12377,,,,357064,,,,
"... [0,10]",0,0%,,,0,0%,,,0,0%,,,
"... (10,20]",860,4782%,,,303,2496%,,,13692,3849%,,,
"... (20,30]",3060,17596%,,,1507,12.84%,,,59869,17561%,,,
"... (30,40]",3690,21312%,,,2566,21893%,,,72544,21132%,,,
"... (40,50]",3996,21974%,,,2885,23514%,,,79009,22103%,,,
"... (50,60]",5199,27446%,,,3822,29502%,,,97097,26121%,,,
"... (60,70]",,,,,,,,,,,,,
"... (70,80]",,,,,,,,,,,,,
"... (80,90]",6,0.03%,,,3,0.02%,,,314,0.08%,,,
"... (90,100]",0,0%,,,0,0%,,,15,0.00%,,,
EF517,18122,,,,12359,,,,356685,,,,F=316.462***
... ISCED-Level 1 - PE,,,,,,,,,,,,,
... ISCED-Level 2 - LSGE,,,,,,,,,,,,,
... ISCED-Level 3 - USGE,385,2264%,,,346,3082%,,,18275,5339%,,,
... ISCED-Level 3 - USVE,10395,56.83%,,,5160,40816%,,,138442,38115%,,,
... ISCED-Level 4 - PSNTVE,796,4596%,,,612,5208%,,,47968,13426%,,,
... ISCED-Level 5 - SCTVE,52,0.27%,,,36,0.27%,,,2285,0.62%,,,
... ISCED-Level 6 - Bachelor,2621,14173%,,,2590,20633%,,,58471,16268%,,,
... ISCED-Level 6 - Master,1182,6543%,,,2056,16653%,,,49677,13988%,,,
EF540,18122,,,,12359,,,,356685,,,,
