Variable,N,Mean,Std. Dev.,Pctl. 25,Pctl. 75,Sum
EF952,387965,1.107.565,287.284,95.251,122.74,42.969.647.021
EF46,387965,,,,,
... Male,204873,52807%,,,,
... Female,183092,47193%,,,,
EF44,387965,4.378.024,1.340.002,33,55,16985199
EF44_bin10,387965,,,,,
"... [0,10]",0,0%,,,,
"... (10,20]",14897,3.84%,,,,
"... (20,30]",64554,16639%,,,,
"... (30,40]",78876,20331%,,,,
"... (40,50]",85959,22156%,,,,
"... (50,60]",106181,27369%,,,,
"... (60,70]",33766,8703%,,,,
"... (70,80]",3392,0.87%,,,,
"... (80,90]",325,0.08%,,,,
"... (90,100]",15,0.00%,,,,
EF517,387537,,,,,
... ISCED-Level 1 - PE,8378,2162%,,,,
... ISCED-Level 2 - LSGE,37562,9692%,,,,
... ISCED-Level 3 - USGE,19071,4921%,,,,
... ISCED-Level 3 - USVE,154069,39756%,,,,
... ISCED-Level 4 - PSNTVE,49418,12752%,,,,
... ISCED-Level 5 - SCTVE,2373,0.61%,,,,
... ISCED-Level 6 - Bachelor,63730,16445%,,,,
... ISCED-Level 6 - Master,52936,13.66%,,,,
EF540,387537,,,,,
... ISCED 1 ECE (000),0,0%,,,,
... ISCED 1 PE (100),8378,2162%,,,,
... ISCED 2 LSE (200),37562,9692%,,,,
... ISCED 3 USE (300),0,0%,,,,
... ISCED 3 USE (302),0,0%,,,,
... ISCED 3 USE (303),2499,0.65%,,,,
... ISCED 3 USE (304),170641,44032%,,,,
... ISCED 4 PSNTE (400),49418,12752%,,,,
... ISCED 5 SCTE (500),2373,0.61%,,,,
... ISCED 6 Bachelor (600),63730,16445%,,,,
... ISCED 7 Master (700),46600,12025%,,,,
... ISCED 8 Doctoral (800),6336,1635%,,,,
EF436,381608,,,,,
... < 150,2035,0.53%,,,,
... 150 to < 300,3566,0.93%,,,,
... 300 to < 500,15658,4103%,,,,
... 500 to < 700,13644,3575%,,,,
... 700 to < 900,20005,5242%,,,,
"... 900 to < 1,100",23495,6157%,,,,
"... 1,100 to < 1,300",28459,7458%,,,,
"... 1,300 to < 1,500",30039,7872%,,,,
"... 1,500 to < 1,700",31789,8.33%,,,,
"... 1,700 to < 2,000",46588,12208%,,,,
"... 2,000 to < 2,300",41352,10836%,,,,
"... 2,300 to < 2,600",31374,8222%,,,,
"... 2,600 to < 2,900",19278,5052%,,,,
"... 2,900 to < 3,200",17632,4.62%,,,,
"... 3,200 to < 3,600",14956,3919%,,,,
"... 3,600 to < 4,000",9797,2567%,,,,
"... 4,000 to < 4,500",8877,2326%,,,,
"... 4,500 to < 5,000",5786,1516%,,,,
"... 5,000 to < 5,500",4157,1089%,,,,
"... 5,500 to < 6,000",2707,0.71%,,,,
"... 6,000 to < 7,500",3630,0.95%,,,,
"... 7,500 to < 10,000",2789,0.73%,,,,
"... 10,000 to < 18,000",1768,0.46%,,,,
"... > 18,000",792,0.21%,,,,
"... Farmer (self-employed, main job)",1435,0.38%,,,,
EF436_num,380173,215.551.999,170.016.513,1200,2450,819470500
EF442,,,,,,
... < 150,,,,,,
... 150 to < 300,,,,,,
... 300 to < 500,17883,5211%,,,,
... 500 to < 700,12552,3657%,,,,
... 700 to < 900,17854,5202%,,,,
"... 900 to < 1,100",20671,6023%,,,,
"... 1,100 to < 1,300",25967,7566%,,,,
"... 1,300 to < 1,500",27291,7952%,,,,
"... 1,500 to < 1,700",29080,8473%,,,,
"... 1,700 to < 2,000",42416,12359%,,,,
"... 2,000 to < 2,300",37765,11004%,,,,
"... 2,300 to < 2,600",28507,8306%,,,,
"... 2,600 to < 2,900",17668,5148%,,,,
"... 2,900 to < 3,200",15148,4414%,,,,
"... 3,200 to < 3,600",13166,3836%,,,,
"... 3,600 to < 4,000",8366,2438%,,,,
"... 4,000 to < 4,500",7235,2108%,,,,
"... 4,500 to < 5,000",4558,1328%,,,,
"... 5,000 to < 5,500",3080,0.90%,,,,
"... 5,500 to < 6,000",2012,0.59%,,,,
"... 6,000 to < 7,500",2521,0.74%,,,,
"... 7,500 to < 10,000",1590,0.46%,,,,
"... 10,000 to < 18,000",763,0.22%,,,,
"... > 18,000",260,0.08%,,,,
EF442_num,,,,,,
EF114UG4,,,,,,
"... Occupations in agriculture, forestry, farming, and gardening",7921,2042%,,,,
"... Occupations in production of raw materials and goods, and manufacturing",73147,18854%,,,,
"... Occupations in construction, architecture, surveying and technical building services",23204,5981%,,,,
"... Occupations in natural sciences, geography and informatics",15261,3934%,,,,
"... Occupations in traffic, logistics, safety and security",,,,,,
"... Occupations in commercial services, trading, sales, the hotel business and tourism",,,,,,
"... Occupations in business organisation, accounting, law and administration",81759,21074%,,,,
"... Occupations in health care, the social sector, teaching and education",77395,19949%,,,,
"... Occupations in philology, literature, humanities, social sciences, economics, media, art, culture, and design",12592,3246%,,,,
... Military occupations,1440,0.37%,,,,
EF114UG3,,,,,,
"... Occupations in agriculture, forestry, and farming",4366,1127%,,,,
... Occupations in gardening and floristry,3555,0.92%,,,,
"... Occupations in production and processing of raw materials, glass- and ceramic-making and -processing",953,0.25%,,,,
"... Occupations in plastic-making and -processing, and wood-working and -processing",4636,1196%,,,,
"... Occupations in paper-making and -processing, printing, and in technical media design",3412,0.88%,,,,
"... Occupations in metal-making and -working, and in metal construction",11438,2952%,,,,
... Technical occupations in machine-building and automotive industry,20585,5312%,,,,
"... Occupations in mechatronics, energy electronics and electrical engineering",11854,3059%,,,,
"... Occupations in technical research and development, construction, and production planning and scheduling",10451,2697%,,,,
... Occupations in textile- and leather-making and -processing,1578,0.41%,,,,
... Occupations in food-production and -processing,8240,2126%,,,,
"... Occupations in construction scheduling, architecture and surveying",3868,1.00%,,,,
... Occupations in building construction above and below ground,5926,1529%,,,,
... Occupations in interior construction,5100,1316%,,,,
... Occupations in building services engineering and technical building services,8310,2144%,,,,
"... Occupations in mathematics, biology, chemistry and physics",4304,1111%,,,,
"... Occupations in geology, geography and environmental protection",736,0.19%,,,,
"... Occupations in computer science, information and communication technology",10221,2638%,,,,
... Occupations in traffic and logistics (without vehicle driving),,,,,,
... Drivers and operators of vehicles and transport equipment,,,,,,
"... Occupations in safety and health protection, security and surveillance",6641,1714%,,,,
... Occupations in cleaning services,10827,2794%,,,,
"... Occupations in purchasing, sales and trading",10005,2582%,,,,
... Sales occupations in retail trade,25412,6558%,,,,
"... Occupations in tourism, hotels and restaurants",10897,2812%,,,,
... Occupations in business management and organisation,49242,12707%,,,,
"... Occupations in financial services, accounting and tax consultancy",15968,4121%,,,,
... Occupations in law and public administration,16549,4271%,,,,
... Medical and health care occupations,29658,7654%,,,,
"... Occupations in non-medical healthcare, body care, wellness and medical technicians",11843,3056%,,,,
"... Occupations in education and social work, housekeeping, and theology",19022,4909%,,,,
... Occupations in teaching and training,16872,4354%,,,,
"... Occupations in in philology, literature, humanities, social sciences, and economics",1160,0.30%,,,,
"... Occupations in advertising and marketing, in commercial and editorial media design",6948,1793%,,,,
"... Occupations in product design, artisan craftwork, fine arts and the making of musical instruments",1650,0.43%,,,,
... Occupations in the performing arts and entertainment,2376,0.61%,,,,
... Armed forces personnel,1440,0.37%,,,,
EF137UG1,,,,,,
"... Crop and animal production, hunting and related service activities",4426,1141%,,,,
... Forestry and logging,331,0.09%,,,,
... Fishing and aquaculture,40,0.01%,,,,
... Mining of coal and lignite,137,0.04%,,,,
... Extraction of crude petroleum and natural gas,58,0.02%,,,,
... Mining of metal ores,21,0.01%,,,,
... Other mining and quarrying,384,0.10%,,,,
... Mining support service activities,40,0.01%,,,,
... Manufacture of food products,7079,1825%,,,,
... Manufacture of beverages,701,0.18%,,,,
... Manufacture of tobacco products,120,0.03%,,,,
... Manufacture of textiles,777,0.20%,,,,
... Manufacture of wearing apparel,574,0.15%,,,,
... Manufacture of leather and related products,222,0.06%,,,,
"... Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1027,0.27%,,,,
... Manufacture of paper and paper products,1010,0.26%,,,,
... Printing and reproduction of recorded media,1590,0.41%,,,,
... Manufacture of coke and refined petroleum products,257,0.07%,,,,
... Manufacture of chemicals and chemical products,3384,0.87%,,,,
... Manufacture of basic pharmaceutical products and pharmaceutical preparations,1548,0.40%,,,,
... Manufacture of rubber and plastic products,3324,0.86%,,,,
... Manufacture of other non-metallic mineral products,1976,0.51%,,,,
... Manufacture of basic metals,2085,0.54%,,,,
"... Manufacture of fabricated metal products, except machinery and equipment",7669,1977%,,,,
"... Manufacture of computer, electronic and optical products",4850,1.25%,,,,
... Manufacture of electrical equipment,2652,0.68%,,,,
... Manufacture of machinery and equipment n.e.c.,13052,3364%,,,,
"... Manufacture of motor vehicles, trailers and semi-trailers",11122,2867%,,,,
... Manufacture of other transport equipment,2071,0.53%,,,,
... Manufacture of furniture,1088,0.28%,,,,
... Other manufacturing,3734,0.96%,,,,
... Repair and installation of machinery and equipment,1478,0.38%,,,,
"... Electricity, gas, steam and air conditioning supply",3066,0.79%,,,,
"... Water collection, treatment and supply",191,0.05%,,,,
... Sewerage,329,0.09%,,,,
"... Waste collection, treatment and disposal activities; materials recovery",1663,0.43%,,,,
... Remediation activities and other waste management services,174,0.05%,,,,
... Construction of buildings,4844,1249%,,,,
... Civil engineering,2632,0.68%,,,,
... Specialised construction activities,18255,4705%,,,,
... Wholesale and retail trade and repair of motor vehicles and motorcycles,8130,2096%,,,,
"... Wholesale trade, except of motor vehicles and motorcycles",,,,,,
"... Retail trade, except of motor vehicles and motorcycles",,,,,,
... Land transport and transport via pipelines,5318,1371%,,,,
... Water transport,305,0.08%,,,,
... Air transport,785,0.20%,,,,
... Warehousing and support activities for transportation,9702,2501%,,,,
... Postal and courier activities,3117,0.80%,,,,
... Accommodation,4572,1178%,,,,
... Food and beverage service activities,9016,2324%,,,,
... Publishing activities,4913,1266%,,,,
"... Motion picture, video and television programme production, sound recording and music publishing activities",771,0.20%,,,,
... Programming and broadcasting activities,393,0.10%,,,,
... Telecommunications,555,0.14%,,,,
"... Computer programming, consultancy and related activities",5127,1322%,,,,
... Information service activities,716,0.19%,,,,
"... Financial service activities, except insurance and pension funding",6549,1688%,,,,
"... Insurance, reinsurance and pension funding, except compulsory social security",1582,0.41%,,,,
... Activities auxiliary to financial services and insurance activities,3631,0.94%,,,,
... Real estate activities,2011,0.52%,,,,
... Legal and accounting activities,6356,1638%,,,,
... Activities of head offices; management consultancy activities,2839,0.73%,,,,
... Architectural and engineering activities; technical testing and analysis,6116,1576%,,,,
... Scientific research and development,2266,0.58%,,,,
... Advertising and market research,1481,0.38%,,,,
"... Other professional, scientific and technical activities",3187,0.82%,,,,
... Veterinary activities,622,0.16%,,,,
... Rental and leasing activities,629,0.16%,,,,
... Employment activities,735,0.19%,,,,
"... Travel agency, tour operator and other reservation service and related activities",1500,0.39%,,,,
... Security and investigation activities,1397,0.36%,,,,
... Services to buildings and landscape activities,11081,2856%,,,,
"... Office administrative, office support and other business support activities",3829,0.99%,,,,
... Public administration and defence; compulsory social security,27144,6997%,,,,
... Education,26895,6932%,,,,
... Human health activities,29172,7519%,,,,
... Residential care activities,12038,3103%,,,,
... Social work activities without accommodation,10563,2723%,,,,
"... Creative, arts and entertainment activities",2113,0.55%,,,,
"... Libraries, archives, museums and other cultural activities",617,0.16%,,,,
... Gambling and betting activities,607,0.16%,,,,
... Sports activities and amusement and recreation activities,2027,0.52%,,,,
... Activities of membership organisations,5093,1313%,,,,
... Repair of computers and personal and household goods,651,0.17%,,,,
... Other personal service activities,5170,1333%,,,,
... Activities of households as employers of domestic personnel,1969,0.51%,,,,
... Undifferentiated goods- and services-producing activities of private households for own use,0,0%,,,,
... Activities of extraterritorial organisations and bodies,173,0.05%,,,,
