Variable,N,Mean,Std. Dev.,Pctl. 25,Pctl. 75,Sum
EF952,867049,9.702.103,4.392.141,86.14,119.322,84.121.987.206
EF46,767346,,,,,
... Male,375717,48963%,,,,
... Female,391629,51037%,,,,
EF44,767346,448.771,2.351.458,26,63,34436260
EF44_bin10,767346,,,,,
"... [0,10]",73300,9552%,,,,
"... (10,20]",72230,9413%,,,,
"... (20,30]",85154,11097%,,,,
"... (30,40]",93226,12149%,,,,
"... (40,50]",98204,12798%,,,,
"... (50,60]",128454,16.74%,,,,
"... (60,70]",98061,12779%,,,,
"... (70,80]",73091,9525%,,,,
"... (80,90]",39882,5197%,,,,
"... (90,100]",5744,0.75%,,,,
EF517,653261,,,,,
... ISCED-Level 1 - PE,34046,5212%,,,,
... ISCED-Level 2 - LSGE,94059,14398%,,,,
... ISCED-Level 3 - USGE,34283,5248%,,,,
... ISCED-Level 3 - USVE,263208,40291%,,,,
... ISCED-Level 4 - PSNTVE,62496,9567%,,,,
... ISCED-Level 5 - SCTVE,3705,0.57%,,,,
... ISCED-Level 6 - Bachelor,89688,13729%,,,,
... ISCED-Level 6 - Master,71776,10987%,,,,
EF540,653161,,,,,
... ISCED 1 ECE (000),0,0%,,,,
... ISCED 1 PE (100),33949,5198%,,,,
... ISCED 2 LSE (200),94056,14.40%,,,,
... ISCED 3 USE (300),0,0%,,,,
... ISCED 3 USE (302),0,0%,,,,
... ISCED 3 USE (303),4271,0.65%,,,,
... ISCED 3 USE (304),293220,44892%,,,,
... ISCED 4 PSNTE (400),62496,9568%,,,,
... ISCED 5 SCTE (500),3705,0.57%,,,,
... ISCED 6 Bachelor (600),89688,13731%,,,,
... ISCED 7 Master (700),63424,9.71%,,,,
... ISCED 8 Doctoral (800),8352,1279%,,,,
EF436,607902,,,,,
... < 150,6448,1061%,,,,
... 150 to < 300,16140,2655%,,,,
... 300 to < 500,34911,5743%,,,,
... 500 to < 700,34312,5644%,,,,
... 700 to < 900,48634,8%,,,,
"... 900 to < 1,100",50558,8317%,,,,
"... 1,100 to < 1,300",52805,8686%,,,,
"... 1,300 to < 1,500",51377,8452%,,,,
"... 1,500 to < 1,700",48856,8037%,,,,
"... 1,700 to < 2,000",63953,10.52%,,,,
"... 2,000 to < 2,300",52592,8651%,,,,
"... 2,300 to < 2,600",38293,6299%,,,,
"... 2,600 to < 2,900",23332,3838%,,,,
"... 2,900 to < 3,200",21395,3519%,,,,
"... 3,200 to < 3,600",17624,2899%,,,,
"... 3,600 to < 4,000",11326,1863%,,,,
"... 4,000 to < 4,500",10136,1667%,,,,
"... 4,500 to < 5,000",6455,1062%,,,,
"... 5,000 to < 5,500",4604,0.76%,,,,
"... 5,500 to < 6,000",2972,0.49%,,,,
"... 6,000 to < 7,500",3938,0.65%,,,,
"... 7,500 to < 10,000",3010,0.50%,,,,
"... 10,000 to < 18,000",1919,0.32%,,,,
"... > 18,000",877,0.14%,,,,
"... Farmer (self-employed, main job)",1435,0.24%,,,,
EF436_num,606467,183.065.361,153.478.646,1000,2150,1110231000
EF442,,,,,,
... < 150,,,,,,
... 150 to < 300,,,,,,
... 300 to < 500,17883,5211%,,,,
... 500 to < 700,12552,3657%,,,,
... 700 to < 900,17854,5202%,,,,
"... 900 to < 1,100",20671,6023%,,,,
"... 1,100 to < 1,300",25967,7566%,,,,
"... 1,300 to < 1,500",27291,7952%,,,,
"... 1,500 to < 1,700",29080,8473%,,,,
"... 1,700 to < 2,000",42416,12359%,,,,
"... 2,000 to < 2,300",37765,11004%,,,,
"... 2,300 to < 2,600",28507,8306%,,,,
"... 2,600 to < 2,900",17668,5148%,,,,
"... 2,900 to < 3,200",15148,4414%,,,,
"... 3,200 to < 3,600",13166,3836%,,,,
"... 3,600 to < 4,000",8366,2438%,,,,
"... 4,000 to < 4,500",7235,2108%,,,,
"... 4,500 to < 5,000",4558,1328%,,,,
"... 5,000 to < 5,500",3080,0.90%,,,,
"... 5,500 to < 6,000",2012,0.59%,,,,
"... 6,000 to < 7,500",2521,0.74%,,,,
"... 7,500 to < 10,000",1590,0.46%,,,,
"... 10,000 to < 18,000",763,0.22%,,,,
"... > 18,000",260,0.08%,,,,
EF442_num,,,,,,
EF114UG4,,,,,,
"... Occupations in agriculture, forestry, farming, and gardening",7921,2042%,,,,
"... Occupations in production of raw materials and goods, and manufacturing",73147,18854%,,,,
"... Occupations in construction, architecture, surveying and technical building services",23204,5981%,,,,
"... Occupations in natural sciences, geography and informatics",15261,3934%,,,,
"... Occupations in traffic, logistics, safety and security",,,,,,
"... Occupations in commercial services, trading, sales, the hotel business and tourism",,,,,,
"... Occupations in business organisation, accounting, law and administration",81759,21074%,,,,
"... Occupations in health care, the social sector, teaching and education",77395,19949%,,,,
"... Occupations in philology, literature, humanities, social sciences, economics, media, art, culture, and design",12592,3246%,,,,
... Military occupations,1440,0.37%,,,,
EF114UG3,,,,,,
"... Occupations in agriculture, forestry, and farming",4366,1127%,,,,
... Occupations in gardening and floristry,3555,0.92%,,,,
"... Occupations in production and processing of raw materials, glass- and ceramic-making and -processing",953,0.25%,,,,
"... Occupations in plastic-making and -processing, and wood-working and -processing",4636,1196%,,,,
"... Occupations in paper-making and -processing, printing, and in technical media design",3412,0.88%,,,,
"... Occupations in metal-making and -working, and in metal construction",11438,2952%,,,,
... Technical occupations in machine-building and automotive industry,20585,5312%,,,,
"... Occupations in mechatronics, energy electronics and electrical engineering",11854,3059%,,,,
"... Occupations in technical research and development, construction, and production planning and scheduling",10451,2697%,,,,
... Occupations in textile- and leather-making and -processing,1578,0.41%,,,,
... Occupations in food-production and -processing,8240,2126%,,,,
"... Occupations in construction scheduling, architecture and surveying",3868,1.00%,,,,
... Occupations in building construction above and below ground,5926,1529%,,,,
... Occupations in interior construction,5100,1316%,,,,
... Occupations in building services engineering and technical building services,8310,2144%,,,,
"... Occupations in mathematics, biology, chemistry and physics",4304,1111%,,,,
"... Occupations in geology, geography and environmental protection",736,0.19%,,,,
"... Occupations in computer science, information and communication technology",10221,2638%,,,,
... Occupations in traffic and logistics (without vehicle driving),,,,,,
... Drivers and operators of vehicles and transport equipment,,,,,,
"... Occupations in safety and health protection, security and surveillance",6641,1714%,,,,
... Occupations in cleaning services,10827,2794%,,,,
"... Occupations in purchasing, sales and trading",10005,2582%,,,,
... Sales occupations in retail trade,25412,6558%,,,,
"... Occupations in tourism, hotels and restaurants",10897,2812%,,,,
... Occupations in business management and organisation,49242,12707%,,,,
"... Occupations in financial services, accounting and tax consultancy",15968,4121%,,,,
... Occupations in law and public administration,16549,4271%,,,,
... Medical and health care occupations,29658,7654%,,,,
"... Occupations in non-medical healthcare, body care, wellness and medical technicians",11843,3056%,,,,
"... Occupations in education and social work, housekeeping, and theology",19022,4909%,,,,
... Occupations in teaching and training,16872,4354%,,,,
"... Occupations in in philology, literature, humanities, social sciences, and economics",1160,0.30%,,,,
"... Occupations in advertising and marketing, in commercial and editorial media design",6948,1793%,,,,
"... Occupations in product design, artisan craftwork, fine arts and the making of musical instruments",1650,0.43%,,,,
... Occupations in the performing arts and entertainment,2376,0.61%,,,,
... Armed forces personnel,1440,0.37%,,,,
EF137UG1,,,,,,
"... Crop and animal production, hunting and related service activities",4426,1141%,,,,
... Forestry and logging,331,0.09%,,,,
... Fishing and aquaculture,40,0.01%,,,,
... Mining of coal and lignite,137,0.04%,,,,
... Extraction of crude petroleum and natural gas,58,0.02%,,,,
... Mining of metal ores,21,0.01%,,,,
... Other mining and quarrying,384,0.10%,,,,
... Mining support service activities,40,0.01%,,,,
... Manufacture of food products,7079,1825%,,,,
... Manufacture of beverages,701,0.18%,,,,
... Manufacture of tobacco products,120,0.03%,,,,
... Manufacture of textiles,777,0.20%,,,,
... Manufacture of wearing apparel,574,0.15%,,,,
... Manufacture of leather and related products,222,0.06%,,,,
"... Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1027,0.27%,,,,
... Manufacture of paper and paper products,1010,0.26%,,,,
... Printing and reproduction of recorded media,1590,0.41%,,,,
... Manufacture of coke and refined petroleum products,257,0.07%,,,,
... Manufacture of chemicals and chemical products,3384,0.87%,,,,
... Manufacture of basic pharmaceutical products and pharmaceutical preparations,1548,0.40%,,,,
... Manufacture of rubber and plastic products,3324,0.86%,,,,
... Manufacture of other non-metallic mineral products,1976,0.51%,,,,
... Manufacture of basic metals,2085,0.54%,,,,
"... Manufacture of fabricated metal products, except machinery and equipment",7669,1977%,,,,
"... Manufacture of computer, electronic and optical products",4850,1.25%,,,,
... Manufacture of electrical equipment,2652,0.68%,,,,
... Manufacture of machinery and equipment n.e.c.,13052,3364%,,,,
"... Manufacture of motor vehicles, trailers and semi-trailers",11122,2867%,,,,
... Manufacture of other transport equipment,2071,0.53%,,,,
... Manufacture of furniture,1088,0.28%,,,,
... Other manufacturing,3734,0.96%,,,,
... Repair and installation of machinery and equipment,1478,0.38%,,,,
"... Electricity, gas, steam and air conditioning supply",3066,0.79%,,,,
"... Water collection, treatment and supply",191,0.05%,,,,
... Sewerage,329,0.09%,,,,
"... Waste collection, treatment and disposal activities; materials recovery",1663,0.43%,,,,
... Remediation activities and other waste management services,174,0.05%,,,,
... Construction of buildings,4844,1249%,,,,
... Civil engineering,2632,0.68%,,,,
... Specialised construction activities,18255,4705%,,,,
... Wholesale and retail trade and repair of motor vehicles and motorcycles,8130,2096%,,,,
"... Wholesale trade, except of motor vehicles and motorcycles",,,,,,
"... Retail trade, except of motor vehicles and motorcycles",,,,,,
... Land transport and transport via pipelines,5318,1371%,,,,
... Water transport,305,0.08%,,,,
... Air transport,785,0.20%,,,,
... Warehousing and support activities for transportation,9702,2501%,,,,
... Postal and courier activities,3117,0.80%,,,,
... Accommodation,4572,1178%,,,,
... Food and beverage service activities,9016,2324%,,,,
... Publishing activities,4913,1266%,,,,
"... Motion picture, video and television programme production, sound recording and music publishing activities",771,0.20%,,,,
... Programming and broadcasting activities,393,0.10%,,,,
... Telecommunications,555,0.14%,,,,
"... Computer programming, consultancy and related activities",5127,1322%,,,,
... Information service activities,716,0.19%,,,,
"... Financial service activities, except insurance and pension funding",6549,1688%,,,,
"... Insurance, reinsurance and pension funding, except compulsory social security",1582,0.41%,,,,
... Activities auxiliary to financial services and insurance activities,3631,0.94%,,,,
... Real estate activities,2011,0.52%,,,,
... Legal and accounting activities,6356,1638%,,,,
... Activities of head offices; management consultancy activities,2839,0.73%,,,,
... Architectural and engineering activities; technical testing and analysis,6116,1576%,,,,
... Scientific research and development,2266,0.58%,,,,
... Advertising and market research,1481,0.38%,,,,
"... Other professional, scientific and technical activities",3187,0.82%,,,,
... Veterinary activities,622,0.16%,,,,
... Rental and leasing activities,629,0.16%,,,,
... Employment activities,735,0.19%,,,,
"... Travel agency, tour operator and other reservation service and related activities",1500,0.39%,,,,
... Security and investigation activities,1397,0.36%,,,,
... Services to buildings and landscape activities,11081,2856%,,,,
"... Office administrative, office support and other business support activities",3829,0.99%,,,,
... Public administration and defence; compulsory social security,27144,6996%,,,,
... Education,26895,6932%,,,,
... Human health activities,29172,7519%,,,,
... Residential care activities,12038,3103%,,,,
... Social work activities without accommodation,10563,2723%,,,,
"... Creative, arts and entertainment activities",2113,0.55%,,,,
"... Libraries, archives, museums and other cultural activities",617,0.16%,,,,
... Gambling and betting activities,607,0.16%,,,,
... Sports activities and amusement and recreation activities,2027,0.52%,,,,
... Activities of membership organisations,5093,1313%,,,,
... Repair of computers and personal and household goods,651,0.17%,,,,
... Other personal service activities,5170,1333%,,,,
... Activities of households as employers of domestic personnel,1969,0.51%,,,,
... Undifferentiated goods- and services-producing activities of private households for own use,0,0%,,,,
... Activities of extraterritorial organisations and bodies,173,0.05%,,,,
