EF137,n_obs,EF952_sum,EF952_share_green_esco,EF952_share_brown_esco,EF952_share_green_esco_ess,EF952_share_brown_esco_ess,EF952_share_green_gtp,EF952_share_green_vona2018,EF952_share_green_jrc,EF952_share_brown_vona2018
Support activities for other mining and quarrying,7,628.308,NA,NA,NA,NA,NA,NA,NA,NA
"Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms",14,1391.837,NA,NA,NA,NA,NA,NA,NA,NA
Manufacture of parts and accessories for motor vehicles,51,5536.681,NA,NA,NA,NA,NA,NA,NA,NA
Remediation activities and other waste management services,8,726.45,NA,NA,NA,NA,NA,NA,NA,NA
Sea and coastal passenger water transport,94,10434.425,NA,NA,NA,NA,NA,NA,NA,NA
Radio broadcasting,37,4337.5560000000005,NA,NA,NA,NA,NA,NA,NA,NA
Activities of head offices,49,5522.12,NA,NA,NA,NA,NA,NA,NA,NA
Private security activities,33,3843.989,NA,NA,NA,NA,NA,NA,NA,NA
"Creative, arts and entertainment activities",109,11881.111,NA,NA,NA,NA,NA,NA,NA,NA
Repair of personal and household goods,4,437.466,NA,NA,NA,NA,NA,NA,NA,NA
Other personal service activities,6,650.742,NA,NA,NA,NA,NA,NA,NA,NA
