EF564,n_obs,EF952_sum,EF952_share_green_esco,EF952_share_brown_esco,EF952_share_green_esco_ess,EF952_share_brown_esco_ess,EF952_share_green_gtp,EF952_share_green_vona2018,EF952_share_green_jrc,EF952_share_brown_vona2018
102,4,390.148,NA,NA,NA,NA,NA,NA,NA,NA
104,2,193.139,NA,NA,NA,NA,NA,NA,NA,NA
105,1,109.115,0,0,0,0,0,0,0,0
202,1,195.808,NA,NA,NA,NA,NA,NA,NA,NA
203,2,229.358,0,0,0,0,0,0,0,0
205,4,364.64300000000003,NA,NA,NA,NA,NA,NA,NA,NA
206,3,282.374,NA,NA,NA,NA,NA,NA,NA,NA
301,4,440.992,NA,NA,NA,NA,NA,NA,NA,NA
302,4,392.574,NA,NA,NA,NA,NA,NA,NA,NA
303,4,403.987,NA,NA,NA,NA,NA,NA,NA,NA
304,2,186.563,0.014884450513631148,0.01048871188582707,0.032672680292713606,0.012909183859479471,0,0,0,0.1510374511559098
305,1,129.952,0.03941923118992928,0.02777777777777778,0.08652868554829339,0.03418803418803419,0,0,0,0.4
306,1,96.374,0,0,0,0,0,0,0,0
307,10,1102.094,NA,NA,NA,NA,NA,NA,NA,NA
308,3,292.159,NA,NA,NA,NA,NA,NA,NA,NA
309,3,300.1,NA,NA,NA,NA,NA,NA,NA,NA
310,4,382.923,NA,NA,NA,NA,NA,NA,NA,NA
311,9,982.659,NA,NA,NA,NA,NA,NA,NA,NA
401,6,594.011,NA,NA,NA,NA,NA,NA,NA,NA
501,4,516.432,NA,NA,NA,NA,NA,NA,NA,NA
502,1,115.009,0,0,0,0,0,0,0,0
503,2,214.484,0,0,0,0,0,0,0,0
505,2,260.12,0,0,0,0,0,0,0,0
506,3,549.333,0.03225806451612904,0,0.03225806451612904,0,0,0,0,0
507,4,421.046,NA,NA,NA,NA,NA,NA,NA,NA
508,5,583.8430000000001,NA,NA,NA,NA,NA,NA,NA,NA
509,3,455.76599999999996,0.07196327314174115,0.00925925925925926,0.12408099042085965,0.011396011396011398,0,0,0,0.13333333333333333
510,1,119.239,0,0,0,0,0,0,0,0
513,7,831.4209999999999,NA,NA,NA,NA,NA,NA,NA,NA
514,4,489.989,NA,NA,NA,NA,NA,NA,NA,NA
515,13,1306.856,NA,NA,NA,NA,NA,NA,NA,NA
516,7,878.712,NA,NA,NA,NA,NA,NA,NA,NA
517,3,403.63,NA,NA,NA,NA,NA,NA,NA,NA
518,4,471.817,0.022672217430335248,0.015651759727700453,0.029094736209023492,0.022825924756122266,0,0,0.00844416373297274,0.13235880295397015
519,3,381.246,NA,NA,NA,NA,NA,NA,NA,NA
520,2,167.18,0,0.03475,0,0,0,0,0,0
521,6,890.436,NA,NA,NA,NA,NA,NA,NA,NA
524,2,199.641,NA,NA,NA,NA,NA,NA,NA,NA
526,1,131.12,NA,NA,NA,NA,NA,NA,NA,NA
528,3,322.64,NA,NA,NA,NA,NA,NA,NA,NA
529,5,474.461,NA,NA,NA,NA,NA,NA,NA,NA
532,1,114.813,0.03941923118992928,0.02777777777777778,0.08652868554829339,0.03418803418803419,0,0,0,0.4
533,3,406.84800000000007,0,0,0,0,0,0,0,0
601,8,797.525,NA,NA,NA,NA,NA,NA,NA,NA
602,6,742.692,NA,NA,NA,NA,NA,NA,NA,NA
603,1,113.503,0,0,0,0,0,0,0,0
605,7,700.216,NA,NA,NA,NA,NA,NA,NA,NA
606,3,414.834,NA,NA,NA,NA,NA,NA,NA,NA
607,9,1025.334,NA,NA,NA,NA,NA,NA,NA,NA
608,2,234.2,0.04410573260633498,0.030450324884555777,0.05672355501613794,0.04438582908693925,0,0,0.016376458867065187,0.2580706898187684
609,2,186.274,0.020971714947621147,0.014778259744009125,0.04603476205225325,0.018188627377242,0,0,0,0.21280694031373137
610,1,106.398,NA,NA,NA,NA,NA,NA,NA,NA
701,8,936.208,NA,NA,NA,NA,NA,NA,NA,NA
702,1,179.157,0.04895833333333333,0.03321759259259259,0.025862068965517238,0.05494505494505494,0,0,0.03333333333333333,0.1111111111111111
703,3,290.22,0.018522923701559734,0.012567562889710742,0.00978466989370727,0.020787943363920206,0,0,0.012611352307444926,0.04203784102481642
704,8,858.3109999999999,NA,NA,NA,NA,NA,NA,NA,NA
705,1,116.039,NA,NA,NA,NA,NA,NA,NA,NA
801,4,504.596,NA,NA,NA,NA,NA,NA,NA,NA
802,14,1383.621,NA,NA,NA,NA,NA,NA,NA,NA
803,1,138.85,NA,NA,NA,NA,NA,NA,NA,NA
804,1,98.116,NA,NA,NA,NA,NA,NA,NA,NA
805,1,136.389,0,0,0,0,0,0,0,0
806,1,70.767,0,0,0,0,0,0,0,0
807,7,491.031,NA,NA,NA,NA,NA,NA,NA,NA
808,8,853.738,NA,NA,NA,NA,NA,NA,NA,NA
809,3,232.65200000000002,NA,NA,NA,NA,NA,NA,NA,NA
810,2,147.446,NA,NA,NA,NA,NA,NA,NA,NA
811,6,792.331,NA,NA,NA,NA,NA,NA,NA,NA
813,5,510.284,NA,NA,NA,NA,NA,NA,NA,NA
902,8,924.927,NA,NA,NA,NA,NA,NA,NA,NA
903,7,719.374,NA,NA,NA,NA,NA,NA,NA,NA
904,1,108.741,0.02380952380952381,0.02380952380952381,0.05,0,0,0,0.06666666666666667,0.1538461538461539
906,5,1126.665,0.03483064524222391,0.004289133563807048,0.05989864535363339,0.005278933616993289,0,0,0,0.06176352331882149
907,1,121.587,0,0,0,0,0,0,0,0
908,1,105.486,0.08823529411764706,0,0.1428571428571428,0,0,0,0,0
909,1,102.418,0.03941923118992928,0.02777777777777778,0.08652868554829339,0.03418803418803419,0,0,0,0.4
910,1,126.746,0.04895833333333333,0.03321759259259259,0.02586206896551724,0.05494505494505494,0,0,0.03333333333333333,0.1111111111111111
911,3,361.407,NA,NA,NA,NA,NA,NA,NA,NA
912,2,269.412,NA,NA,NA,NA,NA,NA,NA,NA
913,4,371.17600000000004,NA,NA,NA,NA,NA,NA,NA,NA
914,2,209.385,0.02027713128339524,0.014288803453500065,0.04451008971201393,0.017586219635077005,0,0,0,0.20575876973040094
915,3,367.50300000000004,NA,NA,NA,NA,NA,NA,NA,NA
917,6,610.987,NA,NA,NA,NA,NA,NA,NA,NA
918,9,1001.146,NA,NA,NA,NA,NA,NA,NA,NA
919,2,226.668,0,0.03331135846259728,0,0,0,0,0,0
920,2,231.13,0.04411764705882353,0,0.0714285714285714,0,0,0,0,0
