"Variable","N","Wt. Mean","Wt. SD","N","Wt. Mean","Wt. SD","N","Wt. Mean","Wt. SD","Test"
"gbn_category","brown","","","green","","","neutral","","",""
"EF952","","","","","","","","","",""
"EF46","69","","","102","","","241","","","F=2.581*"
"... Male","36","51.8%","","53","51.1%","","100","39.8%","",""
"... Female","33","48.2%","","49","48.9%","","141","60.2%","",""
"EF44","69","46.656","11.703","102","44.173","14.22","241","43.291","14.48","F=1.547"
"EF44_bin10","69","","","102","","","241","","",""
"... [0,10]","0","0%","","0","0%","","0","0%","",""
"... (10,20]","3","4%","","6","5.5%","","7","3.3%","",""
"... (20,30]","4","5.3%","","17","16.7%","","50","22%","",""
"... (30,40]","12","19.8%","","14","15.2%","","47","19.4%","",""
"... (40,50]","18","26.5%","","27","25%","","52","21.2%","",""
"... (50,60]","28","38.9%","","24","24.2%","","57","22%","",""
"... (60,70]","4","5.5%","","14","13.4%","","25","10.6%","",""
"... (70,80]","0","0%","","0","0%","","0","0%","",""
"... (80,90]","0","0%","","0","0%","","3","1.6%","",""
"EF517","69","","","102","","","241","","","F=1.132"
"... ISCED-Level 1 - PE","1","2.1%","","1","0.6%","","9","4.4%","",""
"... ISCED-Level 2 - LSGE","6","7.4%","","8","7.5%","","25","10.9%","",""
"... ISCED-Level 3 - USGE","2","2.7%","","5","5.7%","","20","9.1%","",""
"... ISCED-Level 3 - USVE","27","39.3%","","42","40.5%","","84","33%","",""
"... ISCED-Level 4 - PSNTVE","8","11.1%","","20","19.8%","","33","13.8%","",""
"... ISCED-Level 5 - SCTVE","0","0%","","0","0%","","2","0.8%","",""
"... ISCED-Level 6 - Bachelor","14","19.5%","","12","12.2%","","38","16.2%","",""
"... ISCED-Level 6 - Master","11","17.9%","","14","13.9%","","30","12%","",""
"EF540","69","","","102","","","241","","",""
"... ISCED 1 ECE (000)","0","0%","","0","0%","","0","0%","",""
"... ISCED 1 PE (100)","1","2.1%","","1","0.6%","","9","4.4%","",""
"... ISCED 2 LSE (200)","6","7.4%","","8","7.5%","","25","10.9%","",""
"... ISCED 3 USE (300)","0","0%","","0","0%","","0","0%","",""
"... ISCED 3 USE (302)","0","0%","","0","0%","","0","0%","",""
"... ISCED 3 USE (303)","2","3.1%","","1","0.9%","","3","0.9%","",""
"... ISCED 3 USE (304)","27","38.8%","","46","45.2%","","101","41.1%","",""
"... ISCED 4 PSNTE (400)","8","11.1%","","20","19.8%","","33","13.8%","",""
"... ISCED 5 SCTE (500)","0","0%","","0","0%","","2","0.8%","",""
"... ISCED 6 Bachelor (600)","14","19.5%","","12","12.2%","","38","16.2%","",""
"... ISCED 7 Master (700)","11","17.9%","","12","11.8%","","30","12%","",""
"... ISCED 8 Doctoral (800)","0","0%","","2","2%","","0","0%","",""
"EF442","61","","","93","","","217","","",""
"... < 150","0","0%","","0","0%","","1","0.5%","",""
"... 150 to < 300","0","0%","","0","0%","","1","0.5%","",""
"... 300 to < 500","5","8.2%","","8","8.8%","","11","5.4%","",""
"... 500 to < 700","5","7.8%","","4","3.6%","","7","3.2%","",""
"... 700 to < 900","2","3%","","11","12.3%","","9","4.3%","",""
"... 900 to < 1,100","2","2.5%","","6","6%","","9","4.6%","",""
"... 1,100 to < 1,300","5","8%","","8","8.5%","","15","7.1%","",""
"... 1,300 to < 1,500","2","4.1%","","8","9.2%","","15","7%","",""
"... 1,500 to < 1,700","8","12.2%","","10","10.4%","","18","8.1%","",""
"... 1,700 to < 2,000","5","9.5%","","8","10.1%","","32","14%","",""
"... 2,000 to < 2,300","7","10.9%","","6","6%","","34","15.2%","",""
"... 2,300 to < 2,600","2","3.4%","","7","7.7%","","19","8.1%","",""
"... 2,600 to < 2,900","3","5.7%","","5","5.3%","","12","6.3%","",""
"... 2,900 to < 3,200","6","9.1%","","2","1.9%","","8","3.1%","",""
"... 3,200 to < 3,600","4","8.3%","","3","2.9%","","10","4.7%","",""
"... 3,600 to < 4,000","3","4%","","0","0%","","3","1.2%","",""
"... 4,000 to < 4,500","1","1.5%","","3","3.2%","","3","1.5%","",""
"... 4,500 to < 5,000","0","0%","","0","0%","","2","1%","",""
"... 5,000 to < 5,500","0","0%","","1","0.8%","","2","1%","",""
"... 5,500 to < 6,000","1","1.6%","","0","0%","","1","0.3%","",""
"... 6,000 to < 7,500","0","0%","","2","2%","","4","2.4%","",""
"... 7,500 to < 10,000","0","0%","","0","0%","","1","0.5%","",""
"... 10,000 to < 18,000","0","0%","","1","1.2%","","0","0%","",""
"... > 18,000","0","0%","","0","0%","","0","0%","",""
"EF114UG4","69","","","102","","","241","","",""
"... Occupations in agriculture, forestry, farming, and gardening","1","0.9%","","2","1.4%","","7","3.7%","",""
"... Occupations in production of raw materials and goods, and manufacturing","0","0%","","0","0%","","0","0%","",""
"... Occupations in construction, architecture, surveying and technical building services","16","25.7%","","22","21.1%","","62","26.4%","",""
"... Occupations in natural sciences, geography and informatics","0","0%","","0","0%","","0","0%","",""
"... Occupations in traffic, logistics, safety and security","10","13.9%","","18","16.7%","","53","21.4%","",""
"... Occupations in commercial services, trading, sales, the hotel business and tourism","0","0%","","0","0%","","0","0%","",""
"... Occupations in business organisation, accounting, law and administration","19","28.4%","","30","29.6%","","95","38.6%","",""
"... Occupations in health care, the social sector, teaching and education","0","0%","","0","0%","","0","0%","",""
"... Occupations in philology, literature, humanities, social sciences, economics, media, art, culture, and design","23","31.1%","","30","31.1%","","24","9.9%","",""
"... Military occupations","0","0%","","0","0%","","0","0%","",""
"EF137UG1","69","","","102","","","241","","",""
"... Crop and animal production, hunting and related service activities","0","0%","","0","0%","","0","0%","",""
"... Forestry and logging","0","0%","","0","0%","","0","0%","",""
"... Fishing and aquaculture","0","0%","","0","0%","","0","0%","",""
"... Mining of coal and lignite","0","0%","","0","0%","","0","0%","",""
"... Extraction of crude petroleum and natural gas","0","0%","","0","0%","","0","0%","",""
"... Mining of metal ores","0","0%","","0","0%","","0","0%","",""
"... Other mining and quarrying","0","0%","","0","0%","","0","0%","",""
"... Mining support service activities","1","0.9%","","2","1.4%","","4","1.5%","",""
"... Manufacture of food products","0","0%","","0","0%","","0","0%","",""
"... Manufacture of beverages","0","0%","","0","0%","","0","0%","",""
"... Manufacture of tobacco products","0","0%","","0","0%","","0","0%","",""
"... Manufacture of textiles","0","0%","","0","0%","","0","0%","",""
"... Manufacture of wearing apparel","0","0%","","0","0%","","0","0%","",""
"... Manufacture of leather and related products","0","0%","","0","0%","","0","0%","",""
