EF114,EF114_name_en,n_obs,EF952_sum,EF952_share_green_esco,EF952_share_brown_esco,EF952_share_green_esco_ess,EF952_share_brown_esco_ess,EF952_share_green_gtp,EF952_share_green_vona2018,EF952_share_green_jrc,EF952_share_brown_vona2018
Managers in fishing,Managers in fishing,3,225.46699999999998,NA,NA,NA,NA,NA,NA,NA,NA
Managers in floristry,Managers in floristry,7,991.806,0,0,0,0,0,0,0,0
Supervisors in plastic- and rubber-making and -processing,Supervisors in plastic- and rubber-making and -processing,2,200.95,6.2796875,25.11875,0,0,0,0,26.793333333333326,0
Occupations in photographic technology-skilled tasks,Occupations in photographic technology-skilled tasks,7,639.842,0,44.469019,0,0,0,0,0,0
Occupations in laser-assisted metalworking-highly complex tasks,Occupations in laser-assisted metalworking-highly complex tasks,4,456.945,NA,NA,NA,NA,NA,NA,NA,NA
"Occupations in machine-building and -operating (with specialisation, not elsewhere classified)-complex tasks","Occupations in machine-building and -operating (with specialisation, not elsewhere classified)-complex tasks",16,1736.817,41.611240625,57.69287951388888,0,95.42950549450548,0,0,0,192.97966666666667
Technical occupations in maintenance of electric machines-skilled tasks,Technical occupations in maintenance of electric machines-skilled tasks,9,908.5989999999999,21.633309523809526,21.633309523809526,45.429950000000005,0,0,0,60.57326666666667,139.78446153846158
Occupations in fruit juice production-complex tasks,Occupations in fruit juice production-complex tasks,22,2445.071,NA,NA,NA,NA,NA,NA,NA,NA
Joiners-skilled tasks,Joiners-skilled tasks,28,3594.839,0,0,0,0,0,0,0,0
"Occupations in chemistry (with specialisation, not elsewhere classified)-complex tasks","Occupations in chemistry (with specialisation, not elsewhere classified)-complex tasks",21,2311.791,NA,NA,NA,NA,NA,NA,NA,NA
Drivers of earthmoving and related machines-skilled tasks,Drivers of earthmoving and related machines-skilled tasks,53,5758.662,227.00202872266053,159.96283333333335,498.2894533769063,196.87733333333335,0,0,0,2303.4648
"Management assistants in the sports and fitness industry, sports administrators-complex tasks","Management assistants in the sports and fitness industry, sports administrators-complex tasks",63,6791.647,NA,NA,NA,NA,NA,NA,NA,NA
Administrative occupations in the welfare and health care system-skilled tasks,Administrative occupations in the welfare and health care system-skilled tasks,95,10367.225,0,0,0,0,0,0,0,0
Occupations in housekeeping-unskilled/semiskilled tasks,Occupations in housekeeping-unskilled/semiskilled tasks,58,6309.111,NA,NA,NA,NA,NA,NA,NA,NA
Managers in museum,Managers in museum,24,2651.913,0,0,0,0,0,0,0,0
