"","share_type","EF44_bin5","n_obs","EF952_sum","mean","mean_weighted","sd","sd_weighted","median","q25","q75","median_weighted","q25_weighted","q75_weighted"
"1","share_brown_esco","[15,20]",16,1783.922,0.00340136054421769,0.00276018283189772,0.00899915411926732,0.00828283348295014,0,0,0,0,0,0
"2","share_brown_esco","(20,25]",30,3214.839,0.00595238095238095,0.00562442659092724,0.027277236279499,0.0265724495574451,0,0,0,0,0,0
"3","share_brown_esco","(25,30]",41,4927.746,0,0,0,0,0,0,0,0,0,0
"4","share_brown_esco","(30,35]",31,3842.078,0,0,0,0,0,0,0,0,0,0
"5","share_brown_esco","(35,40]",42,4527.438,0.000915750915750916,0.00103287152568004,0.00466943178900438,0.00494983208928827,0,0,0,0,0,0
"6","share_brown_esco","(40,45]",40,4330.293,0,0,0,0,0,0,0,0,0,0
"7","share_brown_esco","(45,50]",57,6120.604,0.00238095238095238,0.00206108641043774,0.00726496611022297,0.00683508581031952,0,0,0,0,0,0
"8","share_brown_esco","(50,55]",53,5526.539,0.00556835637480799,0.00532349785675705,0.0229474635300213,0.022736666197978,0,0,0,0,0,0
"9","share_brown_esco","(55,60]",56,5967.407,0,0,0,0,0,0,0,0,0,0
"10","share_brown_esco","(60,65]",33,3780.964,0.00238095238095238,0.00226151271050862,0.00732841680060824,0.00718848018231814,0,0,0,0,0,0
"11","share_brown_esco","(65,70]",10,950.158,0,0,0,0,0,0,0,0,0,0
"12","share_brown_esco","(85,90]",3,418.697,0,0,0,0,0,0,0,0,0,0
"13","share_brown_esco_ess","[15,20]",16,1783.922,0,0,0,0,0,0,0,0,0,0
"14","share_brown_esco_ess","(20,25]",30,3214.839,0,0,0,0,0,0,0,0,0,0
"15","share_brown_esco_ess","(25,30]",41,4927.746,0,0,0,0,0,0,0,0,0,0
"16","share_brown_esco_ess","(30,35]",31,3842.078,0,0,0,0,0,0,0,0,0,0
"17","share_brown_esco_ess","(35,40]",42,4527.438,0,0,0,0,0,0,0,0,0,0
"18","share_brown_esco_ess","(40,45]",40,4330.293,0,0,0,0,0,0,0,0,0,0
"19","share_brown_esco_ess","(45,50]",57,6120.604,0,0,0,0,0,0,0,0,0,0
"20","share_brown_esco_ess","(50,55]",53,5526.539,0,0,0,0,0,0,0,0,0,0
"21","share_brown_esco_ess","(55,60]",56,5967.407,0,0,0,0,0,0,0,0,0,0
"22","share_brown_esco_ess","(60,65]",33,3780.964,0,0,0,0,0,0,0,0,0,0
"23","share_brown_esco_ess","(65,70]",10,950.158,0,0,0,0,0,0,0,0,0,0
"24","share_brown_esco_ess","(85,90]",3,418.697,0,0,0,0,0,0,0,0,0,0
"25","share_brown_vona2018","[15,20]",16,1783.922,0.021978021978022,0.0178350275291853,0.0581483804629581,0.0535198471206009,0,0,0,0,0,0
"26","share_brown_vona2018","(20,25]",30,3214.839,0,0,0,0,0,0,0,0,0,0
"27","share_brown_vona2018","(25,30]",41,4927.746,0,0,0,0,0,0,0,0,0,0
"28","share_brown_vona2018","(30,35]",31,3842.078,0,0,0,0,0,0,0,0,0,0
"29","share_brown_vona2018","(35,40]",42,4527.438,0.00591715976331361,0.0066739390890095,0.0301717130981822,0.0319835304230934,0,0,0,0,0,0
"30","share_brown_vona2018","(40,45]",40,4330.293,0,0,0,0,0,0,0,0,0,0
"31","share_brown_vona2018","(45,50]",57,6120.604,0.0153846153846154,0.0133177891135977,0.0469428579429792,0.0441651698512954,0,0,0,0,0,0
"32","share_brown_vona2018","(50,55]",53,5526.539,0.00992555831265509,0.00878404029530512,0.038420159709955,0.0363134624085576,0,0,0,0,0,0
"33","share_brown_vona2018","(55,60]",56,5967.407,0,0,0,0,0,0,0,0,0,0
"34","share_brown_vona2018","(60,65]",33,3780.964,0.0153846153846154,0.0146128513602095,0.0473528470193148,0.0464486411780557,0,0,0,0,0,0
"35","share_brown_vona2018","(65,70]",10,950.158,0,0,0,0,0,0,0,0,0,0
"36","share_brown_vona2018","(85,90]",3,418.697,0,0,0,0,0,0,0,0,0,0
"37","share_green_esco","[15,20]",16,1783.922,0.00340136054421769,0.00276018283189772,0.00899915411926732,0.00828283348295014,0,0,0,0,0,0
"38","share_green_esco","(20,25]",30,3214.839,0.00386904761904762,0.00312337901129892,0.009778042700235,0.00900554917596968,0,0,0,0,0,0
"39","share_green_esco","(25,30]",41,4927.746,0.00258620689655172,0.00272097092728275,0.00774835116736509,0.00793580616514789,0,0,0,0,0,0
"40","share_green_esco","(30,35]",31,3842.078,0.00238095238095238,0.00219468360518024,0.00751981509397798,0.00726395258055404,0,0,0,0,0,0
"41","share_green_esco","(35,40]",42,4527.438,0.00187728937728938,0.00212377644519489,0.00663404499073713,0.00702267267580795,0,0,0,0,0,0
"42","share_green_esco","(40,45]",40,4330.293,0.00227272727272727,0.00245693528757282,0.00735612357920625,0.00762878144457167,0,0,0,0,0,0
"43","share_green_esco","(45,50]",57,6120.604,0.00238095238095238,0.00206108641043774,0.00726496611022297,0.00683508581031952,0,0,0,0,0,0
"44","share_green_esco","(50,55]",53,5526.539,0.00415706605222734,0.00396258553794794,0.00970331937196846,0.0095396372586076,0,0,0,0,0,0
"45","share_green_esco","(55,60]",56,5967.407,0.00192307692307692,0.00178150637904594,0.00679366220486757,0.00656794516450314,0,0,0,0,0,0
"46","share_green_esco","(60,65]",33,3780.964,0.00488095238095238,0.00453914269407876,0.0100192260578562,0.0097790133820721,0,0,0,0,0,0
"47","share_green_esco","(65,70]",10,950.158,0,0,0,0,0,0,0,0,0,0
"48","share_green_esco","(85,90]",3,418.697,0,0,0,0,0,0,0,0,0,0
"49","share_green_esco_ess","[15,20]",16,1783.922,0.00714285714285714,0.00579638394698522,0.0188982236504614,0.0173939503141953,0,0,0,0,0,0
"50","share_green_esco_ess","(20,25]",30,3214.839,0.00246305418719212,0.00177648865196598,0.00777911906273584,0.00670802242285096,0,0,0,0,0,0
"51","share_green_esco_ess","(25,30]",41,4927.746,0.00267538644470868,0.00281479751098215,0.00801553569037767,0.00820945465360126,0,0,0,0,0,0
"52","share_green_esco_ess","(30,35]",31,3842.078,0.00246305418719212,0.00227036235018645,0.00777911906273584,0.00751443370402142,0,0,0,0,0,0
"53","share_green_esco_ess","(35,40]",42,4527.438,0.00291777188328912,0.00329755253446069,0.0108581736942111,0.0114899890844012,0,0,0,0,0,0
"54","share_green_esco_ess","(40,45]",40,4330.293,0.00235109717868339,0.00254165719404085,0.00760978301297198,0.00789184287369483,0,0,0,0,0,0
"55","share_green_esco_ess","(45,50]",57,6120.604,0.005,0.00432828146191926,0.0152564288314682,0.014353680201671,0,0,0,0,0,0
"56","share_green_esco_ess","(50,55]",53,5526.539,0.00489432703003337,0.00452253892499514,0.0136566292485493,0.013083835111698,0,0,0,0,0,0
"57","share_green_esco_ess","(55,60]",56,5967.407,0.0019893899204244,0.0018429376334958,0.00702792641882853,0.00679442603224463,0,0,0,0,0,0
"58","share_green_esco_ess","(60,65]",33,3780.964,0.00758620689655172,0.00710534564058894,0.0165222059837321,0.0162136018179588,0,0,0,0,0,0
"59","share_green_esco_ess","(65,70]",10,950.158,0,0,0,0,0,0,0,0,0,0
"60","share_green_esco_ess","(85,90]",3,418.697,0,0,0,0,0,0,0,0,0,0
"61","share_green_gtp","[15,20]",16,1783.922,0,0,0,0,0,0,0,0,0,0
"62","share_green_gtp","(20,25]",30,3214.839,0,0,0,0,0,0,0,0,0,0
"63","share_green_gtp","(25,30]",41,4927.746,0,0,0,0,0,0,0,0,0,0
"64","share_green_gtp","(30,35]",31,3842.078,0,0,0,0,0,0,0,0,0,0
"65","share_green_gtp","(35,40]",42,4527.438,0,0,0,0,0,0,0,0,0,0
"66","share_green_gtp","(40,45]",40,4330.293,0,0,0,0,0,0,0,0,0,0
"67","share_green_gtp","(45,50]",57,6120.604,0,0,0,0,0,0,0,0,0,0
"68","share_green_gtp","(50,55]",53,5526.539,0,0,0,0,0,0,0,0,0,0
"69","share_green_gtp","(55,60]",56,5967.407,0,0,0,0,0,0,0,0,0,0
"70","share_green_gtp","(60,65]",33,3780.964,0,0,0,0,0,0,0,0,0,0
"71","share_green_gtp","(65,70]",10,950.158,0,0,0,0,0,0,0,0,0,0
"72","share_green_gtp","(85,90]",3,418.697,0,0,0,0,0,0,0,0,0,0
"73","share_green_jrc","[15,20]",16,1783.922,0.00952380952380952,0.00772851192931362,0.0251976315339485,0.0231919337522604,0,0,0,0,0,0
"74","share_green_jrc","(20,25]",30,3214.839,0.00952380952380952,0.00828908484841186,0.0300792603759119,0.0291416943140396,0,0,0,0,0,0
"75","share_green_jrc","(25,30]",41,4927.746,0.00344827586206897,0.00362796123637699,0.0103311348898201,0.0105810748868639,0,0,0,0,0,0
"76","share_green_jrc","(30,35]",31,3842.078,0.00317460317460317,0.00292624480690698,0.010026420125304,0.00968527010740538,0,0,0,0,0,0
"77","share_green_jrc","(35,40]",42,4527.438,0.00384615384615385,0.00434658016459058,0.0143818499101335,0.015218942508749,0,0,0,0,0,0
"78","share_green_jrc","(40,45]",40,4330.293,0.00303030303030303,0.00327591371676376,0.009808164772275,0.0101717085927622,0,0,0,0,0,0
"79","share_green_jrc","(45,50]",57,6120.604,0.00666666666666667,0.00577104194922568,0.0203419051086243,0.0191382402688947,0,0,0,0,0,0
"80","share_green_jrc","(50,55]",53,5526.539,0.010752688172043,0.0101842646711307,0.029042876061786,0.0285107315391316,0,0,0,0,0,0
"81","share_green_jrc","(55,60]",56,5967.407,0.00256410256410256,0.00237534183872792,0.00905821627315677,0.00875726021933752,0,0,0,0,0,0
"82","share_green_jrc","(60,65]",33,3780.964,0.01,0.00936907556751766,0.0218982228443929,0.0214919904114715,0,0,0,0,0,0
"83","share_green_jrc","(65,70]",10,950.158,0,0,0,0,0,0,0,0,0,0
