"","share_type","EF540","n_obs","EF952_sum","mean","mean_weighted","sd","sd_weighted","median","q25","q75","median_weighted","q25_weighted","q75_weighted"
"1","share_brown_esco",10,8,903.49,0,0,0,0,0,0,0,0,0,0
"2","share_brown_esco",20,20,1874.281,0.00119047619047619,0.00129247022242256,0.0053239713749995,0.00554020546765927,0,0,0,0,0,0
"3","share_brown_esco",33,3,302.459,0,0,0,0,0,0,0,0,0,0
"4","share_brown_esco",34,66,7267.406,0.00261544011544012,0.00243619299257927,0.0158392463234843,0.0152086368139512,0,0,0,0,0,0
"5","share_brown_esco",40,23,2441.833,0,0,0,0,0,0,0,0,0,0
"6","share_brown_esco",50,1,107.896,0,0,NA,NA,0,0,0,0,0,0
"7","share_brown_esco",60,21,2454.831,0,0,0,0,0,0,0,0,0,0
"8","share_brown_esco",70,19,1982.142,0,0,0,0,0,0,0,0,0,0
"9","share_brown_esco",80,1,104.111,0,0,NA,NA,0,0,0,0,0,0
"10","share_brown_esco_ess",10,8,903.49,0,0,0,0,0,0,0,0,0,0
"11","share_brown_esco_ess",20,20,1874.281,0,0,0,0,0,0,0,0,0,0
"12","share_brown_esco_ess",33,3,302.459,0,0,0,0,0,0,0,0,0,0
"13","share_brown_esco_ess",34,66,7267.406,0,0,0,0,0,0,0,0,0,0
"14","share_brown_esco_ess",40,23,2441.833,0,0,0,0,0,0,0,0,0,0
"15","share_brown_esco_ess",50,1,107.896,0,0,NA,NA,0,0,0,0,0,0
"16","share_brown_esco_ess",60,21,2454.831,0,0,0,0,0,0,0,0,0,0
"17","share_brown_esco_ess",70,19,1982.142,0,0,0,0,0,0,0,0,0,0
"18","share_brown_esco_ess",80,1,104.111,0,0,NA,NA,0,0,0,0,0,0
"19","share_brown_vona2018",10,8,903.49,0,0,0,0,0,0,0,0,0,0
"20","share_brown_vona2018",20,20,1874.281,0.0076923076923077,0.00835134605257655,0.0344010458076891,0.035798250714106,0,0,0,0,0,0
"21","share_brown_vona2018",33,3,302.459,0,0,0,0,0,0,0,0,0,0
"22","share_brown_vona2018",34,66,7267.406,0.00466200466200466,0.00452951798122276,0.0265743702823096,0.0262139154714332,0,0,0,0,0,0
"23","share_brown_vona2018",40,23,2441.833,0,0,0,0,0,0,0,0,0,0
"24","share_brown_vona2018",50,1,107.896,0,0,NA,NA,0,0,0,0,0,0
"25","share_brown_vona2018",60,21,2454.831,0,0,0,0,0,0,0,0,0,0
"26","share_brown_vona2018",70,19,1982.142,0,0,0,0,0,0,0,0,0,0
"27","share_brown_vona2018",80,1,104.111,0,0,NA,NA,0,0,0,0,0,0
"28","share_green_esco",10,8,903.49,0,0,0,0,0,0,0,0,0,0
"29","share_green_esco",20,20,1874.281,0.00244047619047619,0.00209512468031868,0.00751410933654905,0.00699926243529424,0,0,0,0,0,0
"30","share_green_esco",33,3,302.459,0,0,0,0,0,0,0,0,0,0
"31","share_green_esco",34,66,7267.406,0.00157377344877345,0.0014908995481233,0.00629026475996571,0.00612520277734355,0,0,0,0,0,0
"32","share_green_esco",40,23,2441.833,0,0,0,0,0,0,0,0,0,0
"33","share_green_esco",50,1,107.896,0,0,NA,NA,0,0,0,0,0,0
"34","share_green_esco",60,21,2454.831,0,0,0,0,0,0,0,0,0,0
"35","share_green_esco",70,19,1982.142,0.00131578947368421,0.00145132134831914,0.00573539334676404,0.00601261577573711,0,0,0,0,0,0
"36","share_green_esco",80,1,104.111,0,0,NA,NA,0,0,0,0,0,0
"37","share_green_esco_ess",10,8,903.49,0,0,0,0,0,0,0,0,0,0
"38","share_green_esco_ess",20,20,1874.281,0.00379310344827586,0.00354451966491095,0.0123140782414419,0.0123501942835466,0,0,0,0,0,0
"39","share_green_esco_ess",33,3,302.459,0,0,0,0,0,0,0,0,0,0
"40","share_green_esco_ess",34,66,7267.406,0.00190700104493208,0.00184047645819876,0.00913895088587863,0.0090012344064885,0,0,0,0,0,0
"41","share_green_esco_ess",40,23,2441.833,0,0,0,0,0,0,0,0,0,0
"42","share_green_esco_ess",50,1,107.896,0,0,NA,NA,0,0,0,0,0,0
"43","share_green_esco_ess",60,21,2454.831,0,0,0,0,0,0,0,0,0,0
"44","share_green_esco_ess",70,19,1982.142,0.00136116152450091,0.00150136691205428,0.00593316553113522,0.00621994735421081,0,0,0,0,0,0
"45","share_green_esco_ess",80,1,104.111,0,0,NA,NA,0,0,0,0,0,0
"46","share_green_gtp",10,8,903.49,0,0,0,0,0,0,0,0,0,0
"47","share_green_gtp",20,20,1874.281,0,0,0,0,0,0,0,0,0,0
"48","share_green_gtp",33,3,302.459,0,0,0,0,0,0,0,0,0,0
"49","share_green_gtp",34,66,7267.406,0,0,0,0,0,0,0,0,0,0
"50","share_green_gtp",40,23,2441.833,0,0,0,0,0,0,0,0,0,0
"51","share_green_gtp",50,1,107.896,0,0,NA,NA,0,0,0,0,0,0
"52","share_green_gtp",60,21,2454.831,0,0,0,0,0,0,0,0,0,0
"53","share_green_gtp",70,19,1982.142,0,0,0,0,0,0,0,0,0,0
"54","share_green_gtp",80,1,104.111,0,0,NA,NA,0,0,0,0,0,0
"55","share_green_jrc",10,8,903.49,0,0,0,0,0,0,0,0,0,0
"56","share_green_jrc",20,20,1874.281,0.005,0.00468912256664467,0.0163120161643198,0.0163977618312051,0,0,0,0,0,0
"57","share_green_jrc",33,3,302.459,0,0,0,0,0,0,0,0,0,0
"58","share_green_jrc",34,66,7267.406,0.00454545454545455,0.00428847193436925,0.0201586558671804,0.0195213183724742,0,0,0,0,0,0
"59","share_green_jrc",40,23,2441.833,0,0,0,0,0,0,0,0,0,0
"60","share_green_jrc",50,1,107.896,0,0,NA,NA,0,0,0,0,0,0
"61","share_green_jrc",60,21,2454.831,0,0,0,0,0,0,0,0,0,0
"62","share_green_jrc",70,19,1982.142,0.00175438596491228,0.00193509513109219,0.00764719112901873,0.00801682103431615,0,0,0,0,0,0
"63","share_green_jrc",80,1,104.111,0,0,NA,NA,0,0,0,0,0,0
"64","share_green_vona2018",10,8,903.49,0,0,0,0,0,0,0,0,0,0
"65","share_green_vona2018",20,20,1874.281,0,0,0,0,0,0,0,0,0,0
"66","share_green_vona2018",33,3,302.459,0,0,0,0,0,0,0,0,0,0
"67","share_green_vona2018",34,66,7267.406,0,0,0,0,0,0,0,0,0,0
"68","share_green_vona2018",40,23,2441.833,0,0,0,0,0,0,0,0,0,0
"69","share_green_vona2018",50,1,107.896,0,0,NA,NA,0,0,0,0,0,0
"70","share_green_vona2018",60,21,2454.831,0,0,0,0,0,0,0,0,0,0
"71","share_green_vona2018",70,19,1982.142,0,0,0,0,0,0,0,0,0,0
"72","share_green_vona2018",80,1,104.111,0,0,NA,NA,0,0,0,0,0,0
