EF114,EF114_name_en,n_obs,EF952_sum,EF952_share_green_abs,EF952_share_brown_abs,EF952_share_neutral_abs,EF952_share_green_rel,EF952_share_brown_rel,EF952_share_neutral_rel
Managers in fishing,Managers in fishing,3,225.46699999999998,0,0,225.46699999999998,0,0,1
Managers in floristry,Managers in floristry,7,991.806,0,0,991.806,0,0,1
Supervisors in plastic- and rubber-making and -processing,Supervisors in plastic- and rubber-making and -processing,2,200.95,0,0,200.95,0,0,1
Occupations in photographic technology-skilled tasks,Occupations in photographic technology-skilled tasks,7,639.842,0,0,639.842,0,0,1
Occupations in laser-assisted metalworking-highly complex tasks,Occupations in laser-assisted metalworking-highly complex tasks,4,456.945,0,456.945,0,0,1,0
"Occupations in machine-building and -operating (with specialisation, not elsewhere classified)-complex tasks","Occupations in machine-building and -operating (with specialisation, not elsewhere classified)-complex tasks",16,1736.817,0,0,1736.817,0,0,1
Technical occupations in maintenance of electric machines-skilled tasks,Technical occupations in maintenance of electric machines-skilled tasks,9,908.5989999999999,0,0,908.5989999999999,0,0,1
Occupations in fruit juice production-complex tasks,Occupations in fruit juice production-complex tasks,22,2445.071,0,0,2445.071,0,0,1
Joiners-skilled tasks,Joiners-skilled tasks,28,3594.839,0,0,3594.839,0,0,1
"Occupations in chemistry (with specialisation, not elsewhere classified)-complex tasks","Occupations in chemistry (with specialisation, not elsewhere classified)-complex tasks",21,2311.791,0,0,2311.791,0,0,1
Drivers of earthmoving and related machines-skilled tasks,Drivers of earthmoving and related machines-skilled tasks,53,5758.662,0,1279.7026666666666,4478.959333333333,0,0.22222222222222218,0.7777777777777777
"Management assistants in the sports and fitness industry, sports administrators-complex tasks","Management assistants in the sports and fitness industry, sports administrators-complex tasks",63,6791.647,0,0,6791.647,0,0,1
Administrative occupations in the welfare and health care system-skilled tasks,Administrative occupations in the welfare and health care system-skilled tasks,95,10367.225,0,0,10367.225,0,0,1
Occupations in housekeeping-unskilled/semiskilled tasks,Occupations in housekeeping-unskilled/semiskilled tasks,58,6309.111,0,0,6309.111,0,0,1
Managers in museum,Managers in museum,24,2651.913,0,0,2651.913,0,0,1
