EF189,n_obs,EF952_sum,share_green,share_brown,share_neutral,share_green_cat_abs,share_brown_cat_abs,share_neutral_cat_abs,share_green_cat_rel,share_brown_cat_rel,share_neutral_cat_rel
"Schleswig-Holstein, Hamburg, Bremen, Saarland, Berlin, Mecklenburg-Western Pomerania, Saxony-Anhalt, Thuringia, Brandenburg",83,8469.084,0,0.01988230237046756,0.9801176976295324,0,0,1,0,0.08947036066710401,0.9105296393328959
Braunschweig (Lower Saxony),7,733.499,0,0.033638764333693706,0.9663612356663063,0,0,1,0,0.1513744395016217,0.8486255604983783
Hannover (Lower Saxony),10,1092.635,0,0.04075712993512624,0.9592428700648737,0,0,1,0,0.1834070847080681,0.8165929152919319
Lueneburg (Lower Saxony),12,1285.684,0,0.04047218791277206,0.9595278120872279,0,0,1,0,0.1821248456074743,0.8178751543925257
Weser-Ems (Lower Saxony),13,1325.532,0,0.05676077395507783,0.9432392260449222,0,0,1,0,0.25542348279785027,0.7445765172021499
Duesseldorf (North Rhine-Westphalia),29,3744.948,0,0.028874573900032195,0.9711254260999679,0,0,1,0,0.1299355825501449,0.8700644174498552
Koeln (North Rhine-Westphalia),33,3739.679,0,0.0531360222807002,0.9468639777192996,0,0.02815990356391551,0.9718400964360845,0,0.14055243778944662,0.8594475622105533
Muenster (North Rhine-Westphalia),12,1504.708,0,0,1,0,0,1,0,0,1
Detmold (North Rhine-Westphalia),5,521.016,0,0.04252162015071407,0.9574783798492861,0,0,1,0,0.19134729067821335,0.8086527093217868
Arnsberg (North Rhine-Westphalia),10,1097.711,0,0.023242911841094786,0.9767570881589053,0,0,1,0,0.10459310328492655,0.8954068967150735
Darmstadt (Hessen),27,2970.691,0,0.006919901426600373,0.9930800985733996,0,0,1,0,0.031139556419701682,0.9688604435802983
Gießen (Hessen),9,1028.234,0,0.024240266969062167,0.975759733030938,0,0,1,0,0.10908120136077976,0.8909187986392203
Kassel (Hessen),5,486.851,0,0.08267142650763101,0.917328573492369,0,0,1,0,0.37202141928433957,0.6279785807156604
Region Koblenz (Rhineland-Palatinate),10,1174.87,0,0.06146060604341095,0.9385393939565891,0,0,1,0,0.2765727271953493,0.7234272728046508
Region Trier (Rhineland-Palatinate),2,289.068,0,0,1,0,0,1,0,0,1
Region Rheinhessen-Pfalz (Rhineland-Palatinate),10,1057.337,0,0.042474001508822,0.957525998491178,0,0,1,0,0.19113300678969902,0.808866993210301
Stuttgart (Baden-Wuerttemberg),22,2296.245,0,0.07186147626039711,0.928138523739603,0,0,1,0,0.323376643171787,0.6766233568282131
Karlsruhe (Baden-Wuerttemberg),10,808.748,0,0.01653474808524342,0.9834652519147565,0,0,1,0,0.07440636638359538,0.9255936336164046
Freiburg (Baden-Wuerttemberg),11,1028.427,0,0.10120191105229423,0.898798088947706,0,0.09167495602507521,0.9083250439749249,0,0.13454625364756082,0.8654537463524393
Tuebingen (Baden-Wuerttemberg),14,1450.484,0,0.01623258933646363,0.9837674106635365,0,0,1,0,0.07304665201408633,0.9269533479859137
Oberbayern (Bavaria),15,1769.088,0,0.007964053292493709,0.9920359467075063,0,0,1,0,0.035838239816221695,0.9641617601837783
Niederbayern (Bavaria),6,1215.442,0,0.03180681047169123,0.9681931895283088,0,0,1,0,0.14313064712261056,0.8568693528773894
Oberpfalz (Bavaria),1,105.486,0,0,1,0,0,1,0,0,1
Oberfranken (Bavaria),6,687.711,0,0.07202217856693355,0.9279778214330664,0,0,1,0,0.324099803551201,0.675900196448799
Mittelfranken (Bavaria),10,1109.769,0,0.04734739091348439,0.9526526090865156,0,0,1,0,0.21306325911067978,0.7869367408893202
Unterfranken (Bavaria),14,1514.993,0,0.16987207201617435,0.8301279279838256,0,0.16987207201617435,0.8301279279838256,0,0.16987207201617435,0.8301279279838256
Schwaben (Bavaria),8,897.692,0,0.0295696569028625,0.9704303430971375,0,0,1,0,0.13306345606288125,0.8669365439371187
Chemnitz (Saxony),7,753.707,0,0.02264393045160638,0.9773560695483936,0,0,1,0,0.1018976870322287,0.8981023129677712
Dresden (Saxony),3,240.381,0,0,1,0,0,1,0,0,1
Leipzig (Saxony),3,341.971,0,0.0838934035667092,0.9161065964332907,0,0,1,0,0.3775203160501914,0.6224796839498086
NA,5,648.994,0,0.03687998485176887,0.963120015148231,0,0,1,0,0.16595993183295993,0.8340400681670401
