EF564,n_obs,EF952_sum,EF952_share_green_abs,EF952_share_brown_abs,EF952_share_neutral_abs,EF952_share_green_rel,EF952_share_brown_rel,EF952_share_neutral_rel
102,4,390.148,0,0,390.148,0,0,1
104,2,193.139,0,0,193.139,0,0,1
105,1,109.115,0,0,109.115,0,0,1
202,1,195.808,0,0,195.808,0,0,1
203,2,229.358,0,0,229.358,0,0,1
205,4,364.64300000000003,0,0,364.64300000000003,0,0,1
206,3,282.374,0,0,282.374,0,0,1
301,4,440.992,0,24.674,416.318,0,0.05595112836514041,0.9440488716348595
302,4,392.574,0,0,392.574,0,0,1
303,4,403.987,0,0,403.987,0,0,1
304,2,186.563,0,15.654444444444442,170.90855555555555,0,0.08390969508661655,0.9160903049133835
305,1,129.952,0,28.87822222222222,101.07377777777778,0,0.2222222222222222,0.7777777777777778
306,1,96.374,0,0,96.374,0,0,1
307,10,1102.094,0,55.084888888888884,1047.009111111111,0,0.049982024118531525,0.9500179758814683
308,3,292.159,0,21.075999999999997,271.08299999999997,0,0.07213880113226016,0.9278611988677398
309,3,300.1,0,21.87422222222222,278.2257777777778,0,0.0728897774815802,0.9271102225184198
310,4,382.923,0,0,382.923,0,0,1
311,9,982.659,0,53.364000000000004,929.295,0,0.05430571541094113,0.9456942845890588
401,6,594.011,0,20.59422222222222,573.4167777777778,0,0.03466976574881984,0.9653302342511804
501,4,516.432,0,0,516.432,0,0,1
502,1,115.009,0,0,115.009,0,0,1
503,2,214.484,0,0,214.484,0,0,1
505,2,260.12,0,0,260.12,0,0,1
506,3,549.333,0,0,549.333,0,0,1
507,4,421.046,0,0,421.046,0,0,1
508,5,583.8430000000001,0,0,583.8430000000001,0,0,1
509,3,455.76599999999996,0,33.760444444444445,422.00555555555553,0,0.07407407407407408,0.9259259259259259
510,1,119.239,0,0,119.239,0,0,1
513,7,831.4209999999999,0,34.45044444444444,796.9705555555555,0,0.04143561979363577,0.9585643802063643
514,4,489.989,0,0,489.989,0,0,1
515,13,1306.856,0,145.12122222222223,1161.7347777777777,0,0.11104606951509748,0.8889539304849025
516,7,878.712,0,26.27444444444444,852.4375555555555,0,0.0299010875513757,0.9700989124486242
517,3,403.63,0,0,403.63,0,0,1
518,4,471.817,0,27.316,444.501,0,0.05789532806151537,0.9421046719384846
519,3,381.246,0,0,381.246,0,0,1
520,2,167.18,0,0,167.18,0,0,1
521,6,890.436,0,39.922888888888885,850.5131111111111,0,0.04483521430949432,0.9551647856905057
524,2,199.641,0,22.15444444444444,177.48655555555555,0,0.11097141591378745,0.8890285840862125
526,1,131.12,0,0,131.12,0,0,1
