"","share_type","EF44_bin5","n_obs","EF952_sum","mean","mean_weighted","sd","sd_weighted","median","q25","q75","median_weighted","q25_weighted","q75_weighted"
"1","share_brown","[15,20]",16,1783.922,0.0277777777777778,0.0300942405429037,0.0759033390071081,0.0787131699983084,0,0,0,0,0,0
"2","share_brown","(20,25]",30,3214.839,0.0296296296296296,0.0299747514572269,0.0768324230315023,0.0772512577128422,0,0,0,0,0,0
"3","share_brown","(25,30]",41,4927.746,0.02710027100271,0.0295210922893437,0.073621017383231,0.0764402809890967,0,0,0,0,0,0
"4","share_brown","(30,35]",31,3842.078,0.050179211469534,0.0443390847927143,0.0944497152229425,0.0903935911701909,0,0,0,0,0,0
"5","share_brown","(35,40]",42,4527.438,0.0793650793650794,0.0894380982013325,0.222609032301249,0.239848795976764,0,0,0,0,0,0
"6","share_brown","(40,45]",40,4330.293,0.0277777777777778,0.0265291773815562,0.0744293474507871,0.0730191971416452,0,0,0,0,0,0
"7","share_brown","(45,50]",57,6120.604,0.037037037037037,0.0323851661989205,0.144464793031493,0.136012744610985,0,0,0,0,0,0
"8","share_brown","(50,55]",53,5526.539,0.0209643605870021,0.0206345739671389,0.0655772953000673,0.0651453872981101,0,0,0,0,0,0
"9","share_brown","(55,60]",56,5967.407,0.0317460317460317,0.029160553132858,0.0784653181782,0.0757507029458816,0,0,0,0,0,0
"10","share_brown","(60,65]",33,3780.964,0.0505050505050505,0.0522764682352026,0.182343517156926,0.177778339361241,0,0,0,0,0,0
"11","share_brown","(65,70]",10,950.158,0.0444444444444444,0.036280047926532,0.0936971158568409,0.0870688982840525,0,0,0,0,0,0
"12","share_brown","(85,90]",3,418.697,0.0740740740740741,0.0777937267283979,0.128300059819917,0.130812298719298,0,0,0.111111111111111,0.222222222222222,0.111111111111111,0.222222222222222
"13","share_brown_cat_abs","[15,20]",16,1783.922,0,0,0,0,0,0,0,0,0,0
"14","share_brown_cat_abs","(20,25]",30,3214.839,0,0,0,0,0,0,0,0,0,0
"15","share_brown_cat_abs","(25,30]",41,4927.746,0,0,0,0,0,0,0,0,0,0
"16","share_brown_cat_abs","(30,35]",31,3842.078,0,0,0,0,0,0,0,0,0,0
"17","share_brown_cat_abs","(35,40]",42,4527.438,0.0476190476190476,0.0568434068009325,0.215540268704521,0.234496551533015,0,0,0,0,0,0
"18","share_brown_cat_abs","(40,45]",40,4330.293,0,0,0,0,0,0,0,0,0,0
"19","share_brown_cat_abs","(45,50]",57,6120.604,0.0175438596491228,0.0154038719054525,0.132453235706504,0.124405722485513,0,0,0,0,0,0
"20","share_brown_cat_abs","(50,55]",53,5526.539,0,0,0,0,0,0,0,0,0,0
"21","share_brown_cat_abs","(55,60]",56,5967.407,0,0,0,0,0,0,0,0,0,0
"22","share_brown_cat_abs","(60,65]",33,3780.964,0.0303030303030303,0.0278524207054074,0.174077655955698,0.1673751635827,0,0,0,0,0,0
"23","share_brown_cat_abs","(65,70]",10,950.158,0,0,0,0,0,0,0,0,0,0
"24","share_brown_cat_abs","(85,90]",3,418.697,0,0,0,0,0,0,0,0,0,0
"25","share_brown_cat_rel","[15,20]",16,1783.922,0.125,0.135424082443066,0.341565025531987,0.354209264992388,0,0,0,0,0,0
"26","share_brown_cat_rel","(20,25]",30,3214.839,0.133333333333333,0.134886381557521,0.34574590364176,0.34763065970779,0,0,0,0,0,0
"27","share_brown_cat_rel","(25,30]",41,4927.746,0.121951219512195,0.132844915302047,0.33129457822454,0.343981264450935,0,0,0,0,0,0
"28","share_brown_cat_rel","(30,35]",31,3842.078,0.225806451612903,0.199525881567214,0.425023718503241,0.406771160265859,0,0,0,0,0,0
"29","share_brown_cat_rel","(35,40]",42,4527.438,0.19047619047619,0.203519518102733,0.397436617931638,0.407751070829243,0,0,0,0,0,0
"30","share_brown_cat_rel","(40,45]",40,4330.293,0.125,0.119381298217003,0.334932063528542,0.328586387137403,0,0,0,0,0,0
"31","share_brown_cat_rel","(45,50]",57,6120.604,0.105263157894737,0.0918196962260587,0.309620189351624,0.291709324747794,0,0,0,0,0,0
"32","share_brown_cat_rel","(50,55]",53,5526.539,0.0943396226415094,0.092855582852125,0.295097828850303,0.293154242841496,0,0,0,0,0,0
"33","share_brown_cat_rel","(55,60]",56,5967.407,0.142857142857143,0.131222489097861,0.3530939318019,0.340878163256467,0,0,0,0,0,0
"34","share_brown_cat_rel","(60,65]",33,3780.964,0.121212121212121,0.137760634589486,0.331433982639808,0.350566112222633,0,0,0,0,0,0
"35","share_brown_cat_rel","(65,70]",10,950.158,0.2,0.163260215669394,0.421637021355784,0.391810042278236,0,0,0,0,0,0
"36","share_brown_cat_rel","(85,90]",3,418.697,0.333333333333333,0.35007177027779,0.577350269189626,0.588655344236842,0,0,0.5,1,0.5,1
"37","share_green","[15,20]",16,1783.922,0,0,0,0,0,0,0,0,0,0
"38","share_green","(20,25]",30,3214.839,0,0,0,0,0,0,0,0,0,0
"39","share_green","(25,30]",41,4927.746,0,0,0,0,0,0,0,0,0,0
"40","share_green","(30,35]",31,3842.078,0,0,0,0,0,0,0,0,0,0
"41","share_green","(35,40]",42,4527.438,0,0,0,0,0,0,0,0,0,0
"42","share_green","(40,45]",40,4330.293,0,0,0,0,0,0,0,0,0,0
"43","share_green","(45,50]",57,6120.604,0,0,0,0,0,0,0,0,0,0
"44","share_green","(50,55]",53,5526.539,0,0,0,0,0,0,0,0,0,0
"45","share_green","(55,60]",56,5967.407,0,0,0,0,0,0,0,0,0,0
"46","share_green","(60,65]",33,3780.964,0,0,0,0,0,0,0,0,0,0
"47","share_green","(65,70]",10,950.158,0,0,0,0,0,0,0,0,0,0
"48","share_green","(85,90]",3,418.697,0,0,0,0,0,0,0,0,0,0
"49","share_green_cat_abs","[15,20]",16,1783.922,0,0,0,0,0,0,0,0,0,0
"50","share_green_cat_abs","(20,25]",30,3214.839,0,0,0,0,0,0,0,0,0,0
"51","share_green_cat_abs","(25,30]",41,4927.746,0,0,0,0,0,0,0,0,0,0
"52","share_green_cat_abs","(30,35]",31,3842.078,0,0,0,0,0,0,0,0,0,0
"53","share_green_cat_abs","(35,40]",42,4527.438,0,0,0,0,0,0,0,0,0,0
"54","share_green_cat_abs","(40,45]",40,4330.293,0,0,0,0,0,0,0,0,0,0
"55","share_green_cat_abs","(45,50]",57,6120.604,0,0,0,0,0,0,0,0,0,0
"56","share_green_cat_abs","(50,55]",53,5526.539,0,0,0,0,0,0,0,0,0,0
"57","share_green_cat_abs","(55,60]",56,5967.407,0,0,0,0,0,0,0,0,0,0
"58","share_green_cat_abs","(60,65]",33,3780.964,0,0,0,0,0,0,0,0,0,0
"59","share_green_cat_abs","(65,70]",10,950.158,0,0,0,0,0,0,0,0,0,0
"60","share_green_cat_abs","(85,90]",3,418.697,0,0,0,0,0,0,0,0,0,0
"61","share_green_cat_rel","[15,20]",16,1783.922,0,0,0,0,0,0,0,0,0,0
"62","share_green_cat_rel","(20,25]",30,3214.839,0,0,0,0,0,0,0,0,0,0
"63","share_green_cat_rel","(25,30]",41,4927.746,0,0,0,0,0,0,0,0,0,0
"64","share_green_cat_rel","(30,35]",31,3842.078,0,0,0,0,0,0,0,0,0,0
"65","share_green_cat_rel","(35,40]",42,4527.438,0,0,0,0,0,0,0,0,0,0
"66","share_green_cat_rel","(40,45]",40,4330.293,0,0,0,0,0,0,0,0,0,0
"67","share_green_cat_rel","(45,50]",57,6120.604,0,0,0,0,0,0,0,0,0,0
"68","share_green_cat_rel","(50,55]",53,5526.539,0,0,0,0,0,0,0,0,0,0
"69","share_green_cat_rel","(55,60]",56,5967.407,0,0,0,0,0,0,0,0,0,0
"70","share_green_cat_rel","(60,65]",33,3780.964,0,0,0,0,0,0,0,0,0,0
"71","share_green_cat_rel","(65,70]",10,950.158,0,0,0,0,0,0,0,0,0,0
"72","share_green_cat_rel","(85,90]",3,418.697,0,0,0,0,0,0,0,0,0,0
"73","share_neutral","[15,20]",16,1783.922,0.972222222222222,0.969905759457096,0.0759033390071081,0.0787131699983084,1,1,1,1,1,1
"74","share_neutral","(20,25]",30,3214.839,0.97037037037037,0.970025248542773,0.0768324230315023,0.0772512577128422,1,1,1,1,1,1
"75","share_neutral","(25,30]",41,4927.746,0.97289972899729,0.970478907710656,0.073621017383231,0.0764402809890967,1,1,1,1,1,1
"76","share_neutral","(30,35]",31,3842.078,0.949820788530466,0.955660915207286,0.0944497152229425,0.0903935911701909,1,1,1,1,1,1
"77","share_neutral","(35,40]",42,4527.438,0.920634920634921,0.910561901798668,0.222609032301249,0.239848795976764,1,1,1,1,1,1
"78","share_neutral","(40,45]",40,4330.293,0.972222222222222,0.973470822618444,0.0744293474507871,0.0730191971416452,1,1,1,1,1,1
"79","share_neutral","(45,50]",57,6120.604,0.962962962962963,0.967614833801079,0.144464793031493,0.136012744610985,1,1,1,1,1,1
"80","share_neutral","(50,55]",53,5526.539,0.979035639412998,0.979365426032861,0.0655772953000673,0.0651453872981101,1,1,1,1,1,1
