"Variable","N","Mean","SD","Sum","N","Mean","SD","Sum","Test"
"category_abs","brown","","","","neutral","","","",""
"EF952","4","114.23625","26.72364","456.945","408","110.13172","31.08852","44933.74","F=0.069"
"EF46","4","","","","408","","","","X2=1.812"
"... Male","0","0%","","","189","46.324%","","",""
"... Female","4","100%","","","219","53.676%","","",""
"EF44","4","46.25","12.28481","185","408","44.34804","13.89807","18094","F=0.074"
"EF44_bin10","4","","","","408","","","","X2=5.151"
"... [0,10]","0","0%","","","0","0%","","",""
"... (10,20]","0","0%","","","16","3.922%","","",""
"... (20,30]","0","0%","","","71","17.402%","","",""
"... (30,40]","2","50%","","","71","17.402%","","",""
"... (40,50]","1","25%","","","96","23.529%","","",""
"... (50,60]","0","0%","","","109","26.716%","","",""
"... (60,70]","1","25%","","","42","10.294%","","",""
"... (70,80]","0","0%","","","0","0%","","",""
"... (80,90]","0","0%","","","3","0.735%","","",""
"EF517","4","","","","408","","","","X2=3.704"
"... ISCED-Level 1 - PE","0","0%","","","11","2.696%","","",""
"... ISCED-Level 2 - LSGE","0","0%","","","39","9.559%","","",""
"... ISCED-Level 3 - USGE","0","0%","","","27","6.618%","","",""
"... ISCED-Level 3 - USVE","3","75%","","","150","36.765%","","",""
"... ISCED-Level 4 - PSNTVE","0","0%","","","61","14.951%","","",""
"... ISCED-Level 5 - SCTVE","0","0%","","","2","0.49%","","",""
"... ISCED-Level 6 - Bachelor","1","25%","","","63","15.441%","","",""
"... ISCED-Level 6 - Master","0","0%","","","55","13.48%","","",""
"EF540","4","","","","408","","","","X2=2.966"
"... ISCED 1 ECE (000)","0","0%","","","0","0%","","",""
"... ISCED 1 PE (100)","0","0%","","","11","2.696%","","",""
"... ISCED 2 LSE (200)","0","0%","","","39","9.559%","","",""
"... ISCED 3 USE (300)","0","0%","","","0","0%","","",""
"... ISCED 3 USE (302)","0","0%","","","0","0%","","",""
"... ISCED 3 USE (303)","0","0%","","","6","1.471%","","",""
"... ISCED 3 USE (304)","3","75%","","","171","41.912%","","",""
"... ISCED 4 PSNTE (400)","0","0%","","","61","14.951%","","",""
"... ISCED 5 SCTE (500)","0","0%","","","2","0.49%","","",""
"... ISCED 6 Bachelor (600)","1","25%","","","63","15.441%","","",""
"... ISCED 7 Master (700)","0","0%","","","53","12.99%","","",""
"... ISCED 8 Doctoral (800)","0","0%","","","2","0.49%","","",""
