"Variable","N","Mean","SD","Sum","N","Mean","SD","Sum","Test"
"category_rel","brown","","","","neutral","","","",""
"EF952","57","109.04574","31.49028","6215.607","355","110.35233","30.98922","39175.078","F=0.087"
"EF46","57","","","","355","","","","X2=20.079***"
"... Male","10","17.544%","","","179","50.423%","","",""
"... Female","47","82.456%","","","176","49.577%","","",""
"EF44","57","44.12281","14.68365","2515","355","44.40563","13.75775","15764","F=0.02"
"EF44_bin10","57","","","","355","","","","X2=4.66"
"... [0,10]","0","0%","","","0","0%","","",""
"... (10,20]","2","3.509%","","","14","3.944%","","",""
"... (20,30]","9","15.789%","","","62","17.465%","","",""
"... (30,40]","15","26.316%","","","58","16.338%","","",""
"... (40,50]","11","19.298%","","","86","24.225%","","",""
"... (50,60]","13","22.807%","","","96","27.042%","","",""
"... (60,70]","6","10.526%","","","37","10.423%","","",""
"... (70,80]","0","0%","","","0","0%","","",""
"... (80,90]","1","1.754%","","","2","0.563%","","",""
"EF517","57","","","","355","","","","X2=11.054"
"... ISCED-Level 1 - PE","3","5.263%","","","8","2.254%","","",""
"... ISCED-Level 2 - LSGE","9","15.789%","","","30","8.451%","","",""
"... ISCED-Level 3 - USGE","6","10.526%","","","21","5.915%","","",""
"... ISCED-Level 3 - USVE","18","31.579%","","","135","38.028%","","",""
"... ISCED-Level 4 - PSNTVE","7","12.281%","","","54","15.211%","","",""
"... ISCED-Level 5 - SCTVE","0","0%","","","2","0.563%","","",""
"... ISCED-Level 6 - Bachelor","11","19.298%","","","53","14.93%","","",""
"... ISCED-Level 6 - Master","3","5.263%","","","52","14.648%","","",""
"EF540","57","","","","355","","","","X2=9.926"
"... ISCED 1 ECE (000)","0","0%","","","0","0%","","",""
"... ISCED 1 PE (100)","3","5.263%","","","8","2.254%","","",""
"... ISCED 2 LSE (200)","9","15.789%","","","30","8.451%","","",""
"... ISCED 3 USE (300)","0","0%","","","0","0%","","",""
"... ISCED 3 USE (302)","0","0%","","","0","0%","","",""
"... ISCED 3 USE (303)","0","0%","","","6","1.69%","","",""
"... ISCED 3 USE (304)","24","42.105%","","","150","42.254%","","",""
"... ISCED 4 PSNTE (400)","7","12.281%","","","54","15.211%","","",""
"... ISCED 5 SCTE (500)","0","0%","","","2","0.563%","","",""
"... ISCED 6 Bachelor (600)","11","19.298%","","","53","14.93%","","",""
"... ISCED 7 Master (700)","3","5.263%","","","50","14.085%","","",""
"... ISCED 8 Doctoral (800)","0","0%","","","2","0.563%","","",""
"EF436","56","","","","353","","","","X2=15.603"
"... < 150","0","0%","","","0","0%","","",""
"... 150 to < 300","0","0%","","","1","0.283%","","",""
"... 300 to < 500","0","0%","","","20","5.666%","","",""
"... 500 to < 700","0","0%","","","0","0%","","",""
"... 700 to < 900","2","3.571%","","","22","6.232%","","",""
"... 900 to < 1,100","3","5.357%","","","22","6.232%","","",""
"... 1,100 to < 1,300","15","26.786%","","","53","15.014%","","",""
"... 1,300 to < 1,500","3","5.357%","","","16","4.533%","","",""
"... 1,500 to < 1,700","0","0%","","","0","0%","","",""
"... 1,700 to < 2,000","2","3.571%","","","29","8.215%","","",""
"... 2,000 to < 2,300","14","25%","","","78","22.096%","","",""
"... 2,300 to < 2,600","7","12.5%","","","29","8.215%","","",""
"... 2,600 to < 2,900","1","1.786%","","","21","5.949%","","",""
"... 2,900 to < 3,200","2","3.571%","","","13","3.683%","","",""
"... 3,200 to < 3,600","3","5.357%","","","17","4.816%","","",""
"... 3,600 to < 4,000","1","1.786%","","","7","1.983%","","",""
"... 4,000 to < 4,500","2","3.571%","","","7","1.983%","","",""
"... 4,500 to < 5,000","0","0%","","","4","1.133%","","",""
"... 5,000 to < 5,500","0","0%","","","1","0.283%","","",""
"... 5,500 to < 6,000","1","1.786%","","","3","0.85%","","",""
"... 6,000 to < 7,500","0","0%","","","6","1.7%","","",""
"... 7,500 to < 10,000","0","0%","","","2","0.567%","","",""
"... 10,000 to < 18,000","0","0%","","","1","0.283%","","",""
"... > 18,000","0","0%","","","0","0%","","",""
"... Farmer (self-employed, main job)","0","0%","","","1","0.283%","","",""
"EF436_num","56","2050.89286","993.31818","114850","352","2134.30398","1432.94957","751275","F=0.176"
"EF442","53","","","","318","","","","X2=19.212"
"... < 150","0","0%","","","1","0.314%","","",""
"... 150 to < 300","0","0%","","","1","0.314%","","",""
"... 300 to < 500","1","1.887%","","","23","7.233%","","",""
"... 500 to < 700","2","3.774%","","","14","4.403%","","",""
"... 700 to < 900","0","0%","","","22","6.918%","","",""
"... 900 to < 1,100","3","5.66%","","","14","4.403%","","",""
"... 1,100 to < 1,300","2","3.774%","","","26","8.176%","","",""
"... 1,300 to < 1,500","3","5.66%","","","22","6.918%","","",""
"... 1,500 to < 1,700","8","15.094%","","","28","8.805%","","",""
"... 1,700 to < 2,000","10","18.868%","","","35","11.006%","","",""
"... 2,000 to < 2,300","10","18.868%","","","37","11.635%","","",""
"... 2,300 to < 2,600","4","7.547%","","","24","7.547%","","",""
"... 2,600 to < 2,900","1","1.887%","","","19","5.975%","","",""
"... 2,900 to < 3,200","2","3.774%","","","14","4.403%","","",""
"... 3,200 to < 3,600","3","5.66%","","","14","4.403%","","",""
"... 3,600 to < 4,000","1","1.887%","","","5","1.572%","","",""
"... 4,000 to < 4,500","2","3.774%","","","5","1.572%","","",""
"... 4,500 to < 5,000","0","0%","","","2","0.629%","","",""
"... 5,000 to < 5,500","1","1.887%","","","2","0.629%","","",""
"... 5,500 to < 6,000","0","0%","","","2","0.629%","","",""
"... 6,000 to < 7,500","0","0%","","","6","1.887%","","",""
"... 7,500 to < 10,000","0","0%","","","1","0.314%","","",""
"... 10,000 to < 18,000","0","0%","","","1","0.314%","","",""
"... > 18,000","0","0%","","","0","0%","","",""
"EF442_num","53","2083.01887","946.54957","110400","318","2003.22327","1441.25484","637025","F=0.151"
"EF114UG4","57","","","","355","","","","X2=226.1***"
"... Occupations in agriculture, forestry, farming, and gardening","0","0%","","","10","2.817%","","",""
"... Occupations in production of raw materials and goods, and manufacturing","0","0%","","","0","0%","","",""
"... Occupations in construction, architecture, surveying and technical building services","4","7.018%","","","96","27.042%","","",""
"... Occupations in natural sciences, geography and informatics","0","0%","","","0","0%","","",""
"... Occupations in traffic, logistics, safety and security","53","92.982%","","","28","7.887%","","",""
"... Occupations in commercial services, trading, sales, the hotel business and tourism","0","0%","","","0","0%","","",""
"... Occupations in business organisation, accounting, law and administration","0","0%","","","144","40.563%","","",""
"... Occupations in health care, the social sector, teaching and education","0","0%","","","0","0%","","",""
"... Occupations in philology, literature, humanities, social sciences, economics, media, art, culture, and design","0","0%","","","77","21.69%","","",""
"... Military occupations","0","0%","","","0","0%","","",""
