"Variable","N","Wt. Mean","Wt. SD","Wt. Sum","N","Wt. Mean","Wt. SD","Wt. Sum","Test"
"category_abs","brown","","","","neutral","","","",""
"EF952","","","","","","","","",""
"EF46","4","","","","408","","","","F=3.135*"
"... Male","0","0%","","","189","44.99%","","",""
"... Female","4","100%","","","219","55.01%","","",""
"EF44","4","45.21691","12.19937","20661.64","408","44.05106","14.04568","1979378.689","F=0.028"
"EF44_bin10","4","","","","408","","","",""
"... [0,10]","0","0%","","","0","0%","","",""
"... (10,20]","0","0%","","","16","3.97%","","",""
"... (20,30]","0","0%","","","71","18.121%","","",""
"... (30,40]","2","56.321%","","","71","18.054%","","",""
"... (40,50]","1","20.633%","","","96","23.049%","","",""
"... (50,60]","0","0%","","","109","25.58%","","",""
"... (60,70]","1","23.046%","","","42","10.295%","","",""
"... (70,80]","0","0%","","","0","0%","","",""
"... (80,90]","0","0%","","","3","0.932%","","",""
"EF517","4","","","","408","","","","F=0.543"
"... ISCED-Level 1 - PE","0","0%","","","11","3.089%","","",""
"... ISCED-Level 2 - LSGE","0","0%","","","39","9.564%","","",""
"... ISCED-Level 3 - USGE","0","0%","","","27","7.255%","","",""
"... ISCED-Level 3 - USVE","3","76.954%","","","150","35.447%","","",""
"... ISCED-Level 4 - PSNTVE","0","0%","","","61","14.919%","","",""
"... ISCED-Level 5 - SCTVE","0","0%","","","2","0.453%","","",""
"... ISCED-Level 6 - Bachelor","1","23.046%","","","63","15.701%","","",""
"... ISCED-Level 6 - Master","0","0%","","","55","13.573%","","",""
"EF540","4","","","","408","","","",""
"... ISCED 1 ECE (000)","0","0%","","","0","0%","","",""
"... ISCED 1 PE (100)","0","0%","","","11","3.089%","","",""
"... ISCED 2 LSE (200)","0","0%","","","39","9.564%","","",""
"... ISCED 3 USE (300)","0","0%","","","0","0%","","",""
"... ISCED 3 USE (302)","0","0%","","","0","0%","","",""
"... ISCED 3 USE (303)","0","0%","","","6","1.302%","","",""
"... ISCED 3 USE (304)","3","76.954%","","","171","41.4%","","",""
"... ISCED 4 PSNTE (400)","0","0%","","","61","14.919%","","",""
"... ISCED 5 SCTE (500)","0","0%","","","2","0.453%","","",""
"... ISCED 6 Bachelor (600)","1","23.046%","","","63","15.701%","","",""
"... ISCED 7 Master (700)","0","0%","","","53","13.075%","","",""
"... ISCED 8 Doctoral (800)","0","0%","","","2","0.498%","","",""
