"Variable","N","Wt. Mean","Wt. SD","Wt. Sum","N","Wt. Mean","Wt. SD","Wt. Sum","Test"
"category_rel","brown","","","","neutral","","","",""
"EF952","","","","","","","","",""
"EF46","57","","","","355","","","","F=24.937***"
"... Male","10","14.992%","","","179","49.225%","","",""
"... Female","47","85.008%","","","176","50.775%","","",""
"EF44","57","43.62135","15.10821","271133.188","355","44.13283","13.85527","1728907.141","F=0.065"
"EF44_bin10","57","","","","355","","","",""
"... [0,10]","0","0%","","","0","0%","","",""
"... (10,20]","2","3.887%","","","14","3.937%","","",""
"... (20,30]","9","17.509%","","","62","18.007%","","",""
"... (30,40]","15","27.158%","","","58","17.055%","","",""
"... (40,50]","11","17.359%","","","86","23.923%","","",""
"... (50,60]","13","20.854%","","","96","26.031%","","",""
"... (60,70]","6","10.876%","","","37","10.351%","","",""
"... (70,80]","0","0%","","","0","0%","","",""
"... (80,90]","1","2.358%","","","2","0.695%","","",""
"EF517","57","","","","355","","","","F=1.657"
"... ISCED-Level 1 - PE","3","5.133%","","","8","2.728%","","",""
"... ISCED-Level 2 - LSGE","9","16.625%","","","30","8.332%","","",""
"... ISCED-Level 3 - USGE","6","11.426%","","","21","6.508%","","",""
"... ISCED-Level 3 - USVE","18","28.807%","","","135","36.985%","","",""
"... ISCED-Level 4 - PSNTVE","7","12.161%","","","54","15.183%","","",""
"... ISCED-Level 5 - SCTVE","0","0%","","","2","0.519%","","",""
"... ISCED-Level 6 - Bachelor","11","21.018%","","","53","14.943%","","",""
"... ISCED-Level 6 - Master","3","4.83%","","","52","14.802%","","",""
"EF540","57","","","","355","","","",""
"... ISCED 1 ECE (000)","0","0%","","","0","0%","","",""
"... ISCED 1 PE (100)","3","5.133%","","","8","2.728%","","",""
"... ISCED 2 LSE (200)","9","16.625%","","","30","8.332%","","",""
"... ISCED 3 USE (300)","0","0%","","","0","0%","","",""
"... ISCED 3 USE (302)","0","0%","","","0","0%","","",""
"... ISCED 3 USE (303)","0","0%","","","6","1.493%","","",""
"... ISCED 3 USE (304)","24","40.233%","","","150","42%","","",""
"... ISCED 4 PSNTE (400)","7","12.161%","","","54","15.183%","","",""
"... ISCED 5 SCTE (500)","0","0%","","","2","0.519%","","",""
"... ISCED 6 Bachelor (600)","11","21.018%","","","53","14.943%","","",""
"... ISCED 7 Master (700)","3","4.83%","","","50","14.231%","","",""
"... ISCED 8 Doctoral (800)","0","0%","","","2","0.571%","","",""
"EF436","56","","","","353","","","",""
"... < 150","0","0%","","","0","0%","","",""
"... 150 to < 300","0","0%","","","1","0.263%","","",""
"... 300 to < 500","0","0%","","","20","5.963%","","",""
"... 500 to < 700","0","0%","","","0","0%","","",""
"... 700 to < 900","2","3.498%","","","22","6.293%","","",""
"... 900 to < 1,100","3","5.564%","","","22","6.622%","","",""
"... 1,100 to < 1,300","15","26.335%","","","53","14.921%","","",""
"... 1,300 to < 1,500","3","5.305%","","","16","5.251%","","",""
"... 1,500 to < 1,700","0","0%","","","0","0%","","",""
"... 1,700 to < 2,000","2","3.228%","","","29","8.144%","","",""
"... 2,000 to < 2,300","14","27.24%","","","78","21.226%","","",""
"... 2,300 to < 2,600","7","11.143%","","","29","8.268%","","",""
"... 2,600 to < 2,900","1","1.63%","","","21","6.121%","","",""
"... 2,900 to < 3,200","2","2.578%","","","13","3.141%","","",""
"... 3,200 to < 3,600","3","5.576%","","","17","4.959%","","",""
"... 3,600 to < 4,000","1","1.761%","","","7","1.917%","","",""
"... 4,000 to < 4,500","2","4.31%","","","7","1.807%","","",""
"... 4,500 to < 5,000","0","0%","","","4","1.046%","","",""
"... 5,000 to < 5,500","0","0%","","","1","0.215%","","",""
"... 5,500 to < 6,000","1","1.834%","","","3","1.038%","","",""
"... 6,000 to < 7,500","0","0%","","","6","1.655%","","",""
"... 7,500 to < 10,000","0","0%","","","2","0.598%","","",""
"... 10,000 to < 18,000","0","0%","","","1","0.307%","","",""
"... > 18,000","0","0%","","","0","0%","","",""
"... Farmer (self-employed, main job)","0","0%","","","1","0.245%","","",""
"EF436_num","56","2060.83338","1008.72865","12604827.7","352","2118.40765","1451.89689","82467970","F=0.081"
"EF442","53","","","","318","","","",""
"... < 150","0","0%","","","1","0.333%","","",""
"... 150 to < 300","0","0%","","","1","0.333%","","",""
"... 300 to < 500","1","1.914%","","","23","7.484%","","",""
"... 500 to < 700","2","3.02%","","","14","4.247%","","",""
"... 700 to < 900","0","0%","","","22","7.106%","","",""
"... 900 to < 1,100","3","5.594%","","","14","4.451%","","",""
"... 1,100 to < 1,300","2","3.404%","","","26","8.28%","","",""
"... 1,300 to < 1,500","3","5.868%","","","22","7.287%","","",""
"... 1,500 to < 1,700","8","15.592%","","","28","8.35%","","",""
"... 1,700 to < 2,000","10","18.838%","","","35","11.196%","","",""
"... 2,000 to < 2,300","10","20.373%","","","37","10.873%","","",""
"... 2,300 to < 2,600","4","6.62%","","","24","7.3%","","",""
"... 2,600 to < 2,900","1","1.719%","","","19","6.667%","","",""
"... 2,900 to < 3,200","2","2.719%","","","14","4.009%","","",""
"... 3,200 to < 3,600","3","6.159%","","","14","4.659%","","",""
"... 3,600 to < 4,000","1","1.702%","","","5","1.316%","","",""
"... 4,000 to < 4,500","2","4.545%","","","5","1.512%","","",""
"... 4,500 to < 5,000","0","0%","","","2","0.667%","","",""
"... 5,000 to < 5,500","1","1.934%","","","2","0.581%","","",""
"... 5,500 to < 6,000","0","0%","","","2","0.5%","","",""
"... 6,000 to < 7,500","0","0%","","","6","2.186%","","",""
"... 7,500 to < 10,000","0","0%","","","1","0.32%","","",""
"... 10,000 to < 18,000","0","0%","","","1","0.345%","","",""
"... > 18,000","0","0%","","","0","0%","","",""
"EF442_num","53","2101.84119","954.39753","12190290.05","318","2005.75142","1473.83673","69673036.925","F=0.211"
"EF114UG4","57","","","","355","","","",""
"... Occupations in agriculture, forestry, farming, and gardening","0","0%","","","10","3.107%","","",""
"... Occupations in production of raw materials and goods, and manufacturing","0","0%","","","0","0%","","",""
"... Occupations in construction, architecture, surveying and technical building services","4","7.352%","","","96","27.793%","","",""
"... Occupations in natural sciences, geography and informatics","0","0%","","","0","0%","","",""
"... Occupations in traffic, logistics, safety and security","53","92.648%","","","28","7.371%","","",""
"... Occupations in commercial services, trading, sales, the hotel business and tourism","0","0%","","","0","0%","","",""
"... Occupations in business organisation, accounting, law and administration","0","0%","","","144","40.231%","","",""
"... Occupations in health care, the social sector, teaching and education","0","0%","","","0","0%","","",""
"... Occupations in philology, literature, humanities, social sciences, economics, media, art, culture, and design","0","0%","","","77","21.498%","","",""
"... Military occupations","0","0%","","","0","0%","","",""
