EF564,n_obs,EF952_sum,EF952_share_green_esco,EF952_share_brown_esco,EF952_share_green_esco_ess,EF952_share_brown_esco_ess,EF952_share_green_gtp,EF952_share_green_vona2018,EF952_share_green_jrc,EF952_share_brown_vona2018
102,4,390.148,NA,NA,NA,NA,NA,NA,NA,NA
104,2,193.139,NA,NA,NA,NA,NA,NA,NA,NA
105,1,109.115,0,0,0,0,0,0,0,0
202,1,195.808,NA,NA,NA,NA,NA,NA,NA,NA
203,2,229.358,0,0,0,0,0,0,0,0
205,4,364.64300000000003,NA,NA,NA,NA,NA,NA,NA,NA
206,3,282.374,NA,NA,NA,NA,NA,NA,NA,NA
301,4,440.992,NA,NA,NA,NA,NA,NA,NA,NA
302,4,392.574,NA,NA,NA,NA,NA,NA,NA,NA
303,4,403.987,NA,NA,NA,NA,NA,NA,NA,NA
304,2,186.563,0,1.9568055555555555,0,2.4083760683760684,0,0,0,6.261777777777778
305,1,129.952,0,3.609777777777778,0,4.442803418803419,0,0,0,11.55128888888889
306,1,96.374,0,0,0,0,0,0,0,0
307,10,1102.094,NA,NA,NA,NA,NA,NA,NA,NA
308,3,292.159,NA,NA,NA,NA,NA,NA,NA,NA
309,3,300.1,NA,NA,NA,NA,NA,NA,NA,NA
310,4,382.923,NA,NA,NA,NA,NA,NA,NA,NA
311,9,982.659,NA,NA,NA,NA,NA,NA,NA,NA
401,6,594.011,NA,NA,NA,NA,NA,NA,NA,NA
501,4,516.432,NA,NA,NA,NA,NA,NA,NA,NA
502,1,115.009,0,0,0,0,0,0,0,0
503,2,214.484,0,0,0,0,0,0,0,0
505,2,260.12,0,0,0,0,0,0,0,0
506,3,549.333,0,0,0,0,0,0,0,0
507,4,421.046,NA,NA,NA,NA,NA,NA,NA,NA
508,5,583.8430000000001,NA,NA,NA,NA,NA,NA,NA,NA
509,3,455.76599999999996,0,4.220055555555556,0,5.19391452991453,0,0,0,13.504177777777779
510,1,119.239,0,0,0,0,0,0,0,0
513,7,831.4209999999999,NA,NA,NA,NA,NA,NA,NA,NA
514,4,489.989,NA,NA,NA,NA,NA,NA,NA,NA
515,13,1306.856,NA,NA,NA,NA,NA,NA,NA,NA
516,7,878.712,NA,NA,NA,NA,NA,NA,NA,NA
517,3,403.63,NA,NA,NA,NA,NA,NA,NA,NA
518,4,471.817,0,3.4145000000000003,0,4.202461538461539,0,0,0,10.926400000000001
519,3,381.246,NA,NA,NA,NA,NA,NA,NA,NA
520,2,167.18,0,0,0,0,0,0,0,0
521,6,890.436,NA,NA,NA,NA,NA,NA,NA,NA
524,2,199.641,NA,NA,NA,NA,NA,NA,NA,NA
526,1,131.12,NA,NA,NA,NA,NA,NA,NA,NA
528,3,322.64,NA,NA,NA,NA,NA,NA,NA,NA
529,5,474.461,NA,NA,NA,NA,NA,NA,NA,NA
532,1,114.813,0,3.1892500000000004,0,3.9252307692307697,0,0,0,10.2056
533,3,406.84800000000007,0,0,0,0,0,0,0,0
601,8,797.525,NA,NA,NA,NA,NA,NA,NA,NA
602,6,742.692,NA,NA,NA,NA,NA,NA,NA,NA
603,1,113.503,0,0,0,0,0,0,0,0
605,7,700.216,NA,NA,NA,NA,NA,NA,NA,NA
606,3,414.834,NA,NA,NA,NA,NA,NA,NA,NA
607,9,1025.334,NA,NA,NA,NA,NA,NA,NA,NA
608,2,234.2,0,3.309416666666667,0,4.073128205128206,0,0,0,10.590133333333334
609,2,186.274,0,2.7528055555555557,0,3.3880683760683765,0,0,0,8.808977777777779
610,1,106.398,NA,NA,NA,NA,NA,NA,NA,NA
701,8,936.208,NA,NA,NA,NA,NA,NA,NA,NA
702,1,179.157,0,0,0,0,0,0,0,0
703,3,290.22,0,0,0,0,0,0,0,0
704,8,858.3109999999999,NA,NA,NA,NA,NA,NA,NA,NA
705,1,116.039,NA,NA,NA,NA,NA,NA,NA,NA
801,4,504.596,NA,NA,NA,NA,NA,NA,NA,NA
802,14,1383.621,NA,NA,NA,NA,NA,NA,NA,NA
803,1,138.85,NA,NA,NA,NA,NA,NA,NA,NA
804,1,98.116,NA,NA,NA,NA,NA,NA,NA,NA
805,1,136.389,0,0,0,0,0,0,0,0
806,1,70.767,0,0,0,0,0,0,0,0
807,7,491.031,NA,NA,NA,NA,NA,NA,NA,NA
808,8,853.738,NA,NA,NA,NA,NA,NA,NA,NA
809,3,232.65200000000002,NA,NA,NA,NA,NA,NA,NA,NA
810,2,147.446,NA,NA,NA,NA,NA,NA,NA,NA
811,6,792.331,NA,NA,NA,NA,NA,NA,NA,NA
813,5,510.284,NA,NA,NA,NA,NA,NA,NA,NA
902,8,924.927,NA,NA,NA,NA,NA,NA,NA,NA
903,7,719.374,NA,NA,NA,NA,NA,NA,NA,NA
904,1,108.741,0,0,0,0,0,0,0,0
906,5,1126.665,0,4.832416666666667,0,5.947589743589744,0,0,0,15.463733333333336
907,1,121.587,0,0,0,0,0,0,0,0
908,1,105.486,0,0,0,0,0,0,0,0
909,1,102.418,0,2.8449444444444447,0,3.501470085470086,0,0,0,9.103822222222224
910,1,126.746,0,0,0,0,0,0,0,0
911,3,361.407,NA,NA,NA,NA,NA,NA,NA,NA
912,2,269.412,NA,NA,NA,NA,NA,NA,NA,NA
913,4,371.17600000000004,NA,NA,NA,NA,NA,NA,NA,NA
914,2,209.385,0,2.991861111111111,0,3.6822905982905985,0,0,0,9.573955555555555
915,3,367.50300000000004,NA,NA,NA,NA,NA,NA,NA,NA
917,6,610.987,NA,NA,NA,NA,NA,NA,NA,NA
918,9,1001.146,NA,NA,NA,NA,NA,NA,NA,NA
919,2,226.668,0,0,0,0,0,0,0,0
920,2,231.13,0,0,0,0,0,0,0,0
921,5,430.65,NA,NA,NA,NA,NA,NA,NA,NA
922,1,117.128,0,0,0,0,0,0,0,0
1001,9,864.479,NA,NA,NA,NA,NA,NA,NA,NA
1101,1,124.672,NA,NA,NA,NA,NA,NA,NA,NA
1103,1,100,0,0,0,0,0,0,0,0
1104,1,105.884,NA,NA,NA,NA,NA,NA,NA,NA
1106,3,351.828,0,0,0,0,0,0,0,0
1109,2,213.558,NA,NA,NA,NA,NA,NA,NA,NA
1110,4,517.788,NA,NA,NA,NA,NA,NA,NA,NA
1111,1,170.682,NA,NA,NA,NA,NA,NA,NA,NA
1112,3,312.168,NA,NA,NA,NA,NA,NA,NA,NA
1201,2,206.548,NA,NA,NA,NA,NA,NA,NA,NA
