"","share_type","EF44_bin5","n_obs","EF952_sum","mean","mean_weighted","sd","sd_weighted","median","q25","q75","median_weighted","q25_weighted","q75_weighted"
"1","share_brown_esco","[15,20]",16,1783.922,0.00793650793650794,0.00764630934050812,0.0135541676798407,0.0134820027965572,0,0,0.0138888888888889,0,0,0.0138888888888889
"2","share_brown_esco","(20,25]",30,3214.839,0.00529100529100529,0.00537248341155707,0.0111770530022633,0.0112511677074835,0,0,0,0,0,9.86864910777918e-17
"3","share_brown_esco","(25,30]",41,4927.746,0.00478927203065134,0.0049602167921144,0.0106784964505346,0.0108434107625957,0,0,0,0,0,0
"4","share_brown_esco","(30,35]",31,3842.078,0.00925925925925926,0.00831244038330951,0.0134179414316569,0.0130606331019077,0,0,0.0277777777777778,0,0,0.0277777777777778
"5","share_brown_esco","(35,40]",42,4527.438,0.00641025641025641,0.0069951648063091,0.0119352479006572,0.0123047110290409,0,0,0,0,0,0.0208333333333335
"6","share_brown_esco","(40,45]",40,4330.293,0.00631313131313131,0.00609580803357682,0.0119147785341358,0.0117846541948853,0,0,0,0,0,0
"7","share_brown_esco","(45,50]",57,6120.604,0.00462962962962963,0.00387952317542942,0.0105291394941514,0.00983001338097588,0,0,0,0,0,0
"8","share_brown_esco","(50,55]",53,5526.539,0.00448028673835126,0.00451750268416264,0.0103855069598051,0.0104279786374308,0,0,0,0,0,0
"9","share_brown_esco","(55,60]",56,5967.407,0.00854700854700855,0.00792701820094837,0.0130744090092123,0.0128103884695396,0,0,0.0277777777777778,0,0,0.0277777777777778
"10","share_brown_esco","(60,65]",33,3780.964,0.00416666666666667,0.00492994165438686,0.0101763207925701,0.0109289237337235,0,0,0,0,0,0
"11","share_brown_esco","(65,70]",10,950.158,0.0111111111111111,0.00858251581914302,0.0152145154862546,0.0146613228461658,0,0,0.0277777777777778,0,0,0.0277777777777778
"12","share_brown_esco","(85,90]",3,418.697,0.00925925925925926,0.00972421584104973,0.0160375074774896,0.0163515373399123,0,0,0.0138888888888889,0.0277777777777778,0.0138888888888889,0.0277777777777778
"13","share_brown_esco_ess","[15,20]",16,1783.922,0.00976800976800977,0.00941084226524076,0.0166820525290348,0.0165932342111473,0,0,0.0170940170940171,0,0,0.0170940170940171
"14","share_brown_esco_ess","(20,25]",30,3214.839,0.00651200651200651,0.00661228727576255,0.0137563729258625,0.013847591024595,0,0,0,0,0,1.21460296711128e-16
"15","share_brown_esco_ess","(25,30]",41,4927.746,0.00589448865310934,0.00610488220567926,0.0131427648621964,0.0133457363231947,0,0,0,0,0,0
"16","share_brown_esco_ess","(30,35]",31,3842.078,0.0113960113960114,0.0102306958563809,0.0165143894543469,0.0160746253561941,0,0,0.0341880341880342,0,0,0.0341880341880342
"17","share_brown_esco_ess","(35,40]",42,4527.438,0.00788954635108481,0.00860943360776505,0.014689535877732,0.0151442597280504,0,0,0,0,0,0.0256410256410258
"18","share_brown_esco_ess","(40,45]",40,4330.293,0.00777000777000777,0.00750253296440224,0.0146643428112441,0.0145041897783204,0,0,0,0,0,0
"19","share_brown_esco_ess","(45,50]",57,6120.604,0.0056980056980057,0.00477479775437467,0.0129589409158787,0.0120984780073549,0,0,0,0,0,0
"20","share_brown_esco_ess","(50,55]",53,5526.539,0.00551419906258616,0.00556000330358479,0.0127821624120678,0.0128344352460687,0,0,0,0,0,0
"21","share_brown_esco_ess","(55,60]",56,5967.407,0.0105193951347798,0.00975633009347492,0.0160915803190305,0.0157666319625103,0,0,0.0341880341880342,0,0,0.0341880341880342
"22","share_brown_esco_ess","(60,65]",33,3780.964,0.00512820512820513,0.00606762049770691,0.0125247025139324,0.0134509830568905,0,0,0,0,0,0
"23","share_brown_esco_ess","(65,70]",10,950.158,0.0136752136752137,0.0105630963927914,0.0187255575215441,0.0180447050414349,0,0,0.0341880341880342,0,0,0.0341880341880342
"24","share_brown_esco_ess","(85,90]",3,418.697,0.0113960113960114,0.0119682656505228,0.0197384707415257,0.0201249690337382,0,0,0.0170940170940171,0.0341880341880342,0.0170940170940171,0.0341880341880342
"25","share_brown_vona2018","[15,20]",16,1783.922,0.0253968253968254,0.024468189889626,0.0433733365754904,0.043142408948983,0,0,0.0444444444444444,0,0,0.0444444444444445
"26","share_brown_vona2018","(20,25]",30,3214.839,0.0169312169312169,0.0171919469169826,0.0357665696072425,0.0360037366639471,0,0,0,0,0,3.15796771448933e-16
"27","share_brown_vona2018","(25,30]",41,4927.746,0.0153256704980843,0.0158726937347661,0.0341711886417106,0.0346989144403063,0,0,0,0,0,0
"28","share_brown_vona2018","(30,35]",31,3842.078,0.0296296296296296,0.0265998092265904,0.042937412581302,0.0417940259261046,0,0,0.0888888888888889,0,0,0.0888888888888889
"29","share_brown_vona2018","(35,40]",42,4527.438,0.0205128205128205,0.0223845273801891,0.0381927932821031,0.039375075292931,0,0,0,0,0,0.066666666666667
"30","share_brown_vona2018","(40,45]",40,4330.293,0.0202020202020202,0.0195065857074458,0.0381272913092345,0.0377108934236331,0,0,0,0,0,0
"31","share_brown_vona2018","(45,50]",57,6120.604,0.0148148148148148,0.0124144741613742,0.0336932463812846,0.0314560428191228,0,0,0,0,0,0
"32","share_brown_vona2018","(50,55]",53,5526.539,0.014336917562724,0.0144560085893205,0.0332336222713763,0.0333695316397786,0,0,0,0,0,0
"33","share_brown_vona2018","(55,60]",56,5967.407,0.0273504273504274,0.0253664582430348,0.0418381088294793,0.0409932431025268,0,0,0.0888888888888889,0,0,0.0888888888888889
"34","share_brown_vona2018","(60,65]",33,3780.964,0.0133333333333333,0.015775813294038,0.0325642265362243,0.0349725559479153,0,0,0,0,0,0
"35","share_brown_vona2018","(65,70]",10,950.158,0.0355555555555556,0.0274640506212577,0.0486864495560148,0.0469162331077307,0,0,0.0888888888888889,0,0,0.0888888888888889
"36","share_brown_vona2018","(85,90]",3,418.697,0.0296296296296296,0.0311174906913592,0.0513200239279667,0.0523249194877193,0,0,0.0444444444444444,0.0888888888888889,0.0444444444444445,0.0888888888888889
"37","share_green_esco","[15,20]",16,1783.922,0,0,0,0,0,0,0,0,0,0
"38","share_green_esco","(20,25]",30,3214.839,0,0,0,0,0,0,0,0,0,0
"39","share_green_esco","(25,30]",41,4927.746,0,0,0,0,0,0,0,0,0,0
"40","share_green_esco","(30,35]",31,3842.078,0,0,0,0,0,0,0,0,0,0
"41","share_green_esco","(35,40]",42,4527.438,0,0,0,0,0,0,0,0,0,0
"42","share_green_esco","(40,45]",40,4330.293,0,0,0,0,0,0,0,0,0,0
"43","share_green_esco","(45,50]",57,6120.604,0,0,0,0,0,0,0,0,0,0
"44","share_green_esco","(50,55]",53,5526.539,0,0,0,0,0,0,0,0,0,0
"45","share_green_esco","(55,60]",56,5967.407,0,0,0,0,0,0,0,0,0,0
"46","share_green_esco","(60,65]",33,3780.964,0,0,0,0,0,0,0,0,0,0
"47","share_green_esco","(65,70]",10,950.158,0,0,0,0,0,0,0,0,0,0
"48","share_green_esco","(85,90]",3,418.697,0,0,0,0,0,0,0,0,0,0
"49","share_green_esco_ess","[15,20]",16,1783.922,0,0,0,0,0,0,0,0,0,0
"50","share_green_esco_ess","(20,25]",30,3214.839,0,0,0,0,0,0,0,0,0,0
"51","share_green_esco_ess","(25,30]",41,4927.746,0,0,0,0,0,0,0,0,0,0
"52","share_green_esco_ess","(30,35]",31,3842.078,0,0,0,0,0,0,0,0,0,0
"53","share_green_esco_ess","(35,40]",42,4527.438,0,0,0,0,0,0,0,0,0,0
